persongraduatedfromuniversity__1,persongraduatedfromuniversity__2
188,385
188,635
188,1149
188,1234
188,2393
439,2875
188,2967
3503,3504
439,3645
188,4080
188,2875
439,5216
188,5534
188,3212
439,4044
6606,6607
188,6933
439,7050
188,7459
439,187
188,6228
439,8498
188,8512
439,8868
188,9322
7622,5325
439,9927
188,9934
188,9953
10633,1671
439,10835
188,11367
11846,796
439,12116
12344,12345
188,7456
188,4850
188,13807
2525,15009
439,10655
188,1990
439,16877
7622,13308
439,17935
10633,437
188,2641
188,4955
188,1442
188,18826
19026,437
3913,1234
188,1973
188,19772
439,20388
439,9777
188,11944
2525,10164
439,7
3913,19409
188,9186
439,23543
439,3627
439,7867
439,13866
188,13155
439,12826
188,15174
188,3787
188,25495
15069,10352
9770,25782
439,11844
439,26321
188,26486
8438,5325
439,27418
17467,5325
439,27593
188,8704
439,27853
439,3912
188,22402
188,2552
439,10360
188,30469
188,30548
7622,15068
439,26469
439,17770
32543,11944
9770,18750
20750,13308
188,13994
3913,12056
188,3807
439,33163
439,3995
188,6670
439,20915
188,13288
7622,437
439,33811
439,12880
3913,7459
15069,187
439,26418
439,18378
188,7437
439,36045
3913,2552
439,10990
188,5216
188,22262
439,3212
439,8556
7622,187
439,27282
1461,15531
439,15068
188,23543
3913,778
22401,15068
439,10352
3913,5630
439,17287
439,16315
188,4879
188,19670
439,19627
439,41231
439,2345
188,22937
8438,7437
188,42406
439,36098
188,6566
439,5733
439,43453
439,43680
188,10562
439,43768
188,7193
439,34081
439,3264
188,9771
3913,3627
1694,1858
188,12874
439,43525
12269,935
439,44684
439,778
439,22069
9770,7841
439,8359
188,6358
439,42726
188,26842
439,4711
439,46491
188,1303
439,20699
3913,7867
188,5630
22007,42167
188,47402
188,16454
188,24664
188,1858
3913,11230
188,8117
188,18378
188,23310
439,1149
439,2641
439,15174
439,18827
439,12564
188,3191
28281,3504
439,6607
439,1995
439,10260
439,49946
1461,187
439,23322
439,20087
8438,3504
439,50398
17467,1973
188,3238
188,9019
188,25030
439,39409
439,11471
6784,1671
188,10990
439,26486
439,30960
23602,3627
188,9046
188,15133
10716,11052
188,3912
439,48724
188,45442
439,1376
188,26018
439,13155
188,24998
39748,15068
34332,1858
9770,23816
439,53438
188,41112
188,12633
188,43449
439,12567
188,36687
439,22937
2525,1858
188,12116
439,13308
439,17159
439,39529
188,40414
439,14087
439,9296
439,6857
9188,1858
188,3995
188,43525
188,27892
439,418
439,25233
188,34155
439,23616
439,19830
439,10164
188,12321
188,56929
188,36098
439,34243
188,9777
188,1684
439,11367
439,40874
439,16744
5326,7841
188,1995
188,44542
188,15531
188,13308
439,12865
188,253
188,39529
439,3667
439,58563
2525,6358
188,42232
188,9586
439,34155
439,12083
439,52188
21681,1858
3503,7437
439,33636
188,12345
439,40690
188,47774
439,18727
439,455
188,23938
439,6274
439,8843
439,11360
11846,7841
439,9586
15069,15068
439,13807
188,30099
439,10085
439,61605
188,17287
188,16717
188,44924
439,62193
439,6535
29102,1858
439,1659
439,30143
439,29351
439,25670
439,21984
439,1198
188,13866
439,7456
439,27181
188,6274
188,5793
11846,19940
5326,5325
188,7841
439,43793
188,42421
188,18153
188,48149
188,42167
21786,15068
188,5733
439,2967
439,7841
439,64621
439,34982
439,39365
439,13994
439,13288
439,37444
7816,778
14509,1671
439,39514
439,3504
439,40555
188,10085
17467,19558
36273,1858
188,8061
439,19772
188,17555
29904,10164
3913,5325
188,42798
439,3169
10716,15068
188,12564
188,18800
188,26321
188,6485
439,25495
188,51891
439,35336
439,33775
188,11230
1694,10990
439,7437
439,19632
3913,3912
439,25030
188,19535
188,19047
439,14741
439,29285
188,187
188,8556
51209,23543
17467,4850
5326,1858
439,5847
188,11471
188,19071
439,26324
188,4044
188,12056
188,19367
439,13178
439,28258
188,2345
439,12137
439,35319
439,18200
439,2039
188,3667
188,27363
439,22517
439,49005
188,1784
1461,13308
439,3238
17532,778
1461,3504
188,16005
439,34582
17467,7841
2929,5325
188,5682
188,26324
30458,15068
188,19746
439,1442
188,14087
12269,1858
439,5795
188,28945
439,6670
188,27710
439,2333
9770,9771
12269,187
439,18663
188,8843
9770,4850
17532,7841
439,17153
11846,4850
188,20087
439,57122
188,5795
188,19692
188,8359
188,25233
439,24998
39748,1858
439,30035
439,60635
3913,13308
188,18827
188,15734
188,3504
439,31239
439,71096
439,5325
188,38280
439,15977
439,7875
188,17883
439,16004
8438,13308
188,8184
188,7
439,18750
439,12321
439,1973
439,13122
439,30197
439,12874
11846,1025
439,4850
439,11785
439,44924
188,48347
17467,1671
188,10164
439,8855
439,8704
188,10352
188,25100
5326,14753
439,11230
188,32717
188,8498
439,25854
188,69954
188,12204
188,15009
439,41168
439,32776
439,8117
188,2039
188,10260
188,2333
439,51891
17532,1858
3913,7841
14275,13308
439,6370
439,11436
439,20133
188,20915
3913,34081
17467,778
439,9771
188,12480
439,5793
439,9934
439,835
188,1376
439,35464
12269,7841
439,8594
439,43452
439,1784
439,11944
9770,19558
15069,3504
439,32857
9770,437
439,9019
188,11387
3913,10562
188,20699
188,15156
188,10749
10633,1858
188,11987
188,15068
188,11436
188,51751
439,6485
439,10562
439,19659
439,17555
439,25100
188,3627
439,15472
439,5630
439,9322
439,1858
188,23616
439,3932
3913,9777
7622,1671
39748,12345
188,7050
188,29591
188,27418
439,18826
188,935
7622,3504
188,35126
188,19627
439,16454
188,3264
439,874
439,15156
439,1866
439,12207
439,12056
439,48149
439,8669
188,9296
188,4725
439,14753
439,27892
21681,7841
439,12345
439,14631
439,11155
24037,3995
439,74888
188,18663
439,5660
3913,1858
439,16863
188,47414
188,6607
439,6228
188,43452
188,874
20750,5630
188,15604
188,16315
439,5682
439,20478
9770,5325
34332,1973
439,12633
9770,778
188,58279
188,12567
439,27875
439,38373
439,24609
188,35319
439,1234
9770,1671
439,20793
188,778
188,25699
439,46098
439,1789
188,52221
439,20207
188,19409
439,7193
439,18800
439,14485
439,42167
188,49266
439,17883
188,6268
439,3113
439,22402
188,19632
439,15531
439,51320
439,30777
439,52282
188,53893
19026,1671
188,52188
439,6358
439,30099
439,8525
188,32776
439,70250
188,13122
439,33696
439,253
17532,5325
439,18340
439,15807
439,42232
439,53517
439,71262
188,29351
8438,778
5326,796
188,12083
188,45536
188,5847
439,8061
3913,1973
188,15472
439,15133
439,935
439,10236
17467,18750
439,58249
439,70764
439,11387
188,13830
