hasofficeincity_inv_1,hasofficeincity_inv_2
0,1
237,238
207,315
408,409
728,1
815,816
898,1
918,1
1613,1
1668,340
1772,1
3,2024
2080,2081
2195,1
2425,1
2558,2559
299,2591
2605,340
3167,3168
133,3184
3886,3887
3992,3993
4094,1
4150,4151
4880,4881
5121,5122
1646,5460
5493,1
1887,1
225,6374
6456,1
6596,1
6736,3184
1399,6928
1079,6957
299,7215
7761,1
225,5122
7820,3168
8296,1
8597,1
8760,1
8895,1
8983,1
9174,9175
5121,9266
80,9362
3930,5460
133,9564
8687,1
2205,1
9983,1
10051,1
7480,10388
10669,1
9084,1
133,10964
751,11079
11225,5460
3579,1
4482,1
751,3152
6421,1
12398,1
4546,12785
13049,1
133,2917
9500,13264
13323,13324
299,10181
6379,14396
207,1
2307,1
4038,1
15011,1
15446,15447
6481,1
15731,1
6064,1
12719,1
250,3152
5228,1
16373,16374
6181,1
17033,1
17093,1
9414,1
17147,4881
16370,1
299,17371
8154,1
14914,17637
3930,1
17696,1
17744,1
15237,17860
6379,4881
18182,1
7579,7578
18419,1
1593,1
18677,1
225,18772
18820,1
8276,1
18910,1
1134,19244
19284,1
19309,1
19587,1
133,3551
1107,1
20348,1
133,10685
133,7883
9417,13683
13310,7270
2740,20800
7832,1
15788,1
731,19000
21077,21078
751,14381
21186,1
21655,1
1302,1
5984,9151
4527,1
22000,5122
22170,1
22338,1
22351,1
299,10588
235,22832
10070,910
6119,14135
11455,1
12280,1
23428,1
23667,1
10496,1
133,4030
16986,4151
24390,24391
24396,1
24499,1
9037,1
25018,1
25083,1
14349,25212
353,14965
3711,1
3,25403
12051,1
18272,18273
25868,1
13091,1
5966,1
133,26533
3115,10816
9500,17714
15760,1
26773,1
3104,16631
353,1
10315,1
19953,15447
3452,15380
22791,1
9755,1
5984,1
28559,1
9417,4151
22474,1
3,29119
7312,1
18746,1
410,6374
751,30521
649,1
30614,5253
207,5460
250,31038
31130,21755
7579,10276
31422,1
31737,1
2740,5122
10503,6221
19487,1
19029,16631
32059,1
32324,1
12308,1
4546,14381
28094,1
133,238
2113,18496
17974,1
19172,1
250,8703
2935,5122
2514,33524
6379,19301
3452,12791
7872,16426
11010,6571
17351,1
34614,1
2410,34684
34813,1
34836,1
20978,1
17595,1
235,19529
16421,1
7001,1
133,18534
11225,35846
20898,1
2082,1
207,572
133,36451
133,19155
528,3993
18087,1
353,27784
133,813
5790,36705
9785,36745
133,36815
36864,1
36892,1
1588,1
36916,36917
36968,1
556,37236
37364,3168
8698,1
4219,1
235,1369
751,37969
38149,15447
2489,1
133,10394
10788,1
10903,1
1601,1
751,9781
38571,1
38576,1
38635,1
11170,11169
38231,39072
133,9529
3115,1
8308,1
225,7270
556,39274
2198,16631
7904,1
6422,10181
8743,1
2410,9919
29391,1
5017,39758
751,10505
5474,1
14475,1
9417,2859
13310,39989
40101,40102
751,40178
751,40184
207,3082
2740,40194
16246,1
225,19744
