clothingmadefromplant_1,clothingmadefromplant_2
582,583
2246,363
2246,583
4856,840
1746,583
8056,840
9343,840
1178,583
14410,840
2300,9958
1710,583
20709,840
22088,840
22172,840
22704,840
23892,840
18556,18313
11894,840
26912,583
1119,583
15628,583
34019,583
35238,840
36649,36650
8056,37322
4140,9958
177,40351
14668,840
18556,25387
5262,840
15628,840
973,840
45064,840
46753,840
4856,36650
17669,840
44873,583
49397,840
1710,9958
841,840
22088,9958
50380,840
45175,840
14019,840
50418,840
55365,840
2263,583
35776,35775
1981,583
198,9958
15407,7576
177,4435
13771,583
4206,840
38659,840
1710,39844
36794,840
31919,840
37179,583
35776,64807
65044,50379
18556,3996
66161,840
973,583
58212,840
5998,583
176,840
67681,840
4112,583
36649,50379
69420,840
70123,840
70276,840
177,840
2263,840
15407,583
4206,583
198,583
50380,37322
4155,583
68853,840
973,9958
35776,840
198,840
8275,840
198,18313
35776,66218
60326,840
65978,840
50380,50379
2263,7576
22706,840
