persongraduatedschool_1,persongraduatedschool_2
187,188
874,188
1376,188
2345,188
3264,188
1858,2525
4955,188
5325,5326
5733,188
7,188
3504,439
7456,188
7621,7622
8184,188
9120,439
7621,4259
10164,188
12177,439
12567,188
12874,188
11230,188
12480,188
4850,439
13830,188
187,1461
14631,439
12056,439
11387,188
7459,188
1442,188
15807,439
4578,17432
10164,2525
18052,4259
18378,188
1858,17532
5216,188
12083,188
5630,20750
253,188
8734,439
19535,188
22069,439
22342,22343
22262,188
6274,188
11230,3913
1858,188
23310,188
6857,439
23938,188
4578,14574
835,439
9296,188
1376,439
6485,188
9777,439
15734,188
23498,26257
12321,188
2552,188
26709,439
26892,439
27181,439
3995,439
13994,188
13308,439
27939,7622
6566,188
17496,439
23498,28339
8594,439
29351,188
9953,188
11944,188
1149,188
10352,439
5795,188
12137,439
28569,188
32748,7622
2875,188
25100,188
2967,188
1990,188
11844,439
10990,439
12564,188
34582,439
3504,8438
35319,439
26709,7622
22517,439
35531,7622
4879,188
9934,188
778,1694
27282,439
17883,439
1784,188
15531,188
36679,36678
2615,2614
15472,439
9771,439
19632,188
13178,7622
13807,188
8359,188
18052,22343
13308,188
3645,439
23543,439
41462,439
17287,439
16717,188
10260,188
15472,188
27892,188
38280,188
4578,2929
42726,439
7050,188
32776,188
10352,188
4578,9770
42167,188
23616,188
8683,439
11570,439
187,17467
8683,7622
45442,188
45581,45582
41112,188
5216,439
13155,188
46406,46407
36687,188
5630,188
25699,188
48724,439
15977,439
49266,188
27418,188
10360,439
5847,188
37074,50704
7193,188
19047,188
30548,188
21377,439
11436,188
51751,188
45478,23769
2641,188
7841,188
3191,188
33178,7622
42167,439
19409,188
18800,188
25495,439
20478,439
25782,9770
5325,2929
5793,188
30469,188
27710,48584
13308,20750
6607,439
4725,188
19071,188
3212,188
39514,439
9120,188
42406,188
57809,439
8669,439
17287,188
1684,188
16863,439
5325,1461
58279,188
43449,188
57675,28339
17555,188
1684,439
58882,9770
2615,23769
11387,439
44542,188
6358,188
59563,439
48347,188
34155,188
12345,439
3995,3913
7841,5326
19670,188
15068,439
42798,188
1234,439
12204,188
61317,48584
6670,439
61492,56988
2875,439
6228,188
23543,188
62491,439
3504,188
9845,439
16315,188
6370,439
9046,188
16005,188
187,439
4578,56988
4044,188
40414,188
19632,439
24998,439
20699,188
52221,188
4850,11846
12633,188
20133,439
15009,188
13288,188
19772,188
2039,7622
4711,439
778,439
47414,188
14631,18429
2039,4259
935,188
11436,439
53893,188
8556,439
5630,439
9186,188
4011,49455
6268,188
2039,1751
36098,188
25233,188
26321,188
1858,1694
8556,188
30777,439
4850,9770
12056,3913
1858,36273
18153,188
14087,188
14485,439
2641,51209
13866,188
1858,3913
7456,439
9777,188
9322,188
4080,188
43452,188
67322,439
26324,188
20087,188
6670,188
47774,188
45536,188
44924,188
18052,439
35319,188
1858,12269
42896,439
43525,188
49182,14574
18663,188
18826,439
10562,188
61803,188
24664,188
15174,188
15068,188
9771,9770
3912,188
18826,45359
11367,188
20207,439
5682,188
7621,439
18052,1751
56929,188
12321,439
1858,9188
5847,7622
47942,188
8117,188
8843,188
32717,188
26018,188
2333,188
253,439
30559,439
27363,188
32748,439
30118,188
19627,188
778,188
11987,188
61605,439
11230,439
48149,188
51288,18429
385,188
7841,9770
10749,188
68222,439
796,4259
49456,49455
22937,188
19830,439
46098,439
26486,188
1858,34332
12826,439
7437,439
33896,56121
18826,188
9296,439
19367,188
5325,3913
52188,188
22937,439
3667,188
4578,7959
17883,188
33066,188
29591,188
1995,439
22402,439
3807,188
12345,188
11052,439
28945,188
24998,188
42232,188
10085,188
21609,439
8704,188
27892,439
1234,188
19692,188
61492,7959
496,439
9586,188
22402,188
10260,439
65004,439
778,3913
7621,1751
6274,439
47402,188
9019,188
20087,439
11471,188
18702,2929
25030,439
19632,49455
18827,188
6607,188
25495,188
14753,439
33636,439
8236,439
2393,188
40371,49539
778,6468
9771,188
17770,439
1198,439
1303,188
12116,188
18052,46470
6358,439
25030,188
42218,439
18340,439
13122,188
1973,188
1995,188
2641,29904
30099,188
8498,188
19746,188
7621,31694
69954,188
15156,188
4850,188
10990,188
2039,188
51891,188
12056,188
3627,439
27710,188
45478,2614
68280,26257
15133,188
39529,188
11844,18429
26321,439
67868,439
18052,7622
187,7622
14741,439
5534,188
3627,188
14753,5326
14087,439
3995,188
4578,56121
26842,188
935,12269
35126,188
33896,17432
69521,439
2967,439
18378,439
20915,188
3787,188
16454,188
31239,439
8061,188
43573,188
43680,439
75116,439
1858,439
8061,439
42421,188
7437,188
