drugpossiblytreatsphysiologica_1,drugpossiblytreatsphysiologica_2
412,413
830,831
1306,1307
2280,2281
3149,1848
3808,3809
7945,7946
8775,1560
6443,9666
10900,10513
8131,12304
12694,3817
2042,1560
13882,7946
14556,14557
750,1637
17968,17969
8945,2281
18613,3809
19004,1560
19093,3817
19238,19239
19595,7946
21580,1560
23077,9591
22648,1560
11976,1560
9146,23785
24741,9591
11976,24766
23031,1343
21706,1560
8791,3106
11280,11279
17042,1560
25218,1560
27927,9591
28017,28018
28237,28238
17772,22275
29343,1848
8080,2764
11976,11975
23397,1560
30740,1560
30760,8130
17968,1560
20072,1560
20956,32678
30760,2764
33583,33584
33908,1560
5999,12304
34701,1560
28017,23040
15221,35612
35618,2281
32215,35782
33908,2281
36179,1560
20786,9591
37452,1560
37637,1560
14990,14989
16576,1637
25940,1560
9554,1307
39543,1560
9146,1560
40713,10118
12300,9666
41372,1307
15221,11229
10259,9553
6443,26038
19077,1560
42461,3817
20196,19300
32215,1560
24741,10426
4001,19239
43612,1560
9592,44403
29516,2281
9146,2281
23506,9591
46246,1848
4969,14557
39248,27970
43578,8130
12408,9591
11394,23040
31989,48771
49321,48771
22510,10513
45366,49892
1306,9553
11808,1637
47645,40659
50620,9591
4247,1560
17772,9553
50845,10513
18223,9553
51281,38567
45723,35763
52363,19300
16576,20013
8131,1560
35198,7946
28326,1560
46076,9591
36556,1848
51323,2281
53162,53163
20851,3817
35313,1560
53806,2281
45723,18763
53870,1560
22195,37511
18832,36470
29856,1560
38990,1848
26023,53560
6336,53560
19238,7946
20956,9553
38885,1560
38922,2281
56618,1560
56728,1560
19004,2281
56940,1560
56757,1560
56952,56953
32516,1560
47303,1637
57445,53560
35412,7946
39222,1560
43100,2281
44041,10513
30611,1560
6474,1560
15411,1560
26382,3425
33498,7946
12300,26038
58878,1560
17772,10258
56757,28018
18223,1307
42169,1560
60459,1560
20956,10258
60953,8130
10119,10118
4969,14989
28922,8130
58771,1560
54403,1560
18546,2336
13237,36470
37115,1560
47585,2281
2522,40659
29516,18580
11352,9553
51875,1560
44431,18580
7945,19239
5688,47698
11027,1560
35313,46214
38230,42393
28017,1560
57227,7279
40279,42746
10259,10258
20744,7890
24859,1560
45281,1560
9554,9553
11614,1560
65362,1560
21706,1343
53861,1560
56237,2281
35713,2281
54004,23527
15221,1560
59251,1560
39146,1560
28912,28911
1306,10258
20956,1307
5999,1560
58606,1848
10514,10513
52888,26038
53094,18580
25701,19239
643,1560
5400,1560
29457,19239
38990,2336
8080,8130
23031,2281
69312,69313
53286,7946
11394,1560
15221,42055
2042,7279
25822,9591
8131,60280
44615,1560
2522,69871
39628,10513
14990,14557
12694,6146
38230,1560
10259,1307
35412,19239
15221,35782
22919,1560
62689,18580
36471,36470
17042,70846
27979,1560
6850,6849
71278,7946
64242,10513
412,10118
18864,2281
14556,27081
35679,7946
8131,7279
53368,42393
39713,2281
65309,1560
14556,14989
13254,1560
28477,1560
30611,2281
19093,9591
12694,9591
17772,72214
56058,1560
52888,9666
67958,1560
16486,307
48773,1560
9854,9591
19326,19239
54709,10513
25941,48771
26382,1560
17968,53216
18546,18545
25201,53560
25701,7946
73608,1560
1561,1560
3149,11279
25645,1560
54408,1560
17968,73873
73913,1560
9592,9591
11976,61916
32926,3809
43333,10513
45366,45365
46583,1637
38859,53560
38990,18545
51018,32713
52531,7946
19516,1560
74248,1560
3415,1560
11976,23040
62300,1560
43578,2764
39248,1560
39248,18580
38725,1560
3535,1560
44615,35782
57691,1848
13254,18580
16909,1560
26891,14557
33498,19239
55901,2764
16030,1637
26764,19300
28922,2764
22311,2281
30849,1560
33908,18580
39222,18580
9494,1560
64068,18580
25701,21606
20175,1560
45053,10118
62702,1560
65591,9591
64510,7946
2321,40659
17042,23040
31621,6849
17968,37511
43390,10513
8003,9591
44450,1560
54619,1560
60668,1307
53286,19239
17772,63149
19595,19239
57227,1560
54408,7279
69278,10118
33433,9591
73668,1560
33433,3817
73070,9553
37854,19300
33068,26025
47006,1560
75439,1560
41372,9553
30397,1560
34811,8130
61477,1560
42954,7946
22195,1560
17772,1307
