agentcontributedtocreativework_1,agentcontributedtocreativework_2
75,76
335,336
509,510
967,968
1064,1065
1073,1074
1888,1889
1898,1899
1929,1930
2421,2422
2865,2866
3044,3045
3132,3133
3404,3405
3586,3587
3753,3754
4002,4003
4229,4230
4681,4682
4714,4715
4820,4821
5139,5140
967,5259
5406,5407
5666,5667
5810,5811
5822,5823
5881,5882
5885,5886
5967,5968
6052,6053
6122,3404
6297,6298
6507,6508
6645,6646
3612,3613
3587,3586
7137,509
7187,7188
7202,7203
7202,7209
7210,3500
3404,6122
7671,7672
8097,8098
8102,8103
8120,8121
8144,8145
8268,8269
7387,8327
8406,8407
8733,8734
8783,8784
1762,8828
9280,1418
9397,9398
9502,9503
2886,9545
9632,9633
76,9636
9643,9644
10034,2464
10349,10350
10482,10483
10648,531
6107,6108
10697,10698
10947,9398
3942,11019
11195,11196
6645,5111
11410,11411
11620,11621
12010,12011
12121,12122
9792,12232
12396,12397
3627,12811
12927,12928
12953,6108
13113,13114
13203,13204
13221,76
13276,13277
13616,13617
13776,13777
13786,13787
13870,13871
13950,13951
14013,14014
12592,8200
14136,14137
14138,14139
14165,14166
14207,14208
14225,14226
14235,14236
14351,14352
14684,12129
12129,14941
15041,15042
15311,9646
15374,15375
2458,15406
1771,1770
15486,15487
15757,6108
15769,15770
15938,3928
16005,11300
16031,16032
16073,16074
16127,16128
16129,12129
15800,16203
8889,16225
16277,16278
16318,16319
1941,16363
16589,16590
16669,16670
16745,15406
16775,16776
16778,16779
8152,3404
16865,16866
16966,15096
13623,17130
1762,17156
17211,17212
16866,17383
17442,17443
9121,15800
17610,17611
17612,17613
9432,5968
16031,17841
18094,12600
18098,18099
18195,18196
18296,18297
18475,14064
18541,18542
18554,18555
18777,15729
18901,18902
3918,18965
19087,19088
19286,19287
19540,12129
8733,154
19642,18260
19647,19648
8683,19678
19735,19736
19766,19767
19928,15009
15096,16966
20141,20142
20230,20231
15375,15374
19290,19289
12730,20660
21073,21074
19591,21172
21315,21316
3957,3956
509,7137
12122,12121
20855,1941
21885,6300
19842,21892
21938,21939
21960,21961
22145,22146
5968,22169
22535,9165
22784,4473
22996,22997
23084,19464
3918,15406
23213,15800
3404,23358
8034,16536
23385,2938
509,11921
23447,23448
23566,23567
23834,23835
23876,23877
12129,24001
19767,19766
12879,24268
24423,2464
5667,24496
11697,11696
3361,24598
24656,24657
24685,24686
24698,24699
24733,1708
4136,3072
16568,3934
8784,25004
7240,25013
10916,10917
8407,25369
18907,25504
11696,11697
25899,25900
23289,25965
13667,4940
8733,17961
2464,24423
26109,7387
26195,9943
2217,26355
26399,26400
5111,6645
5405,8733
26352,26578
19088,27074
5823,5822
27155,27198
27209,9505
15042,15041
14378,15334
27459,27460
26910,27465
27490,24844
