hasspouse_inv_1,hasspouse_inv_2
20,21
1431,1432
1629,1630
2685,2686
4480,4481
4537,4538
5271,5272
2393,5630
6358,6359
7260,7261
7475,7476
7691,7692
4475,7765
8116,8117
9356,9357
9560,9561
11825,9039
12070,12071
12774,12775
13068,13069
13183,13184
8683,13258
13270,13271
13386,13387
14108,14109
8919,8918
14257,14258
14779,14780
15153,15154
15659,15660
15687,15688
15712,15713
15914,15915
16170,16171
16325,16326
16469,16470
267,266
14264,2897
11825,17280
17310,17311
1075,1076
17727,17728
17933,17934
18040,18041
18299,18300
18498,18499
18510,18511
19210,19211
19242,19243
19376,19377
19514,19515
8457,8458
20649,20650
20803,20087
20948,20949
23392,23393
23441,23442
23799,23800
18591,18592
24327,24328
24550,24551
24792,24793
23647,24902
24990,19174
1773,1921
25361,25362
25606,25607
25675,25676
25999,26000
26059,26060
18300,26306
26473,26474
27132,27133
27431,27432
28036,7475
25232,21160
6485,28367
28402,28403
13183,28611
28838,28839
29243,29244
30050,30051
5795,3627
30320,30321
12775,31642
32065,32066
32404,3241
13697,32718
32865,32866
32930,32931
31507,31506
33517,33518
25999,33760
33772,33773
34158,34159
16947,34312
13258,8683
10086,35181
17934,17933
7691,35403
35733,35734
35788,35789
15195,36871
11296,11295
16345,16831
37293,37294
21158,21157
37911,37912
14869,38540
38580,38581
17514,17513
4475,13785
39344,39345
39525,39526
24902,23647
1630,1629
40212,40213
18748,18749
4480,41018
7182,32709
41122,41123
8116,5433
19174,24990
42648,23020
42656,42657
28472,28473
43405,43406
35403,8116
32660,43599
709,43851
43881,43882
40496,24564
43503,20795
44410,44411
24328,24327
9073,39553
44817,42783
24564,40496
26059,44989
38714,38715
1749,18931
4475,16504
45653,45654
18814,18813
46231,46232
11510,11509
6013,46306
20050,44795
4922,25052
46500,14108
22808,22807
46547,46548
32755,32754
14948,40367
1832,1831
18340,46845
22807,22808
44533,44532
13704,13703
35822,47567
48010,48011
48154,48155
48181,48182
48824,48825
26718,26717
49072,49073
22452,22451
31506,31507
22844,3100
43882,43881
23509,23508
21176,21175
29545,29546
38816,38817
51250,51251
51417,51418
51429,51430
51433,19614
34200,34199
52220,33420
23480,22174
9073,52301
16326,16325
34159,34158
52540,52541
50371,50370
51998,51997
37912,37911
46001,46000
47293,47294
53262,53263
32754,32755
28403,28402
15713,15712
53898,53899
16947,16946
1995,54094
43704,21815
54333,54334
42436,42437
54513,29134
49542,49541
30051,30050
36492,36491
15824,53962
55284,55285
55477,51250
45170,45171
55893,42971
20621,20622
46548,46547
21044,14713
56467,17310
20159,12577
56711,56712
36491,36492
16946,16947
57107,57108
20559,57167
15914,56719
6013,10844
18300,2393
27223,27222
47567,35822
10086,30019
7867,51568
20838,20837
11295,11296
58162,26281
18040,56467
57058,57057
24793,24792
58556,58557
15154,15153
58616,58617
58628,58629
4480,28172
