ismultipleof_inv_1,ismultipleof_inv_2
2904,2905
5510,2905
9869,2905
9605,2905
1216,19536
1216,6350
1216,380
789,25511
25683,25684
824,2905
15251,15250
29472,2905
29533,2905
29843,2905
789,2882
25380,2905
30351,30350
35160,2905
789,2905
12405,2905
31405,31404
8876,2905
37723,2905
44303,1616
871,2905
24947,45338
12831,45388
4306,2905
24140,2905
46871,14282
1216,33900
28350,2905
14283,14282
5485,31405
789,49766
6810,2905
50615,2905
8408,2905
1216,6643
52665,5563
1216,52948
20119,2905
15251,2905
1216,18157
1216,14279
15280,2905
12831,31208
284,2905
17975,2905
60604,60605
12363,2905
1216,15155
1216,2905
1216,12945
1216,61584
6859,59594
1216,17319
6184,2905
56258,2905
12441,45388
1216,2976
1216,5132
1216,46928
37073,2905
28,2905
3730,5563
2642,2905
2729,52490
11874,2905
14227,2905
58907,14282
789,31208
1216,19042
12441,2905
217,2905
789,43957
2478,2905
12831,31404
25683,14282
789,5563
64597,68590
60462,2905
20937,2905
2905,31405
6746,2905
12831,71324
29637,31405
9605,37073
5147,2905
31405,2905
27704,2905
2365,2905
1216,69622
1216,65751
789,21951
789,72776
29,2905
3810,2905
12831,2905
24140,789
871,5563
1216,1975
29637,2905
789,45388
60003,2905
789,31405
4650,38405
789,31404
1216,8101
28193,2905
19575,2905
1216,71412
2882,2905
1216,74216
1216,19541
12831,15250
1216,73725
34625,2905
1216,22102
1216,62499
3730,75226
46871,60446
1216,2881
5791,74866
26824,2905
1216,29754
9605,28193
1216,16582
