parkincity_1,parkincity_2
2734,299
2970,1916
3097,299
4806,299
5914,299
6284,133
7471,299
8580,3306
9210,299
9466,299
10030,299
14333,565
15450,8647
15684,1916
17118,299
18383,299
18464,299
18871,299
19546,5896
19855,1916
19893,299
20034,1916
20707,299
20741,299
20757,299
21096,8614
21699,299
21759,299
24356,8614
4368,299
25914,1916
26308,2802
26313,299
26803,2802
27291,299
27834,299
27935,1593
28788,299
29031,2760
29093,815
29584,299
29700,299
30268,225
30408,4708
20839,751
11256,299
31997,299
32043,299
32599,299
33244,235
33395,8614
28994,299
34489,2607
34302,299
35164,299
36817,299
36921,299
37175,1916
37356,8614
37472,299
38547,1916
38669,8614
22369,299
39996,114
28027,299
18675,8614
40247,2607
40500,751
41048,299
41260,1916
42024,9422
42542,299
43023,299
43374,225
46212,46213
23242,299
2496,2802
46811,8614
35844,299
6380,6379
47058,299
29118,299
47776,2802
25992,299
48137,2760
48388,299
48742,299
48896,235
22572,299
49068,2802
18894,299
50636,299
50683,1916
51804,9422
52052,299
52197,299
52373,299
52696,299
52813,1893
53871,299
54019,299
54143,2802
13988,299
54242,299
54342,8614
15504,299
54869,299
47037,299
54394,50619
55958,8614
42225,133
35882,3222
56865,299
57084,114
24820,299
57701,235
8723,299
57793,299
19684,2802
28360,299
59666,299
59824,299
46814,8614
60178,2802
19109,2607
60854,565
59177,299
27585,2802
56810,299
59288,299
61673,299
61985,3534
41782,1916
62038,1916
55651,299
62851,133
21353,2607
63633,299
63679,8614
63946,2802
64612,8614
65486,6422
61790,299
52343,6379
50647,250
47926,133
66070,8614
60801,299
66516,299
41487,1916
24450,299
57738,299
63047,299
67527,299
66517,299
37226,299
67869,1916
44824,299
67780,133
18738,299
41731,8614
68333,299
19319,235
68696,5228
20861,20860
69055,114
69462,2607
69271,235
49948,235
69964,299
70036,1916
70193,8614
16823,299
69091,299
60788,8614
70593,8647
70662,299
67308,299
65200,299
68380,299
70975,1916
40720,299
71094,1916
67376,21729
57421,2760
71722,299
20527,1916
58322,2307
69731,299
68259,299
5722,2802
1397,299
39946,299
69046,31615
42809,2802
72699,5228
44119,299
47193,299
38826,225
28074,299
14111,235
73320,299
58436,1916
11226,299
40726,299
30318,299
24710,8848
33017,114
4141,299
51362,299
70613,299
7117,751
60028,299
74000,299
68924,299
47084,299
38565,299
73662,2802
55929,8614
14284,1916
71629,8614
67724,8614
47003,299
58187,114
67311,235
66219,235
71583,8614
73097,1916
68757,50619
6887,114
74877,8614
37576,114
68495,299
42017,299
74054,17501
40334,299
75100,1916
8705,299
9707,299
10353,6386
36265,299
72678,299
61142,1916
73494,6936
70268,299
57789,2802
73660,299
48297,299
32194,299
31270,299
52029,299
43631,20860
3565,299
74289,133
74955,235
69902,1916
34754,751
38632,28592
40963,299
