teamalsoknownas_1,teamalsoknownas_2
1047,1048
1047,5472
1047,3042
1047,12077
1047,12031
3558,1047
15906,1047
1047,16632
3293,326
1047,2755
350,486
1047,17793
383,1355
30122,30123
25112,20784
21342,1047
1047,16025
1047,32934
1047,33685
25112,1047
3567,3893
1047,34407
2095,4867
3179,1047
3746,35922
350,3383
1373,791
486,446
1047,40372
1493,1004
28608,37055
421,422
1047,8148
14321,1047
7116,1047
350,562
1004,28720
1047,4867
1047,43617
421,4779
1047,46915
1047,46975
1047,5576
7812,4148
1047,49019
8148,1047
32934,20784
8025,3567
1011,4148
302,1047
1047,42442
18198,1047
1047,50327
1047,29061
1047,51083
350,16614
2476,446
33003,14294
39723,1047
9118,1086
265,1993
3893,3567
1047,53711
1047,21342
230,1993
87,446
98,97
230,10331
21669,1047
791,1373
1047,38893
256,4602
1047,59031
1047,59835
1047,6870
14294,33003
36677,1047
1047,27331
11214,1047
12957,1047
1248,4148
5044,4148
1047,10556
1047,2959
1047,36677
8025,3893
97,98
1047,24128
44595,1047
1047,32949
1047,15784
1047,51349
421,3360
562,350
1047,63453
1047,25496
2004,446
1047,16798
27331,1047
8532,6827
1047,65024
4147,7403
5242,1047
1047,12379
1047,54096
230,5183
1047,43313
1047,65450
35326,1047
2733,1047
5636,1047
1047,71399
3383,446
1047,27915
265,10331
1047,21493
3393,562
43258,1047
265,5183
25496,1047
2476,4659
87,3383
1047,68236
1047,41128
37055,28608
1047,67035
11190,1047
1047,72912
22739,1047
1047,3558
1047,71029
3567,8025
1004,4148
1047,59658
1047,73778
25088,1047
3393,446
59178,20784
687,4867
4899,1047
69397,4867
42338,1047
486,4659
3393,99
1047,66791
4602,562
58025,1047
71042,71041
3893,8025
1047,20784
1047,5636
6870,1047
4602,446
1047,70589
1086,9118
562,4602
1284,3383
1047,73041
75348,1047
350,1289
1047,26448
16759,1047
1289,3383
1047,25112
1047,15752
30123,30122
