radiostationincity_inv_1,radiostationincity_inv_2
3966,3967
6116,6117
9414,9415
3930,10536
10768,10769
3,1144
114,13409
13627,13628
133,15089
5984,15107
3115,22002
6796,23363
751,24630
8745,24636
751,24932
21080,21079
10528,10527
1816,21808
12951,26284
5019,29643
5759,31479
1131,33110
235,33241
17595,34210
34339,34340
6017,34362
35659,35660
133,36152
235,36366
6116,37287
1916,15076
40585,40586
207,15211
5790,43171
751,43427
3579,30837
1916,44883
14289,44942
207,37478
5790,31836
80,42223
16414,16413
2410,2409
751,49161
7312,49402
22351,46443
5245,45005
133,12190
50696,50697
8647,50727
22084,32700
10768,51558
9468,52018
3518,7767
52494,52495
751,52639
9785,52831
207,53084
565,17823
8647,15351
28691,45510
1916,53859
8745,54095
9462,31599
114,54305
914,54329
235,54378
16320,54680
235,54979
3518,55253
54487,54486
114,56819
7495,57172
39862,48009
114,33862
2760,40137
3869,44022
235,59547
16102,53442
235,59793
4708,40915
133,60152
3115,60163
3930,52675
42444,42443
1916,25384
3115,25243
2113,61854
133,62068
751,57602
12476,12475
3026,41660
4561,63619
207,63711
7860,25085
19309,31348
133,62026
1916,56620
2307,64638
565,45597
26563,30400
2307,65165
3,65296
35891,35892
4045,4046
8647,8648
16432,65584
8091,65959
8543,8544
8310,57507
3,44692
48288,48287
207,52426
7057,20038
2953,68000
35794,35793
207,65534
751,40714
5019,42973
18362,68552
1079,49357
10768,13841
731,65444
10805,51144
751,59915
917,69530
2410,47304
1954,31654
8698,64155
6379,10170
3,42431
207,44986
6796,61883
751,59601
207,47974
556,58853
14988,57238
8647,23110
7495,37083
250,47767
1465,49147
6379,71623
2307,62705
235,70122
556,55269
6379,22710
556,72241
22522,65312
207,18753
16270,65864
11225,63293
10805,41900
751,5099
751,21537
1916,10609
133,27454
917,73056
3371,31024
207,47096
10872,51400
207,51422
751,51442
1916,13467
917,62337
15781,15780
5790,73521
555,53570
1421,3410
751,64525
12196,55805
12587,62062
2662,27067
1079,68933
34649,34650
207,42318
2307,62292
3950,67972
2839,23839
1916,17715
250,50621
31565,31566
7057,27800
25176,25177
556,66726
36778,36779
5245,52848
1465,35963
12308,45504
17093,50245
914,73595
31998,44277
16916,75154
1421,16944
1079,30497
8042,8043
5459,53946
914,29089
29505,59996
3115,3114
1421,64109
32808,57079
6698,32430
133,49335
7452,9672
207,71762
299,43496
5459,46404
41397,41396
235,34490
207,68801
21937,36565
207,54502
19203,74223
556,55591
