agriculturalproductcookedwitha1_1,agriculturalproductcookedwitha1_2
445,260
1012,1013
1146,507
1412,1413
1413,1492
508,810
2847,2848
2850,445
3288,810
3349,2834
2834,263
4260,810
1413,2848
4573,810
1413,4632
445,3292
5131,810
5410,810
3150,5437
507,5746
3076,1413
2834,6227
3292,6241
445,1982
2850,810
1413,6983
7609,810
7687,1413
1413,7987
8128,1413
1413,8444
6354,810
2834,9232
1407,2847
3291,9695
9783,2834
3979,810
10599,810
2834,10612
11088,810
1413,11249
10050,1413
1413,7428
11883,1413
11180,810
12024,810
1413,12093
1498,1413
1413,12293
445,3288
2834,1413
5878,1413
507,3339
1413,12936
1413,12955
13130,12936
8481,1413
13216,1823
1413,8524
6347,810
445,14328
6354,1146
13130,1413
1413,15053
7602,2834
1413,2034
15202,2834
1413,15232
15440,1413
3076,1012
15485,1413
6470,1413
1413,15562
1413,3291
1413,15605
1413,15622
1413,244
1413,2693
445,16135
507,8444
16259,2834
16398,1413
1413,6354
9783,3150
16559,810
12326,9611
2834,16676
2847,17081
15099,2834
6825,1413
1413,17292
17362,1413
17519,810
17560,1413
13652,810
3339,810
3150,508
507,18274
18577,6227
445,4457
1413,5450
2834,3979
19217,1013
19231,810
1413,9219
3292,1413
19561,2834
10599,2848
810,16135
445,3291
3150,3292
1413,21174
1413,21199
1013,810
2834,1956
1413,21594
445,21624
17519,1413
3150,1413
1413,1146
15053,1413
1823,3291
2834,15232
1413,22795
1413,7124
1012,7126
1823,2834
2490,810
24178,1413
1413,18274
24230,810
9056,3076
11249,1413
1413,24428
1413,24600
1013,2834
2834,3150
18577,3292
1413,24718
16135,810
25054,1413
25109,810
1413,17608
21594,507
445,17560
2834,2765
1413,25376
445,20060
3292,508
1413,25054
3150,7126
7126,1413
18710,1413
1413,26323
12936,1413
3292,445
13652,1413
16273,2834
26580,1413
445,26686
445,3278
6354,2490
1413,27066
3076,1353
3291,12326
2834,5450
508,507
445,507
5502,507
6337,810
15622,810
2834,27597
9515,1413
27734,810
445,2848
1413,27854
1353,1413
19217,1413
13198,810
28213,1413
28355,810
5502,1413
1413,5437
810,18577
6227,507
6227,28814
507,21594
1413,8128
29126,1413
3150,6347
2834,25660
445,4573
3291,508
8487,2834
30153,2834
2765,1413
1413,23709
9211,1413
1013,2848
30414,1413
13205,1413
1146,1413
1413,18121
445,13256
9611,810
445,17362
16259,810
507,4464
2834,11660
15605,2848
32012,810
9056,1413
1413,27983
1413,32228
9783,15605
1413,507
2834,8139
1413,26832
445,23709
8126,1413
16676,2834
2834,34237
445,3150
1413,508
1413,24565
12863,810
2765,7602
1012,1413
1413,28716
17608,810
13198,2834
1413,35367
22207,810
445,18577
1413,1823
9211,810
810,2834
1413,6239
29530,810
445,810
1413,11180
1413,3076
15232,1413
6347,2834
17362,507
6227,21199
27597,2834
10829,810
3150,5553
1413,1013
244,1413
5502,810
25986,810
445,12847
17204,1413
33064,810
3150,34237
5553,11660
3349,1413
2834,38509
9232,2834
6239,1413
507,16077
16077,2848
12293,1413
1413,12904
1498,507
1413,23822
1413,5502
30563,2834
445,27734
1413,5818
1413,25152
1413,9611
38509,1413
3288,1413
507,10829
1413,5878
1413,31406
6227,18577
1146,810
1413,40090
1413,38175
6227,9056
507,4457
445,28814
10612,1413
1413,1012
38136,1413
507,19217
3292,2850
1146,8744
1413,29688
27091,1413
1413,25059
2847,2834
1413,36830
1413,7494
2848,16077
4457,507
2834,30563
4457,810
9211,2848
1413,3373
507,7562
14813,1413
1013,15605
1413,24230
1146,12863
1413,4777
445,2765
21199,6227
1413,6130
33064,1413
445,9086
6227,16135
1413,13858
35712,810
43694,1413
1413,43784
11161,1413
1413,43845
2847,507
6354,1413
3292,8961
2848,9695
28814,7562
2848,13130
8128,507
1413,15440
1982,1413
1413,7562
9611,12326
9211,2834
2490,1413
4777,1413
13799,1413
445,36830
4457,2834
1146,9211
38136,810
45248,810
5450,1413
1413,26263
25059,2834
5450,810
445,7987
2847,4457
7987,1413
1413,45535
4329,1413
2834,26832
38509,507
445,2850
508,1353
23709,1413
2847,9211
1413,17519
4464,507
8139,1413
445,6130
46670,810
1413,2834
1413,28534
2848,2834
1353,9783
2834,2848
1413,1972
1413,808
2848,3150
9211,1013
2834,40968
18710,3291
48171,1413
3349,810
27862,1413
507,3150
33370,2834
15605,1013
27734,1413
3076,810
13130,810
5502,2834
1413,13198
507,23709
33525,810
507,9056
1413,48899
21624,810
2847,7121
1413,2490
1413,8481
21624,2834
3292,1013
1413,30414
4872,2848
1413,22207
445,6825
11660,2834
8108,810
1413,18710
28092,1413
7602,1013
41488,810
1413,40398
260,810
5450,2834
1413,30563
2847,13256
2834,9211
1413,17362
15202,507
1413,8487
2850,1413
2834,41278
2834,3349
1413,24192
1413,24036
445,24178
6354,29530
1413,41353
4329,2834
445,2847
20489,810
14502,2834
445,16273
41278,1413
6825,7602
1413,4464
9611,1413
6130,810
7987,30392
1413,50040
17081,1413
1413,24569
507,17608
1413,15202
2848,1146
445,1012
445,7562
1413,48631
2834,25059
8487,1413
15622,2834
7987,445
21784,1413
52664,3291
1823,810
48873,3278
24036,1413
3150,810
445,2034
25660,1413
48631,1413
12863,2834
2834,17204
3291,1413
9515,507
445,38666
16077,810
1413,6347
1850,1413
1413,41351
3278,1413
1413,24178
18274,507
18710,810
1413,53736
41351,810
17608,1413
37878,1413
3291,810
36830,1413
3291,8961
1413,2765
1413,27734
1972,1413
43845,1413
22719,810
7687,810
31406,1413
1413,48853
3150,7124
21594,1413
36417,1413
2834,1012
50040,1413
17204,810
2847,3291
1413,9783
23824,810
1413,43694
2765,2834
2834,6771
16135,6227
17608,507
2834,15202
2834,7395
3292,4457
9056,7602
1413,33370
28716,1413
3291,18577
445,4464
3291,507
2834,31406
48853,1413
48631,507
508,1413
