agriculturalproductcookedwitha_1,agriculturalproductcookedwitha_2
507,508
1413,1498
1413,1823
1972,1413
810,1982
2034,1413
1413,2490
2834,1823
507,1498
3291,3292
3339,445
3373,1413
2834,3979
2834,4329
4457,2834
4464,445
1413,4872
3291,1413
2834,5450
5553,3150
1413,5878
810,6130
2834,6771
507,6825
1413,7428
1413,2057
810,8108
6825,507
1413,8139
2834,1013
507,5746
1413,8481
2834,8487
1413,8524
8744,445
8961,1413
507,9056
507,3150
507,9515
1413,9578
9611,445
9578,2834
6227,3076
2834,10618
2834,3150
10829,507
1413,11180
11383,1413
1413,11249
1013,507
2834,3349
8524,1413
2834,4457
6227,507
2834,9232
12904,1413
13198,1413
810,13286
810,13332
1413,8444
13799,1413
810,11180
1413,6470
13130,1413
445,1413
14502,2847
3292,8444
810,14819
1413,1850
1413,15200
8487,1413
2847,445
1413,15550
2848,16077
3292,2850
6337,1413
810,17075
2834,17204
17364,1413
507,17608
18121,445
3291,2834
3291,11161
18710,3150
1413,18893
3076,1413
1413,18988
810,19060
810,15202
810,5502
9695,1146
12936,507
810,20489
2423,3291
13130,18577
7121,1413
2034,445
12293,1413
21224,1413
3076,3292
507,7602
21784,1413
19217,507
3278,1413
2850,3292
2834,7562
22719,1413
5131,2834
9611,12326
507,6227
2834,9578
1413,16543
1413,24192
507,810
810,8128
3150,1413
24565,1413
24569,1413
1407,2847
1146,6354
3291,9783
25059,1413
25152,445
5437,3150
810,13652
1413,25660
1413,25847
810,24565
1413,25986
2765,445
3076,445
5746,3292
2834,11180
810,2850
810,17204
2834,13198
810,5450
1413,3150
26832,2834
1413,3076
17362,2847
507,18577
507,1013
810,1146
21594,1413
2834,27983
810,28092
5878,445
2834,12863
7602,3150
12024,1413
1413,15202
810,16559
3288,445
810,5437
28716,2847
1413,6771
10599,2848
3291,507
810,27091
507,3292
1413,5450
3150,2848
507,17081
810,5131
18577,3291
810,7126
1413,13256
18577,6227
30392,3150
18710,2834
810,30563
9211,445
810,6825
507,18274
5410,1413
11883,1413
10599,1413
810,14502
31141,1413
17204,445
2834,31406
1013,2848
25152,1413
31550,1413
810,16273
13286,1413
810,9611
810,32012
810,22795
1413,32228
2834,16273
8126,445
1956,1413
1146,1013
6771,2834
1413,20060
810,9578
1413,12326
1413,14328
19217,1413
2834,1521
33370,1413
33377,1413
2834,11883
33525,1413
4777,1413
1413,13286
507,1413
34071,1413
5878,1413
10612,2834
1413,27066
6354,1413
3291,2848
810,1521
25847,1413
810,9515
810,9695
17519,445
810,3373
1413,14502
17608,445
2848,2167
35621,1413
810,35712
35815,1413
3292,1413
3076,2847
35980,1413
810,17324
810,27597
1413,28213
2834,6347
28092,1413
810,7609
1413,2848
36830,3292
35712,2834
17362,1413
7428,1413
29126,1413
11635,1413
2848,9515
810,37495
1139,3076
7602,30563
2834,37552
9211,1013
4573,1413
3292,7602
810,38136
1413,5437
1413,38666
5450,2834
2834,15605
1413,4373
1413,16874
810,2847
39212,1413
16559,1413
25660,1413
1413,26323
810,6347
17519,1413
28814,1413
1413,30414
1353,3076
9783,1413
2834,28716
810,12024
10599,445
1413,14819
6470,1413
33968,1413
18577,3292
17204,1413
2834,40968
41047,2848
36830,445
2834,27597
9611,1413
2834,810
41351,1413
7124,3150
1521,2834
15605,9783
1413,2847
2765,3150
2834,7602
810,27734
6825,2834
8481,1413
2834,6354
19217,445
11660,5553
7126,1413
1413,24036
2834,9695
810,41353
7987,507
1012,3076
445,7602
43387,445
32012,2847
38175,1413
24230,1413
18121,507
3292,9056
13205,1413
36417,1413
1413,13799
8444,1413
2834,7395
17608,1413
6227,28814
5131,445
2834,2847
508,3291
1413,44699
28716,2834
445,7987
15202,507
6825,445
1413,27597
9578,445
11088,1413
2834,1498
1413,35712
18121,1413
3291,18710
17519,2847
36830,1413
1013,9695
1413,28716
2847,507
9056,445
810,13198
810,13130
7987,2847
5746,507
7602,445
1413,13652
21199,6227
1413,46504
1413,17560
11660,445
1413,26832
3291,1146
810,808
1972,1012
1353,47705
23846,1413
7002,1413
2834,9515
2834,34237
12759,1413
3150,445
2848,1013
1413,48559
14328,507
507,48631
15605,1146
2834,2848
48853,1413
3278,48873
810,7987
507,23709
11660,2834
9783,3150
508,28814
2848,3150
3291,15099
1413,1412
810,4573
1413,4464
810,46670
810,22207
25054,1413
3349,445
1413,7987
17204,2834
49900,1413
18893,1413
16676,2834
3339,507
50040,1413
9515,1413
810,508
1413,14526
1413,33064
29530,1413
16273,15099
1413,1146
3150,2847
1413,29530
15099,2834
1413,11660
18274,1413
1413,1521
1013,5502
7562,445
51292,1413
