drughassideeffect_inv_1,drughassideeffect_inv_2
213,214
213,1316
213,1695
213,1994
2041,2042
213,2321
213,3098
3106,3107
3425,3426
213,4001
213,4268
213,5085
213,5688
213,5837
213,5899
855,5999
213,6106
213,6474
213,6772
213,7239
8130,8131
213,8291
213,8447
213,8568
213,8636
213,8945
213,9363
213,9665
213,4412
213,10631
213,10939
213,10956
213,11206
213,11220
213,11352
213,11500
213,11528
213,11678
213,11685
213,11744
213,11808
213,11886
213,12112
213,12300
213,12368
213,13050
213,13181
213,13211
213,14353
213,14472
213,14895
213,15223
213,15961
213,16030
213,16033
213,12136
213,16572
16582,8131
213,16793
213,16843
213,12694
213,17699
213,17882
15106,412
213,18550
213,18794
213,18811
213,19258
213,19375
213,19666
213,19753
213,20072
213,20175
213,17772
213,20517
213,20526
213,20873
213,21859
213,17932
22310,22311
213,22312
213,22424
213,22453
213,22510
213,22648
213,4969
213,5400
213,22919
213,23101
213,18864
213,23696
2281,412
213,24025
213,11997
213,24456
213,13022
213,24798
213,24849
213,11614
213,24859
213,25073
213,25218
213,25594
213,25657
213,25735
213,25970
213,23031
213,26023
213,26031
213,3426
213,24940
213,26724
213,26755
213,26858
213,26875
213,27383
213,27429
213,16576
213,27815
213,27979
213,28477
213,28695
213,14556
213,29104
213,2522
213,29779
213,29853
213,28912
213,30302
213,30382
213,30397
213,20939
213,26953
30610,30611
213,8131
213,30689
213,3535
213,31196
1637,26764
213,24801
213,31358
213,31909
213,31989
213,32067
213,32215
213,32274
213,32398
213,32600
213,32643
32675,32676
32713,32714
213,32801
213,33102
213,10900
213,33532
213,20786
213,10717
213,33715
213,10259
213,33971
213,33991
213,34042
213,34110
34112,26953
213,34156
213,34198
213,34376
213,34811
213,1306
213,13890
213,25201
213,35751
213,35863
22357,2042
855,16576
213,36382
213,36458
213,13701
36618,30611
213,36789
213,10119
213,37110
213,37141
37160,16576
37194,8574
213,37212
213,33433
213,37557
213,37641
213,30849
213,37854
213,24493
213,37966
213,38230
213,38520
213,19077
213,38663
213,38725
213,8324
213,38885
213,38932
213,39085
213,15960
213,39222
15119,8131
213,39346
213,33671
213,39515
213,30412
213,39775
213,25822
213,40094
213,9854
213,33752
213,40279
213,40332
213,28237
213,26891
213,18016
213,13173
213,40831
213,41081
213,41132
213,41214
213,41242
213,33068
213,10555
213,41381
213,41537
213,41841
213,41853
213,41939
213,42115
213,42136
213,42224
213,39905
213,30740
213,38588
213,42647
213,42712
213,42954
213,43100
213,43390
213,43661
213,43903
213,43979
213,44094
213,44202
213,27388
213,44404
213,44424
213,3415
213,44872
213,44890
213,45080
213,33036
213,23344
213,45375
213,45398
213,28876
213,45542
213,39654
213,46225
213,46364
42874,5999
213,46583
213,32952
213,17042
213,46722
213,46795
213,46930
213,43491
213,47094
213,47242
213,47303
213,47507
213,47536
22310,47585
213,47745
213,47886
213,47939
213,21200
213,48218
213,48538
213,37170
213,45061
213,48895
213,31866
855,8131
213,49099
213,16486
213,11394
213,49288
213,49508
213,49573
213,49626
213,49687
213,44965
213,49756
20197,30503
213,37918
213,50253
213,50494
36618,26953
213,50771
213,46818
213,2530
213,50822
213,38693
213,51069
213,51145
213,51323
213,9146
213,51396
213,20963
213,51586
213,51705
213,51761
213,13214
213,52260
213,29516
213,9323
213,52420
213,28520
32675,30503
213,52677
3425,11976
213,23044
213,10461
213,53368
213,53450
213,35900
213,34616
213,50256
213,10514
213,40532
213,53993
213,53995
213,54015
213,54025
213,54051
213,54070
213,54168
213,54275
213,54320
213,23359
213,14454
37160,750
213,54732
213,54991
213,28537
213,55397
213,18026
213,55431
213,13445
213,45104
213,45791
213,55753
213,53286
213,38713
213,55979
213,17922
213,47826
213,43235
213,56422
213,51201
213,52733
213,19152
213,52330
213,51875
213,17755
213,26331
213,39248
213,53162
396,56937
213,57080
213,8003
213,28615
213,53546
213,29087
213,57757
213,52725
213,57872
213,28059
213,53933
213,35814
213,58326
213,35313
213,58345
213,15092
213,58376
213,55955
