statelocatedincountry_inv_1,statelocatedincountry_inv_2
977,7630
1098,243
700,11998
700,13764
1901,14972
700,10658
977,16573
700,16733
977,6947
977,21122
90,1627
700,22702
977,4089
1098,7905
90,27991
977,27996
494,27908
3124,3005
494,25471
1098,17
977,2349
700,22147
977,35100
700,36646
90,2417
700,40389
977,42983
3975,30617
977,43701
977,35231
977,44268
700,45087
1098,3262
977,13269
977,46005
977,2625
977,1050
977,31589
494,24678
90,2424
977,31353
977,844
977,35122
700,37272
636,49904
977,4095
1098,1092
90,1844
977,904
700,26652
9080,22659
1098,819
1901,24139
977,37510
977,27748
700,54915
700,54984
977,23068
494,21402
977,2366
977,2079
700,34000
977,1724
494,44148
494,9972
977,56747
977,58009
494,47623
977,8272
494,4564
977,1016
977,39213
494,34118
700,30502
977,28468
494,9355
700,13393
700,57236
700,11589
1901,33575
977,270
977,717
700,21535
977,57849
3307,541
700,13803
977,61819
494,4974
977,67077
977,8443
977,40424
977,20681
977,22703
700,46686
1098,866
977,459
494,2855
1098,1374
700,43175
977,22178
977,18283
700,6416
977,6
977,2158
494,71277
1098,3370
1098,1868
700,66457
977,28387
977,30119
1098,978
700,10210
700,72581
494,6329
977,23537
977,70692
700,68226
700,31488
977,26175
977,321
977,1953
977,63223
977,3055
700,11007
977,3805
494,2731
977,8672
977,1270
977,3726
700,31215
977,1568
9979,2921
977,2068
494,62349
977,5802
494,18932
977,74856
977,20206
977,63766
977,6288
977,74432
977,47539
977,8162
977,18424
977,50669
977,28159
494,48563
700,13292
9080,69446
977,3738
1098,1966
1901,46050
977,57228
977,3538
977,69898
977,4299
700,15723
700,45063
977,4047
700,1892
