museumincity_1,museumincity_2
2268,74
13874,133
16788,133
19007,13418
19084,133
19122,74
25237,133
26241,114
14597,479
29678,751
31614,31615
33022,751
20931,133
35057,74
37449,8047
34069,74
42157,299
42990,6837
9596,299
44467,74
45887,114
46010,74
47337,74
37555,74
48956,74
49715,479
50374,4099
51205,751
51310,299
27281,133
56035,565
57352,74
22279,8647
51608,74
54283,74
58163,133
58198,5459
59097,74
60406,751
60868,5459
61072,133
61117,74
61289,74
41507,74
44840,74
61514,5963
41131,133
49632,5896
64576,299
56746,751
48502,5228
44418,74
65786,5228
42596,74
65154,565
4782,74
68760,74
69128,299
69396,74
69809,74
13775,5121
71166,133
13658,815
38084,8647
71723,74
49556,74
50744,133
40109,74
54446,565
17430,133
62980,133
72130,4764
54739,74
70045,133
70640,133
73475,133
41343,74
35344,74
20607,751
53824,74
74754,565
31410,133
66438,4310
53557,5459
73367,73366
37446,133
61672,74
75233,133
48624,133
71977,1876
35028,74
