personchargedwithcrime_1,personchargedwithcrime_2
2552,2553
3432,566
4939,566
5648,461
5682,566
6941,6942
7947,7948
9288,566
1234,566
12043,12044
12321,566
796,461
4928,566
12056,566
14750,14751
15156,566
12560,566
18029,18030
10352,566
14087,18913
2333,18913
19940,566
20915,566
12926,12044
9296,566
4939,24754
13866,461
19940,12044
24991,18913
12570,566
25178,18913
25649,461
25813,25814
15068,566
26360,26361
28560,566
15558,566
30381,12044
30594,30595
31082,461
33396,18913
33845,18913
19903,14751
34385,566
1025,12044
1995,566
28727,12044
9760,566
2333,36625
2552,566
15558,37701
11412,12044
37986,566
11762,11761
1921,40161
5847,566
40507,566
41549,24754
41781,6942
41884,32310
39658,12044
17059,566
4939,16630
3008,566
43103,566
796,43217
2039,18913
43472,566
27181,566
2397,461
11749,461
6941,20935
36667,7948
45142,18913
13866,12044
39658,461
46519,14751
46660,46661
17821,17820
1995,18913
1025,18913
9741,566
6941,1547
6941,49598
15977,566
31804,14751
15475,50129
4810,461
28727,461
52192,566
9019,566
13722,24754
28303,566
15558,15557
13722,566
55649,566
55851,18913
27181,56144
56275,461
20050,24259
27105,461
57259,566
52242,566
57993,18913
49840,461
56275,12044
59519,59520
59558,461
27138,566
15816,566
24609,18252
15174,566
1921,461
1330,461
56275,566
60555,60554
59994,461
62332,566
62442,566
15558,24754
62548,18913
647,18913
18702,566
15888,57022
1704,461
19940,461
63870,14751
64281,64282
64622,3528
47784,566
32311,32310
65877,35581
4753,566
66580,36625
66660,461
66762,566
11762,566
11570,18913
58055,461
66980,566
12926,40161
2990,34009
11052,566
33046,56867
16290,12044
49056,49055
43535,566
3504,566
796,18913
3533,461
60555,68313
68457,566
68553,566
62328,62327
33573,45903
63937,566
16717,12044
42535,566
32856,68123
36379,566
49911,14751
15475,63285
41781,66882
70047,566
36868,461
19830,566
17471,461
91,461
835,566
18253,18252
17471,18913
17471,67933
4939,37701
2893,14751
2990,20935
19670,19669
71157,14751
15558,29878
1122,18913
9575,7948
20133,566
53814,35581
1684,566
66609,566
12043,461
15558,16630
19670,24259
49005,566
40631,73092
3264,566
187,566
26469,566
50652,566
16290,461
45671,566
17935,566
12446,14751
3229,461
39684,73175
11412,461
30118,18913
796,12044
16004,566
796,72950
20405,566
70620,72662
4869,68943
35035,461
6941,461
16281,566
31900,566
796,566
1025,461
66105,566
52673,566
6370,566
54828,566
68527,566
4869,461
1921,12044
567,566
11155,461
16717,461
91,14751
2001,566
27710,566
11155,12044
2039,566
19670,566
74719,566
796,3528
70096,70095
53439,57022
35582,35581
27939,566
46660,73975
15558,17134
39553,18913
2893,461
3995,566
4711,566
17821,566
6941,34009
75230,566
28364,566
70620,70619
11387,566
15472,566
74696,566
27249,461
5793,566
39684,18252
26126,18913
1684,18913
796,40161
