mammalsuchasmammal_1,mammalsuchasmammal_2
605,606
2365,1927
2478,789
1758,28
1069,5909
4405,2365
10435,2365
10592,1069
1069,11346
12670,1069
12831,789
7148,28
28,1069
9605,14851
789,605
2365,16710
16898,2365
4609,789
4650,17445
605,2642
1069,18233
18351,2365
19074,1069
2365,19887
1069,6465
1069,29
20682,2365
789,2365
2365,21694
2365,12831
11339,2365
25978,1069
26307,2365
2365,12363
5659,2365
27999,2365
28942,2365
605,28
29184,2365
12831,2365
789,2642
29933,2365
605,789
871,2365
789,1069
30489,605
2365,4609
2365,789
16105,605
25978,2365
2478,2365
28,34625
34830,824
2365,29472
789,28942
789,16105
36271,2365
36696,1069
1069,10592
2362,605
789,2478
1069,38045
1069,38099
2365,11339
38733,2365
1069,36696
2365,36271
16983,824
2365,4405
2642,789
4866,7649
8408,789
1927,2365
5278,1069
37383,605
34052,1069
1069,12831
2478,605
605,9079
605,19085
29,28
14227,28
2365,27826
4275,605
15280,789
46261,1069
1069,46726
2365,17488
10997,2365
12441,12831
7022,1069
28942,14408
2365,28942
14169,605
8408,2365
11346,1069
48291,1069
48568,2365
2365,31165
31165,2365
605,14169
8408,1069
20937,2365
2365,605
2365,21919
789,50819
51015,824
1069,49780
605,283
2365,1642
2478,12831
1069,51933
2478,1069
14408,28942
2365,29184
8079,1069
28,2365
4650,4651
2365,53253
2365,28
38099,2365
29473,2365
2365,1358
605,7962
605,44206
11916,1069
6785,2365
1069,8079
56036,6810
56513,1069
38918,1069
28,14227
4866,6785
34174,2365
605,1758
605,30489
5611,14407
28,789
28942,2478
2642,605
605,8408
38918,789
4709,4710
14408,6465
28,26824
6810,789
2365,25978
5797,605
1069,7022
37882,2365
29988,14408
9079,2365
2365,9922
60172,2365
2365,48568
14227,7962
2365,56608
1069,5797
605,14227
789,4609
3730,1069
1069,29472
2365,2328
1069,48291
19085,1587
605,4275
28942,605
2365,16898
2642,1069
14851,9605
29,14408
28942,1069
28,1758
2365,27999
1758,2365
28,7148
28,17975
7961,1758
37723,14408
16710,2365
2365,5278
2365,60172
14227,145
14227,29637
66783,824
14407,5611
789,12831
605,16105
4710,4709
1069,3730
3730,605
605,5797
12363,2365
2365,46726
1069,1758
2365,2478
2362,1069
14408,37723
2365,58218
68173,2642
14227,17975
64681,1069
14408,34052
605,1069
1069,8408
7022,2365
28,29
14408,9079
6465,1069
145,14227
14408,51933
1069,789
2328,2365
50819,789
14408,14407
1069,55946
1069,51015
605,37383
17445,4650
1069,38918
5278,2365
605,25978
1069,5278
29988,5797
2365,29933
46726,1069
1069,2478
4609,2365
56036,1111
16105,789
17488,2365
27826,2365
145,28
1069,34052
1069,2362
2365,6465
789,8408
49780,1069
51933,1069
28,145
14408,1069
72882,824
9079,4694
2365,10435
2365,29473
19887,2365
1069,19074
2365,10997
2365,3730
1069,2642
29472,2365
14227,605
1069,27977
5797,1069
12831,2478
605,15455
605,2478
34052,14408
17975,14227
789,28
605,34794
283,605
1069,25978
1069,40341
1587,19085
44206,605
1069,12670
17975,28
5797,7962
48872,824
5909,1069
1069,56513
28,605
605,6810
2365,7022
21919,2365
2365,2642
1069,28942
2365,1069
4651,4650
2365,38099
605,3730
38099,1069
2642,2365
2328,789
14407,14408
2365,283
53253,2365
1358,2365
2365,34052
14227,5797
28942,789
605,28942
1069,5611
47353,824
605,4694
1758,1069
2365,5659
12441,2365
1642,1069
789,6810
1069,75217
1069,64681
14408,5611
1069,2365
2365,20937
21694,2365
5797,14227
30241,1069
58218,2365
7961,3165
12831,20937
46726,2365
2365,34174
15455,605
2365,37882
789,38918
20937,789
26824,28
1758,605
