topmemberoforganization_1,topmemberoforganization_2
423,424
4186,4187
4652,3168
4960,4961
4115,4114
5860,2772
2897,6231
7058,7059
7301,7302
8416,8417
8927,8928
9451,9452
5411,1856
10180,3381
11835,11836
12327,12328
12382,12383
13432,7177
13635,13636
14117,14118
14741,95
15298,15299
15448,15449
15759,1271
7808,7807
16375,1071
8158,4105
17265,17266
17422,554
17898,17899
10200,19192
8820,8821
19814,19815
12767,12768
4345,21125
15390,554
23642,23643
23650,23651
23816,1699
23929,6371
13603,8417
6022,6023
6132,238
9139,26482
20136,20135
12127,12128
27387,26903
14771,27399
12917,12918
6710,5952
28200,4809
28558,14965
28710,813
3135,3134
17835,9148
8267,20306
25488,30274
27636,22751
3064,21060
30477,584
32508,12383
15968,7177
18143,18715
32992,32993
11978,2859
33369,8979
4740,20885
10105,7853
18695,4445
25464,8736
20571,95
34375,698
34389,34390
34866,34867
10393,10394
17107,17108
36149,36150
21049,617
36487,2659
21419,21420
29777,18845
8962,4
37479,7200
1003,1002
6513,813
2597,38954
3704,2521
22356,22355
1202,1201
25709,29346
19047,3228
8984,8985
42589,8572
3630,910
21218,2960
11911,2368
43686,43687
13241,498
43086,11926
25782,15919
45352,2659
13315,3572
46155,46156
23251,23250
30981,30982
1229,1230
36957,4
26838,47222
15227,15226
12013,12014
4231,2521
25688,25689
311,22224
47864,11045
4946,1856
27580,4680
312,756
18709,49610
20178,5109
50162,11430
15665,15664
25483,6374
26255,26254
15180,23041
38282,38281
50834,44941
9089,9090
21449,2772
22444,30125
52246,52247
29599,26057
12970,4947
3018,3017
52721,40469
52988,4603
47036,29651
6495,37352
14335,53801
8729,8728
31573,31572
20093,20094
13646,55362
11633,4680
8573,8572
17059,3228
11775,14135
18371,18372
47807,3051
4326,95
6030,4838
2210,10935
11996,11995
2804,2803
17576,7627
55939,2842
34880,15383
40665,40664
1536,2772
25150,25149
57147,11368
43594,4
29159,53797
9442,9441
11392,11393
52467,1369
28581,19744
12484,752
9230,1978
44466,44465
1055,1054
15499,1883
6814,14456
13101,12761
40741,40740
11334,27640
60821,8392
40789,14025
26811,5253
4958,4957
6613,6612
7031,4838
20150,19192
778,1271
49823,14205
48059,15179
47857,11429
14761,4192
31975,4749
56050,8979
12903,5047
14646,28973
35021,14212
32337,16097
30795,30794
29265,9539
46981,10203
3294,620
26215,4445
32746,17199
16140,16139
15091,2934
4404,3344
53031,4
64977,620
15322,2772
6768,6769
10663,4193
814,813
28394,8417
55716,38020
3229,3228
11425,34800
33932,22224
35550,43687
33303,19160
32814,44864
56641,8736
6434,6433
60072,4105
11087,7567
46888,95
13666,13665
3995,1369
29425,29301
15043,8511
49221,49220
44171,498
8493,23192
13575,36296
42613,42612
10510,7012
62844,62845
397,398
27259,27258
26463,26464
15225,15224
54012,8392
20345,7627
20016,66623
21774,38291
66088,2659
54746,44864
8218,14456
20408,11430
36674,18218
36165,31639
17487,17486
51864,19413
43377,2772
17402,17403
31322,19875
7719,7720
4655,4654
42374,3739
60729,44484
26268,26269
3792,10225
26472,55550
25644,21187
27608,27607
52707,52708
25876,48382
48704,48703
36523,8971
12237,70788
6087,28963
4106,95
5608,15809
38845,4355
13560,13561
24090,19301
47385,14330
23153,29869
21490,21489
2641,1369
1428,33890
13385,5253
1519,10635
8369,50154
15776,15775
11625,11626
59951,59952
32566,51202
2537,2859
41318,2772
19719,16097
25225,25226
1313,593
7884,7883
44980,10578
25327,17266
2154,2153
10543,10542
19544,34379
23737,680
11818,11817
49870,49869
2876,2877
73327,95
30749,16787
11323,5253
54949,63661
64286,13506
57351,7658
34864,4105
33248,20084
4934,19192
1327,13597
22161,16139
7061,7060
60967,19875
16619,1978
57506,57505
28274,7176
34664,34663
28457,18451
18733,18734
34293,15644
29358,5370
54624,65253
14213,14212
29058,3344
5824,5825
6396,2659
11619,11618
5479,5480
2927,17199
23076,14183
39699,18080
9403,554
11283,11284
939,7830
37853,37852
19296,19295
14024,14025
26740,14537
16479,26810
23644,698
32495,17507
33666,21285
32850,16377
13544,13545
23852,25616
64341,8392
14642,14641
25902,38262
57333,10733
39134,39133
27221,1856
23356,8736
19513,6263
5626,5627
15926,15927
18516,18515
40885,8572
19970,14513
36846,36845
7707,179
20725,30174
37867,37868
26716,26715
32712,24370
8326,371
9575,14965
15429,1978
10950,2075
35458,7627
12018,20887
19961,19962
51472,19413
22416,4026
52288,16520
20909,680
12347,52080
13602,9264
13428,65482
16382,18759
4704,11469
37435,14205
47559,11430
45670,1583
41656,29884
60766,73243
19322,19321
32673,32674
31431,10578
20336,20335
5424,35648
29408,6263
