teamwontrophy_1,teamwontrophy_2
687,1026
486,1317
1011,3548
562,3400
6744,6745
447,773
5044,1721
2694,9621
87,1026
1284,1317
4659,3400
2476,1317
3746,12058
3746,11099
662,2705
5044,3548
2694,12585
1004,3548
5002,2705
100,1317
446,14514
8204,1721
12248,1721
932,2705
3567,16115
501,16237
6816,16553
8222,15513
1011,16837
446,1317
4662,1721
19696,773
350,11036
87,3400
113,21685
1116,12058
1248,22470
2694,11099
497,11099
26510,16553
1248,1721
2007,1721
126,1721
3746,30411
281,2340
971,11328
4853,11099
7039,1026
3393,32054
3188,773
932,32397
3383,773
6744,2705
2007,33924
33982,1721
2694,34177
1116,1026
1914,11328
33847,1721
1222,1721
87,773
35530,3400
35735,3400
486,1721
383,1721
562,36753
3512,33924
9598,1721
1289,3400
2973,1721
3393,1026
8222,1721
265,33975
8532,3400
916,2705
10978,1721
56,1721
450,3400
62,1721
6088,32397
13956,2705
497,29400
3893,42426
16614,3400
2209,2705
486,32397
22411,773
476,2340
2341,2340
5183,13687
57,44618
3512,11099
1250,2340
501,1721
806,1721
5183,21380
3188,11099
1993,13687
4148,1026
4165,3400
7555,2705
10331,33975
3745,2340
1116,6745
8366,1721
3821,1721
18203,13687
1993,21380
446,3400
3893,773
449,3400
350,3400
3383,1026
3746,44235
22411,3400
3567,34085
501,46405
3746,52872
2694,1721
1116,11036
4165,773
8222,11036
2694,46405
4123,1721
497,33924
3746,3548
19696,3400
421,1871
449,6745
10060,1721
5920,3400
3188,1721
3900,1871
497,1721
446,42426
1116,15513
3512,12585
3893,3400
3360,14514
383,44235
6816,47184
1116,2705
1116,17499
7512,1721
7319,1721
100,3400
58755,3400
6744,15513
1248,30411
9915,1721
1004,1721
500,1721
562,1317
1011,1721
4854,1721
2694,1026
379,2340
1116,59878
686,3400
87,12585
487,3400
882,1026
9769,11099
3393,61105
33847,34177
2476,3400
486,1026
21181,3400
20983,47184
350,1026
256,3400
3393,1317
4602,3400
1011,11099
68,12585
1248,1026
3746,1721
56,44618
3854,1721
1011,18868
3900,2705
56320,64706
350,15513
1284,773
3893,1026
1493,11099
3567,1317
100,773
4148,1721
5183,33975
3293,773
486,41797
4602,1026
1248,16837
3745,21685
326,3400
2593,21685
11729,1721
971,21685
57,11099
2476,42426
350,17499
6744,17499
7812,1721
1493,1721
3567,773
3393,61028
3393,3400
35735,773
3746,16837
3393,16115
486,773
486,11099
4602,41797
882,3400
20258,1721
3893,1317
3293,3400
4514,32397
932,1026
35530,773
1192,6081
500,11099
9915,11099
9769,1721
8025,773
500,1026
3393,51242
1116,3400
4787,2705
1011,12585
971,2340
7486,1721
113,2340
12839,1721
1265,1721
2007,11099
1993,33975
1248,12058
8222,6745
10775,11099
256,42426
486,3400
350,6745
4848,1721
10775,1721
2244,2340
383,1026
447,3400
326,773
16250,1721
4853,1721
8286,3400
1284,42426
1248,45483
10159,1721
3893,51242
230,41082
1604,1721
497,42426
64960,64959
562,773
500,46405
1116,1721
4148,18868
1604,11099
3393,73182
1004,12585
1248,59878
3746,73321
3393,773
501,11099
3360,2705
449,11036
392,773
449,15513
3746,39249
487,14514
1248,11099
8222,17499
449,17499
1988,1721
476,11328
12115,1721
3188,3400
34,2705
3567,51242
932,1721
1355,1721
5352,1721
446,41797
392,3400
383,11099
10864,2705
4148,11099
57,1721
25255,3400
4418,34744
4602,773
1102,11328
7039,773
1116,12585
882,32397
1439,1721
497,1026
2004,773
447,1026
1004,16237
2593,11328
10331,13687
1633,1721
3567,3400
6744,11036
33847,9621
2476,773
57,1026
4297,32377
2694,18868
2004,1026
3900,74247
500,44618
8025,3400
2593,2340
3393,53815
552,32377
10434,1721
1004,1026
113,11328
421,2705
1284,1026
14077,1721
230,33975
3746,39233
4418,1721
99,1026
62,11099
7039,3400
3746,44618
3746,59878
3393,34085
4048,3400
1248,60359
2004,3400
1004,11099
1116,44618
2476,34085
3393,36753
4602,1317
10331,21380
7115,1721
1284,3400
265,41082
