clothingmadefromplant_inv_1,clothingmadefromplant_inv_2
840,841
840,5262
583,1981
583,2246
583,4206
9958,1710
840,11894
840,14668
583,15628
840,22706
9958,2300
840,177
25387,18556
840,8275
583,1710
840,15628
35775,35776
840,22172
9958,973
840,38659
840,35238
4435,177
37322,8056
840,176
840,17669
840,35776
36650,4856
583,2263
50379,50380
840,50418
3996,18556
7576,15407
840,4856
583,15407
583,5998
840,2263
840,8056
583,973
840,58212
840,60326
840,4206
840,31919
18313,198
583,1746
9958,4140
840,22704
583,4155
840,55365
583,34019
840,65978
66218,35776
40351,177
583,37179
840,66161
18313,18556
840,68853
840,9343
583,13771
583,44873
840,45175
840,70276
840,70123
50379,36649
583,582
840,14019
840,36794
840,20709
583,1178
840,14410
840,50380
583,26912
583,198
9958,22088
50379,65044
840,49397
583,4112
583,1119
840,45064
840,69420
36650,36649
39844,1710
840,67681
840,198
7576,2263
37322,50380
840,22088
840,973
840,23892
840,46753
9958,198
363,2246
64807,35776
