companyalsoknownas_inv_1,companyalsoknownas_inv_2
3551,3552
5034,5035
5452,5453
5724,2521
5943,5944
6723,6724
8794,8795
11044,11045
15619,15620
18241,8226
18619,18620
19056,19057
19246,19247
20083,20084
17508,4947
21016,21017
1369,3228
11470,11469
4276,27591
15919,1978
28597,28598
29084,29085
6402,14537
31294,31295
16097,16098
32021,20324
32496,6494
13937,30174
14537,6402
36341,36342
36385,36386
36277,36276
38766,14641
38782,18586
27126,15922
41126,41127
42872,42873
16098,16097
8766,4445
17384,7177
6221,14456
44862,19681
7199,44990
3310,2659
5253,9402
29651,35426
3228,1369
14604,14603
47103,8392
47537,47538
47859,5627
38887,40089
47427,15179
27951,3134
16139,6143
7012,20065
5724,4232
52053,5530
4192,4193
9402,5253
55550,26471
5048,5047
26471,55550
35693,35692
293,698
11591,11590
8023,14247
58984,58985
59272,59273
38542,34390
60468,50411
60760,59272
3552,3551
36276,47103
20409,11368
20885,20884
1856,19530
54925,16097
14456,6221
5452,14513
11470,11667
31638,19160
31638,3052
64349,64350
36341,37465
4193,4192
56555,14205
23067,2659
66323,66324
12552,11817
67491,67492
11817,12552
35759,10225
37009,54373
69395,34325
10474,64344
12790,2917
2436,56898
50039,5693
53642,47427
36277,6403
71567,8971
71588,14641
10225,35759
65948,51726
698,293
65652,25476
43895,16787
49387,45113
5944,5943
15919,27417
57994,4193
20065,7012
6403,6402
73355,60142
11741,14423
35426,29651
29651,63026
17535,15224
23719,13597
19530,1856
15922,15921
26113,19301
6221,4577
38021,38020
19302,19301
64805,24726
11470,4703
47427,24586
1369,7900
34599,23250
63026,29651
75435,15299
56235,26536
73693,73692
63828,63827
75165,75164
