athletebeatathlete_inv_1,athletebeatathlete_inv_2
1603,3358
4143,4144
8186,8187
13020,862
4930,3358
16819,17120
13554,19154
4930,20683
4930,4144
21917,21918
20683,4144
142,8186
4930,862
1581,19255
862,13020
13554,8187
1603,26343
27275,28221
24670,21917
16458,8187
4930,31865
33301,31841
862,863
142,21917
16327,26797
28221,1603
40274,28221
142,40356
16919,1603
142,24670
16458,44530
45657,21918
4930,19154
13554,8186
10640,32679
24812,3358
49046,49047
4930,14210
31841,3358
36350,3358
24670,21918
15176,3358
4930,8186
40375,21918
20683,14210
4930,18441
21917,10568
19154,16458
16458,8186
16327,27276
5772,38741
57657,21918
4930,16458
40375,24670
4930,40375
36044,38512
14210,4144
4930,21918
863,862
24670,13554
27276,16327
4930,24812
37355,37045
16327,38741
21917,24670
13554,21918
4930,10568
4930,8187
15034,24467
36044,27275
3358,40274
13554,24670
28275,9894
33301,28221
38741,32615
8187,10568
47803,28221
56847,55954
40274,3358
14613,862
1603,31841
13554,16458
16998,41640
21918,40375
27276,28221
3358,24812
8186,10568
8187,24670
8186,16458
27275,36044
1554,21038
27276,27275
142,8187
142,141
72579,40375
7069,13816
142,31865
19255,30198
14210,14209
3358,28221
20683,4143
4930,45657
142,3358
1581,30198
5772,32615
4930,1603
1603,28221
13554,10568
57114,37045
31865,24670
4144,20683
38078,31841
13816,4145
38741,16327
75080,28221
40274,38078
55954,28221
142,10568
28221,40274
56847,28221
27275,16327
18737,17120
862,14613
28221,31841
4930,141
21918,24670
4930,142
