citylocatedingeopoliticallocat1_1,citylocatedingeopoliticallocat1_2
295,296
245,485
1674,1601
89,4983
8237,8238
8380,2760
8473,4053
36,10090
15593,15594
3161,16182
2417,16705
18780,10890
19658,14288
5108,19740
20681,3518
787,21354
22229,12251
2079,23568
1674,6882
736,26301
2288,27530
29078,7072
20515,7220
29236,18698
657,15936
36,1454
154,31946
3161,24427
32572,32573
32936,3594
295,33049
1092,21274
33658,2802
989,5228
1465,74
36,7939
288,10503
7134,7135
22703,556
29278,36725
3034,74
3105,74
11663,16197
24139,20604
1901,37325
17,26562
40692,30587
20555,12573
1901,30765
700,4861
8473,5911
3034,250
250,31509
41301,4983
154,43238
2723,44735
13134,44779
9393,44904
6432,45997
1901,46348
2723,40754
3370,4561
85,6936
1059,29397
12015,48197
154,49422
1568,74
32572,34272
736,49616
36,36739
50320,2760
3040,36971
17,44803
1674,7220
250,7312
7557,35794
1050,4310
1568,2722
1059,29465
39185,51972
52303,23519
5008,15228
615,13684
11872,7072
1674,2953
56311,10637
103,56656
29983,29982
2127,36294
8262,42702
3105,4575
8459,5911
1098,74
5593,58032
7758,74
58635,21513
901,47842
17,556
47531,24282
23940,23939
6065,26562
9,7510
26316,16432
3370,9422
844,21080
2079,1421
9080,60372
57134,3518
49731,49730
11663,60632
154,60724
243,16270
54448,29153
20605,20604
36,1882
41359,44475
1901,25629
787,62238
6,19896
3307,32261
319,63739
700,15237
34785,34784
47531,2760
10928,2862
3034,800
11663,48829
103,65071
15847,3
17,555
85,18184
22840,22839
6065,6064
40999,40998
11663,66198
8459,66945
1098,250
62571,48775
9990,7579
250,29136
6065,10528
321,19361
1674,4099
14350,67741
12015,849
1674,2607
15627,61696
3034,4575
17,10528
3105,4310
700,58721
7557,46480
14548,13418
5593,28385
642,14593
3870,28592
3660,20350
736,15646
8380,24282
1674,26750
1098,4575
700,47557
8554,71856
1901,250
1674,133
3005,26429
4299,3488
29983,66843
16992,2072
10743,44284
1237,71962
787,67973
60886,27535
5593,30925
494,7220
14705,10414
9393,14914
9393,73674
10042,13684
2626,35991
7557,15011
13230,299
901,25321
1062,66916
116,299
787,68852
901,16466
319,69906
1674,5896
8459,4053
1674,250
44531,21937
13014,24092
1098,800
6065,5080
2625,3695
15596,15595
19658,46141
17,17279
46527,25583
1674,3930
17,51101
50320,24282
24473,24472
1465,43978
13014,28580
19775,2307
85,5228
17,3930
34179,34178
2626,21921
2626,42087
103,20403
1098,4099
3307,34679
67887,74
9080,18908
36,50718
44115,21766
1674,207
2158,7690
17,5459
74824,74823
819,74852
1016,50499
1674,917
34228,80
127,1399
23537,1131
