statelocatedincountry_1,statelocatedincountry_2
1892,700
1953,977
2068,977
3738,977
4564,494
4089,977
6329,494
6416,700
11007,700
11589,700
904,977
15723,700
8672,977
1374,1098
20206,977
21402,494
21535,700
2349,977
844,977
23068,977
3538,977
13803,700
3726,977
26652,700
27748,977
28387,977
28468,977
8162,977
3805,977
30119,977
30502,700
30617,3975
31353,977
2424,90
2158,977
35122,977
35231,977
13393,700
37272,700
2625,977
33575,1901
39213,977
40424,977
36646,700
44148,494
45063,700
18932,494
321,977
20681,977
46686,700
40389,700
8443,977
1092,1098
1844,90
17,1098
23537,977
4047,977
9972,494
4095,977
717,977
34118,494
10210,700
54915,700
1568,977
541,3307
459,977
28159,977
43175,700
27996,977
35100,977
57849,977
50669,977
54984,700
47539,977
6,977
7905,1098
47623,494
22147,700
16573,977
2079,977
2366,977
24139,1901
4974,494
63223,977
34000,700
58009,977
13292,700
61819,977
63766,977
3005,3124
270,977
1270,977
6947,977
16733,700
7630,977
49904,636
37510,977
978,1098
31589,977
62349,494
66457,700
56747,977
8272,977
14972,1901
13764,700
68226,700
42983,977
25471,494
819,1098
18283,977
69446,9080
69898,977
2731,494
43701,977
9355,494
70692,977
243,1098
10658,700
46005,977
22659,9080
22702,700
22703,977
13269,977
27908,494
21122,977
67077,977
24678,494
71277,494
3055,977
4299,977
2921,9979
2417,90
46050,1901
5802,977
1050,977
1016,977
48563,494
18424,977
3262,1098
1868,1098
72581,700
1724,977
74432,977
31488,700
22178,977
57228,977
74856,977
26175,977
27991,90
31215,700
1627,90
1966,1098
6288,977
11998,700
57236,700
3370,1098
866,1098
44268,977
2855,494
45087,700
