competeswith_inv_1,competeswith_inv_2
54,55
557,558
719,720
1385,1386
3051,2842
558,3175
2917,617
4224,617
4267,2436
4287,617
5186,1781
985,554
55,54
2437,1386
5032,6136
6758,558
6890,617
3082,7095
7483,3089
7635,7177
8094,3082
8461,558
558,8736
7730,185
9443,617
3082,6042
9855,617
9949,2436
2859,8736
7408,617
5113,1883
11064,5032
11573,617
2436,5032
11926,11430
3082,11201
7176,1699
1386,2437
12832,185
6136,5032
13563,2659
2659,1698
14055,2436
14268,554
5138,2436
14641,617
1806,10953
15396,3322
5253,554
14252,617
1883,15561
15917,10225
11064,2437
16379,2659
16390,16391
185,7461
227,617
17077,1386
4942,54
1385,2437
17446,17447
10876,2659
7037,7036
1699,16524
17626,3082
558,340
5031,5032
554,14268
19403,3089
19607,1883
19813,3322
18110,340
20104,15664
54,2659
20321,558
20326,617
15818,1386
3082,13836
544,617
21118,617
6536,3089
21368,1883
719,5186
21578,3082
2498,617
7177,1698
558,21903
21977,2659
20326,3082
1385,2436
12761,6263
752,554
20418,3082
557,617
185,22748
14184,185
21801,5032
985,11286
23000,617
6718,5138
7177,54
12933,617
24046,617
2659,24210
7176,21902
3082,13644
4030,3089
24526,617
3082,8563
572,4105
5186,6136
24871,2659
185,617
24968,617
6263,20104
2436,9949
558,557
3322,1386
26061,6774
558,572
719,15396
26648,617
26723,617
2659,26942
7041,7040
13644,617
27059,2659
8147,5032
22847,3089
11064,3321
340,27694
27816,617
8928,2659
7177,7635
7248,617
2659,28138
2659,28174
2437,558
1386,3322
28448,1699
1978,11469
8295,16524
21302,617
558,10588
29013,617
9855,29387
8147,15730
15664,6263
29698,1699
3322,5032
16524,2659
7095,3082
293,7627
14590,26967
11430,26061
6612,15219
54,1699
19403,617
13731,617
572,31348
6536,2304
27779,2437
29427,1386
1657,11286
3321,1806
3082,20326
15664,2659
572,11209
558,32159
32181,16911
3082,4030
3322,21093
719,1386
1386,15818
32721,617
32750,617
11428,6042
16524,1699
25659,2659
3322,21390
10685,617
21453,1883
12650,3089
6136,2436
2075,16524
11430,11926
26285,29485
3451,3089
54,24871
9989,11286
1386,5138
7461,617
25368,15219
15887,1883
2075,28448
2437,35520
10953,1806
3082,20043
20104,6263
12650,2304
2659,36189
54,11430
185,7129
3152,6758
36476,617
4830,3089
7036,2659
2437,2436
1699,36549
572,2304
36763,617
340,36901
24162,617
37030,55
719,3322
2659,37627
719,5032
910,3471
21390,3322
29696,185
2498,3082
2659,54
12474,558
185,95
185,6612
4267,5186
2436,14055
21903,3089
20043,3082
3228,8736
38981,2659
38986,617
21902,7176
15917,557
185,26600
30186,3089
2437,1385
4830,617
39321,558
5032,15818
21390,5032
25368,3451
1216,3082
558,6890
12307,39696
39774,617
572,3967
398,39967
293,554
5032,11064
8147,719
2437,10953
3082,9264
7177,26942
3082,558
3321,21390
10324,617
26598,2437
7177,40898
6794,1883
2459,3089
558,20167
6758,3152
41178,7900
13000,3082
558,12474
3082,10964
11347,2659
2437,19875
2659,17446
41584,185
1699,40454
33931,2436
41901,617
15631,617
1806,2436
16524,8295
3082,340
42475,3082
1806,3322
572,27694
1978,8736
2436,5186
340,15219
30568,15219
558,14590
3322,719
26942,6774
11926,2659
5186,4267
2659,11926
185,2304
2075,7176
3039,185
719,2437
33124,617
698,14330
6042,3082
29696,3089
8565,617
3152,558
5023,617
9452,2659
1386,16057
558,20426
21390,21093
9529,558
185,41117
21253,558
