organizationacronymhasname_1,organizationacronymhasname_2
1732,1731
3551,3552
6165,6166
6243,6244
6460,6461
7540,7541
7652,7653
1001,5986
10408,10409
11246,11247
11401,11402
2620,11791
12960,12961
14126,4605
15113,15114
15329,15330
16433,16434
16593,16594
16687,16688
16951,16952
17306,17307
10317,627
1958,7541
19601,19602
20314,20315
1523,3354
798,5439
21040,5113
21634,21635
22137,22138
627,22935
23793,23794
798,725
25524,25525
26437,26438
25170,20315
27837,27838
27189,27188
28896,28897
29684,29685
20732,29747
14716,4749
798,7251
28954,627
28826,28825
31148,31149
31414,31415
1958,10395
32583,32584
33439,30986
1705,5651
35211,35212
32364,32363
1958,10777
36229,36230
5834,22328
37067,30826
5172,37091
14275,37349
26830,38445
5834,5833
672,18581
798,627
39360,39361
39818,39819
1958,28793
30746,30745
14979,40007
41735,41736
42738,42739
42788,42789
43499,37362
34173,34172
43726,43215
44149,44150
798,22079
44740,44741
44880,44881
37363,37362
45376,45377
36260,45564
20850,20849
46264,46265
46642,46643
26814,26813
42264,42263
47404,47405
798,10408
4858,4857
36260,48885
39818,48987
35268,35267
798,45669
49575,49576
45949,45948
50761,50762
50798,50799
39744,39743
51378,45845
7540,3354
672,14187
10408,627
9911,9910
43052,43051
31894,52346
1705,14187
36260,53232
342,53671
14394,36571
27056,40711
54136,54137
37871,37870
9598,9964
25038,8438
13188,47012
34546,34545
672,5651
55358,55359
55465,55466
55499,55500
55515,55516
55857,55858
56095,56096
12860,56224
56629,56630
5179,56715
627,5651
95,22555
8226,18241
54778,54777
604,27691
12106,57833
30746,57844
16190,16189
798,36260
37388,37387
58610,58611
18585,18584
56635,56634
58515,58514
798,672
59364,59365
52982,52981
59778,59779
9667,51322
1805,9938
1958,60467
60859,60860
23918,14187
52810,52809
60100,60099
23778,23777
61338,61339
54976,61507
1958,37128
39093,39092
48350,48349
27760,27759
1958,627
43034,23829
23918,52975
23135,23134
53272,26903
36260,627
24067,46835
4749,14716
17938,44051
63256,63257
23250,34599
63805,50372
60384,60383
64222,64223
62968,12824
2269,627
55757,55756
65054,65055
798,22912
28407,28406
7540,798
672,10777
65808,65809
65906,65907
24067,24066
6689,3503
66655,64721
63533,63532
5439,66765
2205,627
66818,66819
257,17288
66913,66914
67199,67200
50531,50530
56662,56661
28097,28096
1958,5651
42476,42929
1958,14187
61572,32161
12141,54963
1856,4947
1705,627
14647,53147
68975,68976
67156,67155
68360,68359
69572,36559
33482,36516
68382,68381
798,13805
69877,69878
31414,61163
70105,70106
798,14187
61797,61796
7540,1705
70756,70757
70990,12217
61833,61832
29012,627
55275,39440
48350,71099
23918,71229
22701,22700
10317,55679
71461,71462
69748,69747
798,22328
26814,8964
1381,52829
2269,10777
71840,71841
17885,58887
52746,52745
71952,71953
65511,27258
56224,12860
1958,725
61963,61962
61931,13724
72467,2757
7540,69804
672,627
798,741
10317,52446
59674,59673
798,19909
5986,2620
66468,66467
71249,68133
44205,29339
400,399
62413,62412
68159,68158
1958,803
70842,34196
43395,43357
73323,73324
73336,73337
257,55444
36507,36506
1958,22935
73469,8964
68731,68730
37838,5651
63508,63507
23918,627
66527,66526
39583,39582
62575,62574
627,10777
39299,39298
41031,41030
1805,45676
798,55056
23918,45078
61013,61012
40984,40983
74147,74148
74300,74301
66646,31927
59418,27380
65996,65995
11817,12552
55215,55214
3034,10777
70394,50735
38495,38494
627,14187
1958,54951
35141,35140
1958,39135
70398,70397
71582,59365
15197,64721
25170,61902
46431,46430
15707,15706
70487,70486
37067,12601
2986,34459
52799,52798
39093,74916
1782,61193
69284,69283
14126,69004
12987,12986
10317,14187
29012,10777
627,28793
15197,73957
1523,16520
1958,798
47101,47100
57777,57776
6294,72166
1958,6048
16433,73928
71178,71177
21633,20454
68609,68608
1958,35604
14979,16709
62785,62784
1958,1705
45892,45891
54976,11809
68354,22182
12301,37078
75353,75352
54753,26619
7268,70362
41176,41175
19301,19302
37024,10366
70903,70902
10317,10316
798,10777
1958,24
798,35604
48933,48932
