persongraduatedfromuniversity_1,persongraduatedfromuniversity_2
187,1461
3238,439
3912,3913
6535,439
6670,439
7867,3913
7437,8438
5682,188
9186,188
9586,439
8594,439
10164,188
10260,439
8359,439
10990,439
11360,439
11387,188
11785,439
7841,12269
778,439
14485,439
2552,3913
15068,15069
2967,439
15174,188
1858,9188
10352,15069
15734,188
16315,188
10990,1694
16744,439
10085,188
1234,188
18727,439
3504,8438
19409,188
418,439
20699,188
3504,7622
20793,439
7437,3503
1234,439
5733,188
7459,3913
19772,188
1684,188
187,439
935,439
22937,188
23322,439
4044,188
3995,24037
16004,439
253,439
8498,439
187,12269
25233,188
19772,439
10085,439
8843,439
9322,188
23543,188
23938,188
26018,188
19746,188
1973,439
17287,188
26842,188
835,439
24664,188
5325,439
22517,439
24998,439
6857,439
8525,439
14753,5326
8117,439
778,8438
17883,188
13308,3913
16877,439
31239,439
15531,188
12633,188
1376,439
3787,188
14741,439
1789,439
32857,439
25495,188
5534,188
3932,439
33696,439
34243,439
1376,188
15133,188
1858,2525
25670,439
35126,188
15009,2525
778,9770
1858,10633
7050,439
11155,439
5325,17532
7841,3913
23616,188
37444,439
22937,439
6228,439
7,439
7437,439
12567,188
3995,188
3667,439
253,188
19940,11846
23543,439
39514,439
2641,439
15068,39748
9771,188
12116,439
40555,439
30197,439
24998,188
5630,188
18378,439
5325,8438
12204,188
25100,439
12207,439
43452,188
43525,439
3627,188
43793,439
42798,188
38280,188
36098,439
8359,188
11367,188
16717,188
13288,188
13155,439
10562,188
11230,188
15174,439
10562,3913
4850,9770
13308,14275
39365,439
16315,439
22262,188
15068,22401
10352,188
796,11846
10360,439
41112,188
19047,188
10749,188
11436,439
18340,439
16005,188
25495,439
13178,439
19632,439
13155,188
10562,439
935,188
11987,188
13308,8438
1858,188
1973,188
4850,439
1149,439
187,7622
18663,439
12116,188
18750,9770
3627,439
12345,188
3504,439
3627,3913
23543,51209
12564,188
1995,439
12056,439
778,17467
6268,188
26321,439
40414,188
52221,188
1442,439
36687,188
2875,439
5325,3913
1973,17467
52188,188
50398,439
3264,188
10655,439
15531,439
51891,439
5793,188
1858,34332
437,19026
935,12269
9953,188
3238,188
1671,19026
6566,188
41168,439
14631,439
33775,439
9771,9770
17555,439
12345,439
19632,188
56929,188
1866,439
778,7816
5793,439
57122,439
26321,188
8512,188
12056,3913
4955,188
1025,11846
3912,188
1858,39748
45536,188
18200,439
27875,439
1784,188
9771,439
6358,439
8184,188
15068,30458
20133,439
20388,439
27853,439
43525,188
5630,439
26324,188
12480,188
3504,1461
18827,439
8704,439
30035,439
7459,188
42167,439
19659,439
13830,188
47402,188
3504,28281
60635,439
49266,188
18827,188
17159,439
24609,439
187,15069
12874,188
27181,439
1671,6784
13308,188
30099,188
8669,439
20478,439
49005,439
18378,188
15807,439
4711,439
7841,439
1234,3913
44684,439
22402,188
11844,439
5733,439
1858,3913
8855,439
3212,439
26486,188
10260,188
1858,5326
35319,439
7193,188
25030,188
9777,3913
2333,188
7841,9770
18800,439
26486,439
38373,439
10835,439
11944,439
6274,439
6358,2525
12564,439
9046,188
53438,439
778,17532
41231,439
43452,439
13122,439
7456,439
13308,439
25100,188
1858,1694
4850,188
10236,439
13308,1461
19367,188
13994,188
16863,439
48149,439
64621,439
187,188
58249,439
17153,439
8061,188
17935,439
26324,439
3212,188
29351,439
11436,188
3645,439
12880,439
778,3913
25782,9770
2875,188
2345,188
7867,439
8868,439
13807,188
13308,20750
11052,10716
3504,15069
14753,439
7841,17467
7,188
15068,439
13807,439
42232,439
3995,439
21984,439
3169,439
19692,188
22069,439
1858,21681
12345,12344
1671,14509
33163,439
437,10633
437,9770
12321,439
8843,188
2967,188
35336,439
9934,188
47774,188
6933,188
34081,3913
26469,439
874,188
32717,188
9777,188
49946,439
1995,188
5216,439
1442,188
1858,36273
69954,188
12826,439
70250,439
5795,439
9934,439
42421,188
25699,188
4044,439
6485,439
20699,439
2039,188
385,188
15604,188
30143,439
9019,188
70764,439
29285,439
13288,439
5847,188
13866,439
14087,188
9586,188
1973,34332
20087,439
6607,439
15068,21786
3627,23602
34582,439
71262,439
635,188
10352,439
12321,188
1198,439
7841,11846
46098,439
34081,439
47414,188
25854,439
7193,439
12083,188
8061,439
19627,439
11230,439
5325,7622
27418,188
5847,439
27363,188
11944,188
4080,188
7841,188
36098,188
1973,3913
8117,188
11367,439
7437,188
17555,188
19535,188
8556,439
5216,188
455,439
6607,6606
15531,1461
5325,5326
39529,188
43453,439
30469,188
7050,188
29351,188
23616,439
9322,439
18826,188
5795,188
796,5326
1671,10633
874,439
18663,188
437,7622
44924,439
2039,439
40874,439
3807,188
33811,439
7841,5326
4879,188
19670,188
18153,188
19558,17467
1149,188
7841,17532
42167,188
1990,188
20915,188
17287,439
18826,439
30960,439
15068,7622
6370,439
9927,439
30777,439
1858,12269
35464,439
42406,188
15068,188
12083,439
48347,188
11944,32543
51891,188
20087,188
35319,188
1858,29102
3191,188
43768,439
32776,188
43680,439
19830,439
3912,439
12874,439
42726,439
2552,188
1671,7622
39409,439
33636,439
10164,439
11471,188
7456,188
3113,439
5660,439
778,188
2393,188
8704,188
53517,439
12345,39748
5325,9770
44924,188
20207,439
19558,9770
5630,20750
9296,188
46491,439
15472,439
1858,17532
51751,188
4850,11846
9019,439
13994,439
1303,188
12056,188
48149,188
22402,439
27418,439
6607,188
11471,439
52282,439
16454,439
6358,188
10164,29904
44542,188
1671,9770
26418,439
34982,439
18750,17467
8556,188
43449,188
17770,439
30548,188
13122,188
12633,439
11230,3913
1858,439
15472,188
15133,439
28258,439
3504,188
2641,188
2333,439
6485,188
71096,439
19627,188
12137,439
32776,439
8498,188
7875,439
74888,439
6274,188
18750,439
1671,17467
5325,2929
23816,9770
23310,188
6228,188
27593,439
39529,439
15068,10716
53893,188
17883,439
25030,439
52188,439
62193,439
9777,439
15977,439
15156,188
3667,188
20915,439
29591,188
5325,17467
4725,188
27282,439
9296,439
30099,439
19071,188
48724,439
19409,3913
1784,439
6670,188
15156,439
3504,3503
15009,188
2345,439
12865,439
10164,2525
25233,439
27710,188
34155,439
5682,439
58279,188
10990,188
5630,3913
27892,439
45442,188
13308,7622
51320,439
16454,188
3264,439
1659,439
36045,439
13866,188
34155,188
58563,439
42167,22007
40690,439
12567,439
18800,188
14087,439
4850,17467
61605,439
7841,21681
11387,439
27892,188
28945,188
42232,188
