agriculturalproductcutintogeom1_1,agriculturalproductcutintogeom1_2
1235,1236
3965,3278
2266,6347
7345,7346
3965,8314
9590,9515
5715,11161
3965,10618
3965,11660
6369,3150
13859,445
3965,263
12561,508
5715,16273
3965,17704
18076,508
13859,1236
3965,5502
19605,7333
15146,1013
5715,1413
21325,7333
12161,21595
12561,21603
20036,1236
3965,7126
14033,13198
5715,3278
6369,1236
12561,1236
26659,1982
12161,4128
3965,445
5715,8314
14033,4128
3965,5437
12161,29688
5715,15099
3965,1012
4570,7333
32883,1236
33278,4128
5715,18577
3965,2374
26659,15099
3965,29632
6369,34516
6369,1982
3965,7687
6669,3291
26659,4128
6669,7562
6669,7126
3965,508
5715,3292
6369,2834
3965,39541
6369,29688
26659,3150
6369,7562
6669,13198
3965,7562
3965,42399
5715,7126
3965,19217
6369,13858
7138,1236
6669,3150
13859,1972
27440,508
10755,10754
26659,1236
7345,1236
14033,3291
46864,1236
47722,7562
6369,29126
3965,13618
5715,3349
6669,4128
3965,12093
14033,10754
14033,41573
5715,1013
51750,29126
40248,7333
3965,12759
6369,4128
5715,4260
6669,1982
5715,28534
3965,1146
39255,3150
3965,4260
27440,4128
12161,7562
5715,508
3965,13198
3965,1823
46271,3150
13859,1353
3965,1956
6669,16543
52513,1013
5715,29919
18884,29126
6369,1413
6369,508
3965,14813
3965,3979
20036,29126
12161,1236
5715,16543
3965,18988
26659,10754
6369,1013
3965,8744
6669,2834
5715,8744
3965,16273
20036,3979
26659,7333
5715,3150
5715,3291
3965,3150
3965,3291
3965,7395
5715,1823
12561,4128
37545,7346
3965,41278
51750,3150
4225,7333
2266,6354
5715,9515
3965,65027
5715,10618
15146,29126
3965,1972
3965,8444
27440,11383
3965,2765
5715,27066
12161,508
3965,16543
6669,1236
26659,41573
32883,10754
7138,4128
43811,1236
24170,1236
26659,11660
67914,1236
3965,15896
39908,4128
67722,7333
27440,1236
3965,3288
6369,3291
12561,29126
5715,1972
3965,15099
20036,3150
5715,2834
5715,9783
71738,4128
3965,3349
3965,6239
5715,3979
20036,2423
3965,8487
6669,445
3965,13130
3965,2057
5715,11660
14033,7562
44176,41573
5715,16077
2611,7562
12561,7562
6455,7562
3965,2834
6455,1236
14033,7333
3965,9783
3965,808
6369,1146
20036,1013
6669,11180
12161,29126
13859,7126
26659,3349
5715,8961
3965,3292
44665,4128
41993,7562
44665,7562
7334,7333
6669,508
3965,1013
10755,1236
3965,56520
13859,13858
14033,1236
6369,9515
56057,7333
13649,1236
20036,263
13859,9515
2266,25986
3965,21603
46271,3291
46271,16259
71302,9515
5715,1146
3965,13858
6669,10829
27440,7562
6669,1972
3965,27066
33563,1236
3965,9515
6369,2057
6369,7126
20036,9783
3965,1236
6369,1972
3965,3339
3965,50561
5715,2765
44176,1236
6669,263
3965,2011
2266,2765
