organizationheadquarteredincou_1,organizationheadquarteredincou_2
725,90
5645,90
6824,90
6860,90
8111,1098
9667,90
12106,90
13139,90
13769,90
13805,90
13931,90
14148,1098
14183,5593
15614,90
15696,90
15738,90
15932,1098
17549,90
17832,90
18895,1098
19758,90
4004,90
2348,1098
20810,90
21154,90
21623,90
22018,1098
22228,90
22700,90
803,90
23963,90
8815,90
24314,90
24362,90
25353,90
26011,90
21286,90
26831,90
26903,494
12117,1098
28490,90
14200,90
28685,1098
29253,90
29534,90
29999,90
30325,90
10317,90
3503,90
308,1098
31630,90
24349,90
31930,494
627,90
32161,90
32254,90
32778,90
33817,90
34691,90
1205,90
35236,1098
18141,1098
36057,103
36390,9080
16377,494
36992,90
21848,90
1806,1098
33837,90
37838,90
39127,90
8479,90
40007,90
40069,90
40413,90
9148,2626
5872,90
7005,90
41452,90
41500,90
6023,5010
41837,90
36840,90
2436,977
42842,90
43357,90
18581,90
33810,90
2383,90
44292,90
44388,90
22269,90
44543,90
24034,90
42119,90
22328,90
45845,90
45900,90
46095,1098
36852,90
9045,90
47012,1098
47040,90
35829,90
24586,90
47780,90
21801,977
48245,90
22701,90
27674,90
9949,977
4335,90
26928,90
42028,8749
49249,90
30025,1098
25809,1098
50068,1098
50296,90
7653,90
50351,90
34390,349
50411,349
51305,90
37140,90
29747,1098
52096,90
22912,90
41565,90
6332,1098
52791,90
672,90
19321,494
53525,90
16072,642
3356,90
53703,1098
1805,1098
40832,90
53794,90
9387,90
54392,90
54706,90
54963,90
54965,90
17804,90
43726,90
14979,90
56054,90
28793,90
38307,90
29219,90
18729,90
56764,90
14187,90
57116,1098
57253,1884
57392,1098
12768,642
21633,90
51977,1098
58355,90
58650,90
40778,90
58769,90
24393,90
52250,90
58887,90
43378,90
29561,319
46525,90
59488,90
25170,90
59764,1098
59773,90
20454,90
10408,90
60143,90
798,90
36254,3040
4605,90
60639,1098
31295,90
40711,90
6365,90
58401,90
10616,90
61502,90
61535,90
1550,90
61874,90
39819,90
62088,90
25934,90
28967,90
6500,90
1705,90
63099,90
44230,1098
58937,1098
11809,90
36997,90
62798,90
62984,90
17885,1098
44178,90
22138,90
52433,1098
56507,90
5109,5108
30986,90
2205,1098
53926,103
12217,1098
65235,90
6955,90
56172,1098
65493,90
46911,90
60381,90
17108,2701
27687,642
54943,90
1386,977
27056,90
19728,1098
62359,14018
65399,90
66704,90
39818,90
2757,90
59212,1098
30826,90
54951,90
11227,90
760,1098
45676,90
13724,1098
720,90
62322,90
67634,90
22935,1098
44465,2626
67836,90
13968,90
51008,90
40526,17523
68133,90
68324,90
68449,1098
628,90
32964,10895
68648,90
24903,1098
68712,90
10008,1098
43092,90
7268,90
54870,90
7652,1098
47105,1098
36571,90
36907,90
17307,90
31927,90
18171,90
69806,90
28791,90
27380,90
70190,90
69526,90
70264,1098
38611,90
49757,90
28590,1098
61120,90
67131,90
740,1098
30601,90
22193,90
36053,90
50735,90
65110,90
28983,1098
29684,90
43022,1098
53123,90
43299,1098
70288,90
71453,90
11814,1098
16787,901
25525,90
64143,90
56096,90
12601,90
56694,90
56852,90
25849,90
14549,90
17380,1098
61810,90
64927,90
56634,90
72533,90
1445,90
57118,90
37836,90
60791,90
2525,1098
72733,90
8964,90
43215,90
56635,90
21253,1098
24274,90
32216,90
21896,90
13919,116
29012,977
62409,90
7251,90
65374,90
24782,90
69259,977
28596,90
73641,90
20732,90
14223,90
25960,1098
12203,90
70074,90
63790,1098
68506,90
19875,26964
48694,90
66196,90
42264,90
43589,90
28614,90
15667,90
32612,5995
70321,90
68946,90
74351,90
72285,90
23147,90
73734,90
39861,1098
36374,1098
54318,1098
74479,90
42263,1098
719,977
12163,90
59228,90
26269,103
9026,1098
74768,90
74769,90
40323,90
49959,90
74837,90
29339,1098
1959,90
43395,90
31043,90
35688,1098
25751,90
6517,90
66773,90
584,494
1385,977
20849,90
37128,90
12378,90
949,90
75141,90
70797,90
50879,1098
75188,90
34196,90
12128,1098
69936,90
31842,90
60557,1098
69834,90
41300,90
34149,90
1107,1098
74613,5593
74564,90
61016,90
26619,90
12824,90
61902,90
34810,90
73781,90
65391,1098
10878,1098
66849,90
5651,1098
