companyeconomicsector_inv_1,companyeconomicsector_inv_2
370,371
534,535
1286,1287
534,2245
534,2459
2790,2791
534,3670
4125,4126
4134,4135
1286,4319
534,4445
4471,4472
926,4680
534,4830
4134,498
5051,2659
534,5144
5293,4749
833,5348
534,5727
534,6059
833,6558
6937,2659
6937,7133
7139,7140
7308,1424
534,7335
7308,7470
4471,7738
534,7829
1286,7896
534,6890
4471,8343
833,8867
9600,9601
833,9712
833,9756
1423,9808
833,10092
4471,10230
7308,10324
1286,10569
11040,11041
1286,11124
11134,11135
5056,11657
11725,11726
8393,11734
7308,11741
12322,12323
5056,12853
5051,13267
534,6977
1286,13607
13834,13835
833,13969
7308,8345
8422,8421
4134,14205
14449,14450
14683,2859
7139,14888
7139,15012
4134,15328
370,15359
5051,15539
833,15655
534,544
14449,15844
1286,15861
7139,4809
573,16815
534,11467
8393,17116
1286,17205
1286,17320
5056,17591
534,17771
534,1369
1286,18166
4471,4685
833,18432
4471,18530
4134,11469
1286,18646
19132,19133
1286,19145
5829,19354
534,19856
12668,17587
4471,1761
1286,20832
19132,20864
833,20991
14683,21148
21252,21253
534,21302
534,19354
1286,21686
4134,21772
3762,15577
1423,22225
4471,22266
1286,22552
4134,22831
5829,4947
1423,23192
23399,5530
9600,18759
23957,7133
6144,6143
1286,10935
926,12383
1423,4838
25005,25006
5293,10297
24211,18451
7308,9264
4134,25561
1286,9524
1286,26111
7308,26532
8393,26559
833,26621
8585,8584
534,6042
1423,5693
1423,14537
1286,5506
833,11098
534,15981
534,28287
1286,28313
23241,28366
1423,11469
2790,28576
534,2498
28888,4680
534,28982
18376,29225
833,29562
25005,12040
1286,29651
1423,7060
1286,29802
534,29917
7308,13000
1286,30208
1286,30484
7308,2133
7139,12925
833,30868
1286,31281
6144,31307
13834,23743
1286,31582
15343,12761
534,8023
1286,31801
5051,13245
833,19340
11319,30571
7139,27654
23399,32232
833,14716
534,21187
833,32362
1286,32603
534,572
1286,32688
833,32693
7308,7483
4029,32875
7308,33133
534,33214
33371,33372
534,16230
1286,33638
9600,1391
534,15045
8686,1883
7308,33970
4471,4947
5056,34189
833,34368
7308,34379
8393,9175
573,1847
6144,21187
12041,34760
14245,1369
1286,7990
23241,22122
1286,35240
1286,35460
534,35587
534,35668
7139,35830
7308,35668
11319,36200
833,36219
29549,554
534,25256
15343,36645
534,9529
6144,13506
534,37556
7308,17182
4134,18783
7308,30767
4134,37773
534,5023
2529,2842
28888,4749
7308,7522
573,38513
38685,5763
7308,10422
4471,14025
833,13877
833,20102
573,39469
926,3051
39735,2521
534,19301
39735,17921
5051,8113
1286,39950
7308,291
8645,40108
1286,40156
31647,31646
14449,40378
2790,40380
14245,9501
534,40595
1286,10465
1286,40694
1423,6402
7308,40868
534,41083
37765,1978
534,29270
7308,13644
534,4
23241,39290
1286,41817
3762,2241
5051,27392
926,42559
14449,42671
7308,42740
9298,42900
1286,42914
1286,20320
5051,43122
370,43216
833,43300
7308,43376
534,20733
5051,11430
3762,10681
1286,30443
43744,43745
7308,4105
4134,30174
833,925
534,8167
534,4105
1286,44288
833,4397
11319,44414
1286,44469
4471,15179
1286,6620
7308,12790
534,44790
12041,27833
534,44822
2529,4680
8686,2
38172,5763
1286,17295
38172,37079
534,11079
23731,24707
534,6433
833,2787
833,40802
7308,24162
4471,43924
833,46513
833,1583
4134,46897
5293,41215
534,47082
926,29651
1286,33785
534,47200
833,47301
46550,36386
7308,19424
1423,47460
534,1216
47781,47782
534,14641
4134,37002
534,2659
534,4838
7308,179
1286,11041
573,48466
1286,21524
833,8077
4471,24586
4125,48610
833,48629
1286,48772
7308,17771
6144,4838
9298,9001
534,49241
534,34318
4134,813
1286,35232
370,49327
5056,49439
833,49478
5829,1424
3762,5763
39735,8417
7308,33214
833,50107
534,18110
1286,50271
926,925
370,35648
12041,50508
14683,10542
534,30186
833,842
6144,40373
1168,1167
4471,51248
1286,1835
573,51392
833,29651
1286,5739
1286,23240
833,11726
7308,427
534,51679
1286,51726
534,12626
9600,5023
1286,52054
6144,18515
534,16648
28888,52277
1286,50912
23731,21359
7308,4830
833,52652
2790,52843
46550,52854
5056,52885
23731,53144
534,557
833,7197
1286,53285
7308,53322
534,4030
833,53413
23731,48582
33371,53608
833,53684
12041,12637
534,53804
1286,53928
833,53945
833,53964
8686,7756
534,2133
8393,32044
3762,883
1286,37536
534,31307
8686,1657
6144,19192
3762,3702
1286,617
28888,21883
4134,9913
4134,18861
4125,22122
833,54776
15343,14122
1423,4654
833,29062
833,21359
833,55161
1168,55163
11134,55234
7308,2498
55307,55308
1286,2304
534,22395
1286,44173
534,35331
7308,2245
8393,1369
8686,7627
7308,56087
1286,56278
534,56296
7139,37530
5051,56305
5051,5952
1286,56389
5293,32106
1286,41722
926,20661
534,26723
