teamplaysagainstteam_1,teamplaysagainstteam_2
34,35
56,57
97,98
99,100
264,265
99,326
87,392
446,447
449,450
500,501
690,69
882,100
690,1081
113,1102
497,1222
1116,1289
1004,1011
1992,1993
2004,326
34,2247
421,2338
2556,69
1992,2640
2694,2007
281,282
500,1248
282,2244
2703,34
3293,2004
1004,2694
3772,282
282,2341
882,686
2476,4291
2593,551
1248,3854
447,446
932,4662
4779,2703
4853,4854
1248,4854
4926,2593
2286,2209
5044,806
3512,2694
3746,1011
1250,5340
5636,5361
3893,100
6088,6089
6211,6212
99,3393
1250,3745
282,3745
3314,3745
3746,4848
3383,6032
3746,126
35,68
3293,450
1222,1004
1192,4147
7311,1493
3383,447
3900,35
2244,476
5636,5560
3188,350
1004,7812
7958,4147
3900,2209
8025,8026
3665,2244
1284,8286
497,486
4602,3383
256,3293
326,486
5361,5636
8688,8689
3188,1116
57,4854
8286,350
2338,2209
34,3360
282,281
2007,4148
3383,446
2694,1011
4602,326
4514,9821
486,8286
2007,500
113,35
3393,256
4662,4148
3665,281
3188,2476
62,1355
500,4148
4602,8532
1248,10775
2341,113
3383,2004
4661,113
2004,11109
99,11172
11213,11214
500,932
1439,486
281,4661
2973,932
1004,1116
8286,3293
1250,10961
3665,282
392,2476
4602,4659
500,12248
383,806
3772,1913
350,5920
500,2593
2341,1914
1248,7812
882,12710
1248,2007
3854,500
562,1081
486,2476
1102,113
256,450
1011,2973
7319,7486
2476,350
2007,1439
1116,2004
1493,500
7115,8203
326,3383
11172,449
4662,1248
113,552
3746,4854
1102,3314
447,2004
7486,14077
446,486
1248,62
1289,87
476,14248
14294,1993
12957,14321
68,1250
113,68
2973,1265
932,2973
1248,3512
2007,2694
3746,1439
476,3665
3745,4183
446,8286
4853,56
1988,4853
11190,15323
15349,15350
3360,34
2476,15368
7319,500
3293,350
10392,15515
486,15672
1250,68
10060,4148
100,486
486,3383
552,12325
487,2004
3893,1289
4048,882
686,446
4926,1914
8814,552
2593,500
1633,1011
8286,2476
1493,1004
3745,11847
3746,1633
379,17579
1011,1004
4659,7039
99,392
281,971
126,3821
7319,1004
5636,18198
10060,2973
8814,3314
3293,3567
7498,6816
1004,7319
500,1004
7068,3893
113,16402
446,1116
2476,3188
8160,446
10331,230
4853,7812
3745,1250
476,1102
486,7039
2694,62
932,4513
350,500
264,1993
487,447
4659,87
806,3746
16614,449
34,916
486,3512
446,1081
1265,126
16402,113
99,449
2694,806
20258,4148
8366,932
10331,5182
5044,1004
10392,2173
1914,690
8222,1248
1081,2004
2973,4853
4659,2476
500,3512
3383,2476
1284,100
1992,264
326,7039
486,87
5340,3772
4661,4183
3383,3188
379,690
3746,5352
1011,62
1004,10434
4602,2004
3188,3393
3821,4148
1914,971
4853,1439
4514,4513
9724,18519
5340,113
562,4602
5183,265
14077,7812
2694,56
932,15672
20983,11716
932,2247
6211,22473
21762,687
687,4779
882,3567
8532,3567
2593,113
4867,4602
2286,5002
497,4123
7039,4048
4418,1004
5182,18203
7116,7115
57,2973
3746,2973
1004,4854
1081,7068
500,9598
3393,1284
449,4602
14077,56
1988,3746
1116,23641
3314,68
14983,8814
1102,68
12839,1248
1081,8286
1604,1355
282,5340
10392,7499
35,113
4514,6089
4165,447
3393,6827
4779,34
35,3314
4926,1102
4123,62
56,3746
5352,4148
1248,971
1116,551
1604,56
1004,8222
7555,4779
4418,486
1289,486
1004,932
3746,1248
662,2703
2640,264
5183,5182
7039,3188
15349,25344
350,256
56,1116
447,87
3746,4123
1248,932
57,10060
20983,446
4854,56
87,1289
446,2476
15672,486
7498,7116
3772,1102
4779,932
1004,4662
3900,2338
2703,422
1250,1914
3512,501
2556,8689
4148,10060
7068,3393
551,2593
34,421
4297,971
21181,7039
3772,971
113,11847
113,14983
3567,392
11716,18652
56,4853
4867,2172
1116,562
1081,10392
2819,1248
113,1250
281,1250
3567,99
8751,500
6348,500
971,3665
1992,10331
3393,100
3665,1102
4854,4662
497,1004
62,1604
27331,11190
392,7039
2973,4854
1355,1604
9805,27496
4659,3393
1355,62
12248,3746
69,5340
3893,3383
4662,14077
14983,68
932,4853
5340,1250
2973,1633
326,3293
9598,9915
1004,497
882,4165
8286,1081
1493,1248
4853,10775
2286,281
2209,9822
2694,4123
7068,446
99,7039
1011,1248
562,4659
1004,15846
4662,16250
3383,3893
6816,26997
87,562
1086,6816
687,21762
25112,6305
7319,1248
7319,1604
882,1081
3900,10864
5044,4148
971,17927
62,3746
486,2004
35,2286
4659,446
4602,10467
1011,12248
264,1992
4659,486
497,500
3567,2004
281,2593
450,446
7319,2973
486,9769
2703,6744
69,476
1355,1248
500,2715
4659,2004
87,2004
392,449
476,3945
1081,3293
68,2593
350,450
256,3393
447,3293
1102,282
9262,34
56,383
3900,13956
3383,11172
3893,99
10978,500
3393,562
3746,4662
10331,1992
2694,1604
2819,3746
326,4602
3746,62
446,31262
3293,3393
500,31343
282,3665
35,10922
326,2004
31343,500
113,2341
57,1988
9118,1081
8814,282
1992,230
1284,7068
446,282
1250,3314
806,383
500,7319
1914,282
1993,5182
3567,100
2476,4659
1355,56
6032,4602
446,3293
2476,326
2593,552
487,2476
9598,3746
7555,932
10392,20983
497,4148
3746,1604
113,69
1493,9915
971,11847
14077,126
3900,4779
68,3772
9915,5352
3393,99
99,4602
11847,3745
18519,9724
4602,7068
7039,3393
8814,281
882,2004
33672,1086
1914,113
486,16614
1633,4662
3188,447
33787,3393
15727,3558
4853,446
4662,57
1011,10060
2476,4165
1914,2244
1081,9118
421,2702
4848,4662
2973,383
4148,4662
1248,3188
500,687
487,3293
5560,687
501,1493
35,8814
500,447
10060,3746
1633,2007
3188,4148
421,3900
10864,422
562,3188
1289,7039
9118,10392
1102,379
932,56
10467,687
4853,1493
350,3383
1265,2973
8286,256
22573,2244
8814,1913
87,4048
4148,5352
8222,3746
500,486
4853,8366
932,2209
1004,10159
446,562
806,9915
1265,1988
379,281
562,2004
4854,3746
4661,3772
6744,34
69,2593
8222,383
57,5044
2244,22573
11511,15727
3746,1355
476,10922
7115,28393
1116,99
2476,256
1355,500
4661,8814
1248,1265
3393,33787
3314,281
3360,1081
3393,3893
69,282
281,1914
1913,3665
56,16250
37055,6088
35667,264
9915,497
2703,2209
326,1081
4048,3567
497,4662
449,882
113,5340
486,350
3746,9769
5242,18652
2703,16167
476,113
383,4853
497,10434
265,5183
2172,2173
500,2694
10467,26259
446,256
4853,7512
687,2703
98,97
4926,3314
501,1248
10775,1248
3383,449
5560,8148
8148,15727
5352,486
7039,4659
447,882
3512,1633
7039,99
99,2476
1102,1250
16614,447
4661,379
3314,379
17579,113
7486,500
3893,486
1988,1265
11213,23541
3314,4926
449,350
12957,5560
446,449
1439,3746
3293,882
497,4418
6816,1086
3746,56
3293,2476
3383,450
450,87
18198,9118
1250,4661
8286,1289
4514,15846
2694,1222
1993,15905
1011,5352
3893,4602
4514,12115
8148,6816
971,3772
383,56
2476,21181
2247,932
1248,2973
932,1004
6032,10392
2209,687
486,56
383,1604
56,3188
9598,1248
10864,10467
4148,1011
10775,4148
4662,500
4418,1493
1248,1011
3746,1116
383,4148
5352,2694
6744,2703
7039,350
7039,326
2973,7486
16167,2703
552,2244
16220,34
4867,28507
6032,3383
1011,4418
56,497
5920,447
449,3188
1265,4662
2209,3900
62,383
2819,56
882,8025
37055,264
3567,4659
421,34
2173,8148
4662,3746
4147,7958
25112,5560
3893,3293
21762,34
449,87
487,87
1807,1913
3900,2427
1004,2007
2703,3360
421,422
1913,971
3393,487
28507,8148
4659,686
3558,23541
4662,1265
5560,25112
932,2819
9915,20258
1493,3188
1265,1004
7319,7812
1289,11172
3567,5920
35,281
7039,4165
2556,15349
4383,6816
4602,11172
1011,56
113,2593
2244,4184
552,17579
5044,3746
4661,690
4297,5340
13029,13298
1116,87
10961,2593
1248,8222
486,1004
1914,1913
971,36913
1493,1633
7812,4148
1248,9598
1604,3512
4148,3821
42338,14321
3665,4661
256,486
3893,392
932,35
10159,3746
3512,500
5340,2593
7812,1011
16614,87
113,10759
686,687
392,350
2286,10864
4926,690
3900,168
1116,1248
3393,7039
350,16614
1081,326
14077,4662
10392,9118
4854,1248
87,8286
7115,7116
9262,1081
281,16402
1913,8814
8204,28393
2004,5920
379,1250
971,1250
5920,3893
1086,3558
4602,1081
6827,7068
882,446
8532,4602
806,1248
1493,4148
446,3383
7499,28507
2004,487
4418,497
932,4779
4123,3746
4662,932
3821,2694
10392,3293
2694,4148
1102,971
3745,552
2004,4602
57,126
2427,10864
12710,446
1289,446
7039,562
2593,4926
6348,1004
3746,497
1439,1011
1081,350
4853,4123
3821,486
62,4418
1493,497
6088,12710
1004,1265
44029,230
2209,662
449,487
3746,2694
3567,3393
1116,392
3567,7068
1248,4662
2007,1011
9118,18198
13029,687
449,1289
500,8751
2694,4662
1011,4148
5361,8203
552,11847
5560,6032
882,9821
3558,7563
1284,447
447,326
3512,1439
2286,69
28608,882
1992,28608
1284,87
3567,487
4123,1248
687,5002
57,500
1081,2476
686,3900
5183,230
3900,22731
7116,7498
7039,392
99,1081
1493,3746
20258,1011
17579,971
7486,4853
476,12325
10467,4602
3567,447
35,4183
1004,6348
100,882
326,3567
500,1493
11716,446
3293,1081
1633,501
18203,5182
7319,16250
486,447
500,1116
5636,10467
4779,13298
1914,379
3900,932
7512,4853
3893,7068
486,8025
4513,500
3746,8222
1988,2007
7486,1248
4853,7486
690,4661
1116,5044
8814,12325
4853,497
9915,2007
11511,5560
113,4183
9262,422
1081,256
6744,23641
383,8366
4867,5560
1081,6032
2556,46376
2247,34
2819,383
15727,8148
282,16402
7068,4659
3188,392
3893,1081
9598,500
3945,971
7039,486
1081,3383
6088,15846
3567,1081
1265,3746
446,2004
69,2556
1250,69
500,126
7812,9769
62,4148
497,3188
3665,4297
34,21762
449,2476
2095,687
10467,10864
7116,16759
16250,14077
6088,37055
7068,1284
20258,5044
5560,4602
12248,1011
5002,932
282,552
2593,1913
421,16220
2694,1633
4779,9262
1913,4661
100,99
4148,3512
10060,1011
1284,5920
2244,552
4297,3665
4183,4661
14983,3665
21181,3567
1086,25112
2173,4422
806,500
35735,3393
3665,971
326,1284
1011,2007
3567,4602
1493,501
1604,1633
3393,11172
421,1081
100,446
1250,8814
4853,4418
4148,10775
14294,5183
446,87
500,3746
1081,486
2427,3900
4165,2004
12325,8814
4148,1248
3746,7319
20983,5361
392,2004
932,126
87,326
6913,5361
1011,9769
34665,2338
4184,281
281,476
1116,10060
4123,3512
10159,500
1913,4504
10864,13298
383,3188
14153,69
7812,7319
5560,10864
806,1004
4602,8286
1265,383
486,15846
2593,35
7812,1633
57,1604
3360,3900
392,1081
4148,4853
2476,392
476,5340
126,500
2244,1914
4659,3893
1248,1604
3360,4779
500,3854
486,497
1081,2703
3567,2476
2593,1250
100,1284
1102,476
3188,4165
126,56
5920,4659
4148,62
1604,2007
3854,486
3383,4659
10759,113
7068,99
3293,99
7311,1355
2694,57
7486,1116
7498,27331
476,69
1355,1004
21181,326
10467,2964
3314,282
486,4602
5340,476
1086,28507
486,100
57,4848
2973,10060
447,4659
230,1992
56,1248
10159,1004
7068,882
10392,6032
1250,1102
26510,16296
421,932
8222,7319
4602,3893
1250,971
15515,10392
1248,28443
6816,3179
4662,9598
1048,971
2593,2286
3360,932
500,4123
5044,1116
28608,1992
9769,56
6816,10392
487,486
2593,14503
2004,1116
113,3314
87,1116
2209,16167
1011,1633
3314,1913
3393,5920
18198,8148
2244,2286
1081,7039
100,3293
1265,500
446,4048
476,282
2004,3188
22573,3745
1081,1289
392,99
25088,21448
3893,350
4048,446
446,326
1633,2694
3893,449
8366,3746
4853,7319
932,15846
11716,5361
99,1289
5340,69
2556,9805
2973,3746
25112,14321
932,687
3188,1004
4662,497
281,2244
21669,5560
3893,5920
2173,1669
5340,4926
4659,7068
34,4787
5560,18519
350,326
87,5920
2244,282
2338,4779
932,5002
8204,8203
1913,2593
4867,2733
882,4048
1248,2694
3567,8026
264,5183
9262,2703
447,7068
392,1116
16614,4602
3188,486
421,6744
1102,4926
28507,1086
3772,69
13956,3900
2004,3293
3854,1248
2593,17579
4147,1192
916,932
932,6089
10922,2593
12031,446
971,2593
7319,2819
690,971
3188,500
12325,552
379,113
5002,421
4048,4659
971,4661
1011,10434
422,2209
87,256
57,1004
486,3821
16759,43258
3188,497
69,3314
14503,4183
4662,7319
1081,687
14983,1102
37055,4514
1913,10759
9724,4867
3512,1004
8148,28507
34,6744
4926,35
5560,2680
497,57
3188,882
4779,3360
971,35
1913,281
7319,1265
7068,392
379,4926
8814,4183
4148,2007
2286,35
1493,1988
500,1604
687,500
2476,3383
3745,379
1011,383
7498,392
3383,3567
971,4926
1250,10922
1102,4297
690,113
3746,5044
20258,9915
11172,1116
449,2004
8814,14983
1289,3383
686,16220
446,392
8222,1004
486,4513
2286,16402
16250,500
447,3383
1284,1289
11172,4602
1248,4513
256,87
4926,3665
6088,12115
2209,5002
34,2209
6089,3293
3383,486
2173,6816
3393,1081
446,10392
7039,4602
1250,2593
350,3393
350,87
7068,326
7499,15906
3512,9915
350,3188
3772,2244
3900,34
501,4662
25088,6816
421,5002
686,882
501,3512
256,3893
500,7812
2733,4867
1284,8532
11847,971
2007,1604
497,1011
476,1250
3188,3746
662,2209
447,5920
2007,3746
10922,4926
10922,282
421,2703
422,932
34,16167
2593,379
476,3745
5361,6913
3293,446
2703,1081
256,1081
37055,882
4659,99
3512,806
3360,6744
1102,4661
10864,686
16402,1102
2244,3665
15323,11190
3893,447
3360,421
1914,4297
1604,20258
882,3293
1248,4148
21448,25088
7319,8222
4779,5002
2209,2338
3821,126
5560,15727
450,562
1355,486
10922,1250
113,690
3893,8532
3746,9598
1807,971
8366,4662
2209,1081
281,2341
3393,56453
2702,2209
3900,19054
281,113
2004,449
8286,392
3293,1284
476,2593
10961,113
44742,26259
4602,3567
971,1914
1116,2007
421,4779
2286,971
932,3746
421,22731
3665,14983
2593,68
2209,19054
4602,3293
35,476
11716,6913
2694,1355
4779,421
4926,10961
379,1102
16250,3746
3772,3745
2476,3567
4165,99
16402,8814
3393,35735
3383,1081
1913,2286
3746,12248
5361,20983
4662,2973
2476,56453
392,4602
4853,3188
113,8814
1011,497
1116,8222
28507,7563
486,1633
562,450
4148,5044
7403,7958
1913,113
7068,7039
476,4926
392,487
1493,6032
2007,9915
7068,350
7068,2476
326,3893
2004,3893
2209,916
1604,3821
2476,7068
16759,7116
4787,34
11985,7563
3900,687
2593,69
13956,932
4602,350
6816,16296
486,383
5361,6032
486,1493
486,392
4779,3900
383,10159
87,446
4183,14503
4853,1248
486,4853
2593,282
2338,3900
8366,56
497,1439
1914,4926
3745,281
3188,16614
1604,383
3512,1604
2476,87
1604,1248
16250,383
383,62
256,2476
379,35
2593,3746
2244,113
4779,7555
4853,4148
3746,10159
9915,3512
1493,3821
3512,1248
486,3854
486,12710
5242,8160
1004,1355
882,3893
256,3567
4148,7812
882,2476
126,7319
10864,5560
58262,486
7499,7498
1914,68
9915,1004
1102,552
20258,56
4183,35
447,3893
3900,195
971,69
1248,2819
971,1048
3393,3383
971,5340
932,9262
99,3293
3512,497
230,10331
497,383
113,3772
497,1604
486,3393
11511,23541
4926,5340
7319,57
3393,350
113,476
1992,5183
126,8366
16614,3893
2007,486
28153,16402
126,1265
476,1048
383,4854
3746,14077
25112,18198
500,497
4662,383
476,35
449,23641
486,3188
62,1633
9118,25112
2004,350
8160,379
1081,446
35,1913
3383,487
1081,562
1248,383
5920,87
383,14077
3360,2286
68,113
3893,3393
230,264
2007,4123
450,3293
447,392
3772,476
1913,552
3893,87
10434,2694
2338,686
3512,2007
562,350
882,99
68,3314
486,446
932,383
7486,1004
500,4853
449,3383
450,3383
3383,7039
500,2973
932,3900
18519,5636
3393,450
486,4148
3512,5352
6827,3393
8366,57
22473,2556
9262,421
3893,3188
350,8286
7068,449
4853,3821
1248,1988
392,562
57,56
932,500
4848,500
2973,1248
562,4048
3821,686
486,256
8025,486
3314,113
99,882
486,1284
35,932
350,1289
2476,3393
1493,7311
3893,256
113,1914
10759,3745
379,8160
1493,1081
99,4659
487,4602
8814,1102
449,3293
326,392
379,4661
5183,14294
447,350
392,3393
4602,3393
562,99
447,487
3746,4148
26997,8160
487,3383
113,3745
4661,476
8286,486
69,68
4148,2694
1289,99
1604,500
1222,2694
4504,35
35,4297
