bakedgoodservedwithbeverage_1,bakedgoodservedwithbeverage_2
2391,2392
2781,232
3296,2392
3619,3620
4849,2392
4972,3620
5523,232
6002,232
6281,2392
6364,244
7100,3620
8213,2392
8329,232
9751,232
10148,2392
11014,232
12319,244
8470,11635
12762,232
12784,2392
13521,232
9879,244
14231,2392
14801,2392
14856,2392
15362,2392
1665,2392
1665,16099
15283,3620
8470,16959
7589,2392
1665,17450
6364,17475
17550,232
17569,232
17838,232
14801,232
18264,3620
18271,232
18536,2392
12240,244
18961,232
19055,232
20642,232
20751,2392
18536,232
3977,244
21313,232
15362,232
22502,232
9879,232
22537,22538
23021,2392
3532,232
7589,23159
14801,4731
23487,232
23547,2392
23780,2392
24049,23159
16420,24445
15283,1664
16557,232
24832,2392
25028,25029
6281,25134
7589,232
1665,25276
25695,17187
25884,232
26496,244
26957,232
2074,27154
27706,232
4849,232
28197,232
8470,232
16816,232
8470,2392
28770,244
3977,24445
25028,3620
23780,29624
30748,232
31012,232
31155,232
14801,31172
12240,3620
1965,2392
32140,232
32445,2392
32770,232
3977,25276
24033,3620
33161,232
8213,24445
25695,15282
33700,232
32445,232
4732,232
34955,232
35196,232
35280,232
35535,24445
35611,244
1665,35976
15283,244
14801,244
16206,3620
37420,232
37793,244
38107,232
39318,232
39405,2392
30989,232
3619,232
23487,244
40016,232
26496,232
24832,28766
4490,244
8470,1353
8470,40364
40459,2392
3619,2392
1665,3564
40840,2392
28556,3620
1665,1664
41307,2392
15362,24445
18264,244
39258,232
42196,232
16476,3620
9879,3620
8470,43330
43354,1353
23780,3620
43558,232
43776,2392
15283,15282
15362,43976
1665,232
43462,244
19990,232
40634,3620
8470,24241
18961,2392
44903,2392
45134,232
44903,244
7589,244
24490,232
45490,232
45499,2392
45560,232
45764,232
2074,7306
46175,232
4732,46832
8470,3620
18194,244
16476,11905
47317,3620
16420,3620
39152,1353
25695,232
22537,15432
32262,232
6281,24445
15283,2392
47950,2392
47969,232
47995,232
1665,48278
1544,244
8470,11906
49090,232
30627,2392
50121,2392
50449,232
50746,2392
50887,232
51314,232
16557,2392
1965,232
51791,2392
51823,2392
15362,28113
14131,232
16476,17187
52552,3620
23021,232
18194,3620
16420,2392
53030,232
14801,1353
47523,244
53407,2392
15710,2392
6314,232
54030,25029
1665,38150
52666,232
50747,232
32262,1353
29529,232
54356,2392
54496,232
3977,45271
15283,232
54708,232
55243,2392
41332,232
13067,232
4972,244
42317,232
1665,8469
6281,232
44673,244
4732,4731
56321,2392
56368,2392
4972,232
13192,16034
56964,232
57023,232
2391,232
57810,232
39152,232
13892,232
39152,2392
58567,232
39262,244
35196,2392
54030,2392
23780,232
3977,45075
4121,2392
28261,232
47523,2392
8470,23159
3977,49483
51791,232
60158,232
3977,34805
60243,2392
54661,232
33824,232
1965,28113
60797,232
1665,7155
61110,232
61162,244
36320,2392
35535,25276
1665,3433
43348,2392
10148,3620
52552,232
42317,3620
6281,28113
61683,2392
60781,2392
4732,3620
30043,2392
62094,244
62262,232
62395,232
18154,2392
24832,24445
4972,2392
62504,232
25028,232
3977,23159
30043,24445
62826,232
18154,232
46143,232
12922,244
13648,2392
15710,244
40016,2392
12319,3620
26293,232
63075,244
6364,3620
1665,6450
1665,3620
63634,244
59129,232
1665,16034
11891,3620
63849,3620
64035,3620
60581,2392
64224,232
1665,49483
13192,244
23780,244
51979,232
15714,232
13067,244
64693,2392
62646,232
16420,1353
52656,232
43462,3620
7100,244
55167,2392
18194,17187
28803,232
20751,232
14231,232
63849,232
8470,7121
8470,26911
28770,232
60067,232
36931,232
4434,244
14801,24445
54491,232
14801,25276
4434,3620
53161,232
36320,232
12922,2392
4732,24445
67119,232
67125,232
66510,232
15714,1956
36648,2392
56668,2392
67217,232
4434,2392
43462,2392
47317,244
14801,28766
64693,24445
32322,2392
3977,3976
1665,28802
68054,232
4732,16034
26293,2392
3977,7155
68288,232
54030,244
37793,232
35535,232
22537,244
38869,2392
68581,232
68601,2392
57900,232
68706,232
2074,244
13067,3620
4732,11635
68961,232
35535,2392
43776,232
3977,56945
63865,232
15710,232
60991,232
62646,1353
65171,2392
16476,16475
16557,244
69573,232
3977,25029
35196,3620
45217,232
62985,232
69913,232
69923,232
69965,232
53415,232
12240,2392
40634,232
47797,232
70418,232
39845,232
37802,232
4732,244
42427,2392
1665,15282
53819,232
60781,232
1665,26911
71250,232
7100,2392
1665,59857
15710,1956
4732,2392
32262,2392
1665,17187
39405,232
68349,2392
40840,232
31248,3620
68460,232
8470,33622
10485,2392
71855,232
2074,2392
71934,232
59129,2392
3977,59857
58647,2392
15710,3620
26264,232
72263,2392
1665,34805
1665,24445
22537,8469
35657,232
72035,232
24832,4731
20828,3620
72571,232
72580,232
30627,24445
32262,3620
68106,232
25028,244
16476,232
72905,232
19241,2392
32140,2392
24832,1353
11891,244
2074,3620
4434,1353
4434,232
44112,3620
43462,232
9879,23159
73393,232
47950,232
63731,232
43348,232
60595,2392
25695,2392
73492,232
1665,65543
51259,232
12240,232
73649,232
66888,232
18961,24445
3977,3620
73735,232
38585,3620
70275,232
16420,25134
44112,244
35271,232
35947,232
15283,17187
68615,232
7100,232
8470,8469
15710,16034
14801,7155
14801,16034
3977,4731
35592,232
42317,244
1665,54434
3977,1353
1665,244
16557,24445
24832,49483
18645,2392
46461,244
64316,2392
24832,232
62715,232
44903,232
13192,45127
42427,232
3532,2392
24832,25134
16476,15282
69639,2392
16476,29624
25695,3620
8470,244
9879,1353
30305,2392
66303,232
1665,25134
233,232
22537,3620
3977,13903
15187,232
74389,2392
74787,232
67224,2392
1665,74546
21844,232
60595,24445
16420,244
16420,34805
3977,16034
6281,12849
65735,2392
3977,28766
64093,232
42317,2392
1665,1353
67224,232
12922,232
29529,2392
32262,244
60595,232
13192,2392
1665,28893
71591,232
63114,2392
75034,3620
9879,41806
57019,232
20828,244
30627,232
72642,232
8470,20146
16557,1353
13192,232
16420,232
16476,244
71867,244
17965,2392
62197,232
40634,2392
71398,2392
64693,232
3977,2392
15714,244
73582,232
28770,2392
14801,3620
73292,244
16206,244
34962,232
12762,2392
3977,232
40634,1353
1665,2885
26293,244
67699,232
17965,232
3977,28893
7589,3620
74795,232
68265,232
69639,232
1665,32120
25695,26911
74536,232
8470,15432
67699,244
3619,244
42804,232
71752,244
73199,2392
2074,232
15710,15282
27706,2392
23487,2392
54662,232
68170,232
16476,2392
37802,3620
23780,15432
4732,1353
1544,2392
30305,232
15710,23159
2074,8469
25695,244
75431,232
73770,232
57539,232
56668,232
60825,232
68274,2392
28803,2392
28003,3620
13192,3620
47523,232
24805,232
67119,2392
8470,34805
11891,2392
12906,232
