arthropodandotherarthropod_inv_1,arthropodandotherarthropod_inv_2
1029,27
1160,3120
5256,27
958,5731
6615,386
7153,27
8298,27
9193,958
2461,2462
27,11025
11325,386
958,6127
9193,2121
12032,12033
9229,386
996,2774
2916,958
14798,386
3696,958
16555,12032
8008,7783
1160,7783
1160,9229
2121,958
1160,958
27,995
1300,27
10055,12032
885,27
2415,2414
2415,2531
3290,27
958,23468
20899,27
1160,1159
1160,2415
4829,27
15483,8612
9193,10055
886,9229
6127,386
386,837
386,6127
16867,958
11325,27
959,2922
958,3037
27,30562
9967,27
7783,1160
2415,2746
9193,18205
885,886
958,33075
27,3696
6864,27
27,19577
2916,996
15430,27
2916,1029
2462,3696
27,1793
958,36408
996,9229
12501,27
2916,6750
2462,27
386,5663
11025,27
27,23004
4829,386
37057,42639
386,12501
386,1793
27,30660
2998,27
9193,12032
16755,3696
996,1159
27,8612
386,7739
5525,2774
1160,37057
3696,2462
6750,2916
386,2916
386,14385
3120,386
6498,27
994,27
996,6273
958,9193
2415,15761
386,5318
30562,27
9193,16555
27,6273
16555,9193
6273,386
3037,9193
386,6750
27,33263
12699,7052
386,23004
3696,386
1029,31168
5290,31527
1793,386
3696,959
6057,18205
996,2462
25711,27
386,6864
387,27
2415,3319
27,6127
886,27
7153,386
2121,12032
996,886
1159,27
58286,386
959,2998
958,53881
27,5486
6127,27
2121,9193
386,16070
11788,2415
2461,1159
6057,9193
26256,2916
8008,27
27,4829
27,51638
2415,43417
27,5256
27,18644
386,23598
10055,9193
12501,386
22626,958
2774,386
22044,27
27,12501
886,837
6057,2121
1159,996
3120,27
16019,386
10926,1160
5318,386
27,14798
1160,47489
3037,958
958,2121
386,6273
995,386
27,32176
16060,386
2774,5525
27,10134
53881,958
386,4829
1160,16867
386,16019
6057,958
996,2461
27,1300
3696,2916
27,6391
29283,3319
12032,958
1160,8298
958,6057
6498,386
6273,27
5613,5612
27,22044
2916,2766
995,27
27,6498
8008,1160
27,2462
27,20723
10055,3037
1160,49020
66041,2121
27,21291
22165,27
386,11325
959,958
1160,10926
386,2774
62954,3319
27,23598
2916,386
27,2766
5290,2916
1160,5291
386,9041
9193,6057
7052,12699
5565,27
5290,1029
386,958
27,8298
958,16555
27,29492
5318,27
26256,27
3696,16755
386,6391
886,996
1029,7669
7669,27
996,6498
49020,2774
6190,958
27,6463
15483,8298
386,995
5612,5613
27,18505
2415,58637
387,386
27,6750
996,837
2774,27
27,8737
18205,9193
386,51638
27,7153
996,995
386,1300
27,386
958,71226
386,27
886,386
27,11325
2998,959
1160,27
10134,27
6750,386
996,27
10055,6057
7783,27
2415,5949
996,12501
6391,27
386,8298
958,12032
386,9229
15483,12699
386,886
2415,15414
18205,958
6750,27
2766,2916
32490,386
23004,386
10207,27
27,15430
958,73258
2415,51463
3696,996
10949,386
386,2922
2461,996
23598,27
1300,386
386,32490
6864,386
2415,35981
958,18205
2415,14949
27,387
1029,5290
1160,7195
958,3120
27,9229
1159,2461
15483,10926
2922,386
20624,2916
386,16060
10949,27
27,5565
386,10949
29492,27
996,386
20704,27
2415,40336
886,885
386,996
886,8298
27,25711
1793,27
49020,958
2415,27947
996,2916
1160,74999
994,2916
2916,3696
36408,958
27,10949
10058,27
1160,8008
27,994
386,2462
958,8008
386,6498
2462,2461
27,837
20624,27
8298,386
5290,27
5486,27
2766,27
27,996
27,9967
386,3696
27,9101
8008,958
12033,12032
386,1159
386,58286
27,885
27,886
1159,1160
27,7669
2462,386
6127,6128
3696,27
27,2774
27,20899
958,6190
1159,386
386,7153
959,27
27,1159
958,16867
23004,27
