teamplaysagainstteam_inv_1,teamplaysagainstteam_inv_2
68,69
281,282
350,87
62,383
421,422
486,487
551,552
686,687
1250,281
1439,1011
1081,1493
486,1081
1913,1914
1633,497
2172,2173
1248,486
2593,1914
2702,2703
2715,500
500,2819
392,3188
421,3360
3512,486
971,3745
487,392
1604,1004
4123,1493
4148,383
932,2247
35,4183
56,500
476,35
4513,4514
2476,4602
3567,4659
1116,256
5002,421
5182,5183
1914,5340
4148,501
687,5560
500,497
6032,4602
3512,1004
1248,2973
1248,806
6032,5361
6827,326
1081,487
6913,2173
68,1250
932,916
7115,7116
7498,7499
449,87
256,3567
8160,7115
3900,3360
8203,8204
3746,8366
5920,3567
449,486
4602,8532
4123,497
1011,2007
8532,3567
379,4661
932,2973
56,57
392,4602
3746,1265
264,5183
3746,1004
1086,9118
7068,1081
9262,421
1633,1493
62,4662
500,56
1004,1633
3314,1250
932,2703
687,932
3746,9769
5361,6032
9804,9805
9822,2209
4926,1914
3383,87
4297,1914
1081,486
4165,7039
1355,56
69,1250
2593,552
497,10434
486,4418
497,5044
62,56
1102,552
87,392
476,3745
10922,282
552,1914
4659,2476
1493,62
5560,2680
6913,5361
2703,3360
11716,5361
87,2476
10922,35
501,1248
11847,113
4662,1248
3293,446
7563,11985
1116,11172
4504,2593
2341,113
449,4602
3393,4602
12325,476
5352,1004
4926,971
392,2476
446,1081
3893,7068
281,69
57,2694
12839,1248
87,1116
2244,113
806,1248
1248,1004
87,562
3293,9118
497,1493
12325,113
3746,500
1102,476
2680,5560
4853,932
13920,5361
1604,2694
1914,282
971,552
7039,4602
69,971
113,551
34,3360
1913,1250
383,7486
3893,3567
68,35
4662,14077
4602,562
447,446
99,87
10392,3383
8160,379
2593,971
882,4165
486,2694
5352,500
15349,8689
1284,449
14983,1102
383,1116
4148,4123
3558,15727
446,6032
2209,9262
486,15846
15905,1992
62,4418
486,1604
3567,326
16167,34
34,16220
4662,16250
87,487
2341,4183
16296,6816
282,1913
1284,256
2703,2702
350,1116
3393,256
916,4779
9769,1604
99,8286
1284,326
1992,2640
3567,8532
2556,69
256,1081
971,4297
562,350
932,5002
97,98
8689,15349
5361,13920
1914,281
3512,1604
3393,3567
3188,56
497,4662
7039,562
1004,57
497,62
6032,5560
62,1004
1081,687
4148,3512
18519,6032
2593,281
1081,2476
87,3383
57,1011
501,5044
4661,8814
4853,383
4854,1248
5044,4148
552,17579
2593,14983
3188,1493
9821,4514
486,501
10392,282
5636,6913
1493,4123
326,256
69,690
486,4853
690,4661
5044,1116
5183,14294
4853,4148
4659,7068
16220,34
1493,1248
476,1914
2973,4853
1914,69
882,2004
806,1493
7486,1004
10060,56
10467,5636
256,3188
2694,4123
10922,476
8286,87
1248,56
5352,2007
62,500
4602,1284
7311,1493
4602,10467
4779,2338
422,2703
500,4513
3772,282
687,21762
2247,932
1988,4853
971,1102
2593,35
2973,1248
5340,971
2209,19054
1914,971
5340,281
7319,57
4853,14077
100,486
1004,1222
4602,256
932,662
4602,87
281,971
56,8366
687,421
22573,379
2973,5044
1004,3512
1004,8222
22731,421
15906,22739
1914,68
562,3293
7486,383
1355,1011
1248,10978
4513,6088
500,7512
4048,4659
4659,3293
9821,932
11190,21669
1004,1988
686,4659
447,87
87,3393
552,8814
5361,12031
1914,1250
10159,383
4048,882
22573,113
3746,2694
2007,500
16614,87
5340,1914
486,8286
3945,476
8286,3293
7068,99
447,3188
500,687
5560,11511
56,497
5920,449
3746,4123
20258,5044
4853,4418
99,2476
932,3900
422,2338
1250,5340
68,2593
7039,447
4602,4853
1988,2007
2556,9805
87,5920
