automakerproducesmodel_1,automakerproducesmodel_2
66,67
66,846
1803,1804
554,2475
3281,3282
910,3542
554,3566
554,3851
752,4484
554,4741
554,4815
5113,5114
5113,6576
554,7154
2,8138
2528,2527
2402,9532
5113,9759
1883,10546
1657,10721
698,67
554,11868
2,11869
554,11957
554,13897
7756,13955
3607,14400
554,793
554,5327
554,16871
4024,17880
554,6516
554,18230
910,8826
7756,18607
2402,10686
21143,21144
21617,2527
910,21828
554,15437
21143,22725
2,15972
554,9865
554,23170
1657,24634
554,25337
1657,25857
26127,26128
7756,26374
26890,9309
26127,26966
12454,20424
752,27873
5526,28206
5113,28228
28749,28750
752,28755
4024,3282
66,30115
554,22384
1657,30337
1657,31482
7756,31776
32143,32144
32629,2527
554,26001
2402,28199
752,8596
2,34508
34997,9309
554,35210
554,9458
1657,36563
4024,4023
8435,13955
6215,15090
66,6930
554,37572
6215,38959
2402,37797
1657,1658
910,40353
41477,41478
554,18201
752,2617
12454,42861
910,20185
752,13302
752,24283
2,15105
2,44611
37964,44633
25367,44736
2402,44961
37964,45106
554,37021
910,29572
554,46065
15331,22419
26890,3282
34997,2527
6931,30115
554,41627
2,14455
3607,47635
48035,2527
7111,10537
554,39351
554,17892
2402,33690
910,50273
554,28750
554,553
554,38889
554,51177
1657,38019
5526,51459
4024,11925
4024,51853
554,30150
910,49609
752,30630
18372,52997
1657,26547
554,53282
752,31815
15887,4281
554,31336
2402,55002
3471,14331
5774,30628
2,9411
554,7893
554,56622
5113,5580
37964,56880
554,57067
2,41229
2,55615
1657,20278
554,41041
2,7307
52548,2527
5113,27107
2402,2936
2,20215
1803,59539
554,22665
554,59628
37970,2527
752,29517
12454,37571
752,2670
554,14928
554,60197
554,14339
6931,58632
66,61390
554,61726
5526,61818
554,61907
3607,5299
3607,50452
554,20694
5526,62595
554,35492
554,24907
2,55492
1803,29819
9310,9309
1803,37348
554,1085
1657,22665
37964,35993
554,7986
554,30024
2402,58994
554,55106
12454,21025
6215,64548
554,32287
910,19922
554,25050
554,7384
66,65334
4024,65625
21143,65687
15561,50730
7756,52302
21368,62730
5774,66089
4024,60867
554,37916
2,54731
5526,66903
6931,67009
34997,3282
47331,2527
8435,31776
37964,66456
5526,38878
66,28775
554,65806
554,34589
2402,60310
554,11166
55458,2527
554,9504
554,68250
752,19482
3607,59372
554,46290
554,13465
12454,68514
2402,61390
554,47347
2402,37754
1657,48954
18372,68791
16071,68794
5526,19633
554,68426
1657,48981
1657,984
752,9369
2,21091
910,39712
752,20593
2,30115
554,45741
752,19773
66,15105
752,16053
554,15862
7991,69122
6931,12969
1657,19584
554,11285
554,18703
4024,14539
70431,2527
2,60733
554,41229
1657,9411
66,55615
554,54413
554,15461
4024,9309
554,52781
1657,71207
554,46702
7756,7757
47331,9309
25367,55541
910,48474
752,10774
12547,12546
752,16554
20579,20578
27919,63253
4024,2527
910,69166
3281,2527
1657,41253
2402,26815
6931,34508
910,72829
5113,47173
26890,2527
2402,12806
21453,68017
554,18081
910,44066
554,43363
7991,53421
18372,48366
1657,57403
16071,52754
4024,72907
1803,74036
70617,2527
554,37973
21143,74186
3471,67496
554,8772
1657,17353
910,74255
4024,40697
4024,33690
752,27758
6931,6930
31544,71652
5526,62661
12454,12455
3607,64601
554,67262
21143,71970
554,35993
910,6066
554,68538
2,67
554,6518
554,14080
554,71657
37496,49279
554,55158
554,17356
554,74923
2,65636
44398,2527
1657,54016
2,74995
2402,75067
6931,37619
2528,9309
2,28333
5526,66062
1657,42132
5526,27305
554,29355
554,65945
554,52900
3607,3606
74358,71207
752,6175
1657,17200
6215,73139
554,14862
1657,47356
1803,55610
2,21649
4024,3542
5526,54607
554,3063
910,46182
752,9557
1657,53156
554,57069
7756,53981
2,55247
554,34238
752,54009
554,27284
9310,2527
4024,37797
2,28775
65776,12455
2402,41904
910,48877
20399,72564
2,53402
554,35234
73040,2527
2,36591
910,53956
5526,55048
910,42982
5526,38075
