buildingfeaturemadefrombuildin_1,buildingfeaturemadefrombuildin_2
4478,4479
71,7968
11167,11168
15647,2954
16820,2954
17368,2954
2940,17852
71,18458
18557,18558
19639,4479
21890,21891
21989,2954
22899,2954
21219,2954
25793,2954
25918,2954
16294,2954
28348,2954
2940,28777
71,18558
29657,2954
11167,4479
29741,2954
71,29750
3363,31036
3363,33909
71,34029
35042,2954
11167,18558
3363,36275
11167,17852
3363,39341
71,25671
17992,2954
2940,2954
42529,2954
42681,2954
11020,4479
43335,43336
3363,28777
44581,2954
25918,17852
3363,45193
46429,6996
3363,17852
16294,43336
47057,2954
5670,5669
47560,42379
71,2954
3363,48907
11167,25671
71,39341
50186,743
50720,2954
2940,43336
19639,30063
25672,25671
53575,2954
11167,743
2940,30063
25672,17852
55479,55480
55655,18558
33679,2954
54967,2954
54948,17852
43172,2954
49083,2954
57616,57617
71,30063
57924,2954
58203,2954
58336,4479
58544,25671
71,45193
2940,34330
3363,30063
60206,2954
3363,50688
58336,61360
58336,61948
71,6996
62198,25671
3363,743
62685,18558
37295,25671
47622,2954
71,50688
3363,56333
64062,2954
47560,61948
17992,743
64993,2954
37983,2954
71,29026
3363,42863
46429,4479
3363,34330
3363,4479
66364,2954
2940,45193
58336,42379
66633,25671
66857,17852
67164,4479
67182,2954
11167,30063
21890,4479
67451,2954
49533,2954
52345,29026
67892,743
2940,50688
16294,67629
744,2954
22899,4479
3363,25671
47560,2954
71,61360
25672,29026
68833,2954
45182,17852
3363,6996
71,54265
66633,2954
71,53279
3363,18558
44159,2954
25672,2954
54948,2954
54492,7968
52345,2954
16539,2954
11167,2954
58336,2954
30721,2954
11167,54265
71,17852
2940,4479
54492,42379
34643,34642
42404,2954
71891,2954
44581,4479
37295,43336
11167,34029
72977,2954
3363,2954
72514,7968
71,43336
37295,743
37295,4479
73493,2954
37295,61360
45182,2954
21890,2954
67355,2954
11167,21891
19639,45193
52345,21891
74092,2954
744,743
16294,25671
62907,2954
11167,7968
71,56333
16294,7968
59029,25671
3363,43336
72514,4479
54492,2954
28924,2954
11167,45193
66007,2954
2955,2954
11167,74623
54492,4479
20711,2954
3363,29026
63758,2954
71,34330
16294,4479
53214,2954
11167,50688
2940,743
71,743
71123,2954
68727,18558
19639,25671
11167,43336
74126,2954
58336,29750
29741,4479
5670,2954
54492,50688
28834,2954
28348,743
58336,56333
70746,2954
