sportusesstadium_1,sportusesstadium_2
947,4874
454,3577
47,8799
39,9195
39,9498
47,10927
39,11965
1141,13185
47,5015
947,9401
47,16311
47,17251
947,17480
47,16864
39,17480
47,1080
47,19925
47,18614
947,10705
47,22594
947,22817
947,13501
47,23622
47,27319
39,8605
947,18819
47,14782
47,32392
39,4874
947,21045
947,10261
947,17607
47,6349
39,869
47,34736
947,32212
47,35521
47,36064
947,5403
39,20572
39,37415
47,22854
47,32097
47,16686
947,16130
47,39983
47,35856
47,40604
47,9461
39,15209
47,12949
39,1558
47,25682
47,36197
39,24958
47,22638
47,18413
47,32576
39,26191
47,38755
47,11884
47,8197
39,17568
39,15610
39,37068
47,35842
947,25936
947,39780
47,29345
47,8720
47,31959
39,7535
39,26899
47,52655
47,52971
47,53337
39,14618
47,28917
47,31937
39,6577
47,39711
47,38772
47,22737
39,6285
47,29809
47,1775
47,58870
47,21410
47,57451
47,59833
47,54037
39,4061
47,7484
47,19938
947,24250
947,15519
47,17067
39,5403
3531,62943
47,63100
947,14618
947,16603
39,5905
39,8942
47,41835
947,27765
39,37605
47,3636
47,65364
47,50978
947,66598
47,66689
947,4061
947,8605
47,3021
47,64872
39,6276
47,33678
47,4360
47,62793
47,15424
947,8942
47,24960
47,4049
47,47443
47,20397
39,57192
47,52643
47,8992
47,10488
947,8289
947,24895
39,11068
47,13715
947,46750
39,18819
47,47192
47,33661
47,37454
47,51565
47,51188
47,65943
47,63803
47,72970
1141,57000
47,72447
47,13070
39,38
47,35391
47,70061
47,47867
47,60800
947,11068
47,9421
47,35151
39,17676
47,14769
47,10059
47,36354
39,21720
47,39051
47,74612
47,53880
947,30342
39,3547
947,20572
47,47079
47,36113
39,9401
39,44522
47,9235
47,75277
39,4788
47,32050
39,10705
47,38334
454,5075
47,19362
47,63604
47,21068
454,22902
947,44344
47,51828
