headquarteredin_1,headquarteredin_2
169,170
498,499
593,133
1371,133
4119,4120
6533,133
6635,133
7878,2953
5944,8276
8044,499
186,250
9264,133
3915,10372
10474,250
10578,133
10708,225
10893,207
13472,9422
14590,751
7129,250
3342,15002
16152,250
16690,133
17145,250
6500,250
18080,556
15224,18087
18627,133
6571,207
13731,133
20042,133
20964,1916
20885,12280
14200,133
5023,133
4703,2113
20870,15002
7883,8647
4903,2953
9443,133
27914,2558
28208,9365
28782,250
16480,133
29334,133
29918,133
28536,16414
31409,13627
32018,133
5952,207
14456,235
544,250
4280,16373
10733,3579
13782,9809
33466,32877
29528,133
33941,1882
4739,12280
34474,133
2803,225
34036,133
12982,36583
26621,133
24344,133
1875,28299
11428,133
32964,1891
8295,207
18996,207
13665,7939
2917,250
39989,685
14583,330
40526,9480
40658,250
8345,133
19768,4099
12610,133
25584,25583
41990,133
816,183
43075,1079
24263,7049
43966,8413
14183,6837
32371,914
12557,133
20918,16414
7158,133
45199,133
11267,11268
45590,250
5359,133
477,2802
24978,8091
46222,133
3152,133
38291,133
46958,611
46993,611
11286,330
17896,17897
1381,7904
17747,133
6342,133
179,133
17371,3880
43212,133
572,751
22832,250
44630,1916
49958,7495
50133,250
50581,133
238,3518
18783,479
18110,133
52110,7049
13836,133
20043,133
17337,133
27042,133
7060,19212
53328,299
7335,133
3228,299
19145,39330
2772,133
26868,5963
37159,133
12474,133
54534,16270
37898,250
54997,9133
9501,9500
14330,16373
42291,133
15937,15936
34846,133
43746,250
5232,4325
49733,731
56390,1079
6890,299
13188,250
2521,30874
45802,133
20521,207
57291,207
15631,133
4451,7939
10516,10515
30186,250
11726,250
26274,4833
1856,1855
9273,914
7747,7746
15810,16373
554,330
17921,7057
4232,30874
4358,133
60349,133
36148,2605
58575,11769
11467,133
11627,250
52701,133
29561,39607
3082,133
15380,4099
4749,133
15023,133
12791,4099
340,250
906,2607
7374,1825
5087,5086
8023,133
23651,2307
20167,250
12790,250
24660,9422
3381,3
3175,751
1271,7049
12423,1020
47435,2113
17845,183
24199,133
2073,64295
63496,133
64464,42160
13506,133
21285,16373
17341,7939
15447,565
9116,133
5943,8276
4105,133
15758,207
11430,133
1063,133
7730,6379
50042,133
57945,40081
2668,133
2405,133
20800,1134
4,133
11359,410
10948,16884
27258,3865
2498,250
67068,133
19321,1020
10203,4499
43542,299
2669,133
17688,9500
67442,42160
7352,250
4445,9293
68047,8647
3184,556
23032,914
30274,133
59548,133
95,133
31038,133
26745,133
68421,250
37556,133
10282,133
55362,250
57215,6379
31307,10372
3451,250
2436,6379
40906,133
46865,5228
4603,17897
27971,464
329,330
14247,133
19812,19811
50922,3518
2047,2953
20827,4499
15919,7049
37474,10372
36974,133
12650,751
227,133
31281,7495
4577,235
11045,133
6176,133
8417,133
70950,250
57253,4007
185,250
29270,133
1424,133
63695,114
42058,133
12768,611
22224,10372
4193,13313
43860,7246
11712,11711
14252,250
46255,133
52806,11769
51599,2514
59735,133
11201,133
28714,4561
57633,133
30861,133
49206,15237
17182,133
14268,330
134,133
620,250
5460,6379
2231,2113
22355,2953
15050,2307
39922,133
11079,250
65624,15929
73036,133
6536,751
16592,5911
5263,250
42098,250
43110,10986
48970,10372
19511,7939
37012,133
1369,6562
2467,250
67162,23760
12535,22243
19354,133
18772,11664
19177,133
38327,36583
20884,12280
43722,133
13295,556
65666,133
19155,917
25873,4888
2859,23760
1699,23760
4947,1855
55228,410
2364,6422
26675,133
39387,39386
74363,10882
11667,2113
25239,133
40373,10372
11770,13313
10389,133
1535,133
18715,22117
4808,133
68770,207
18793,14570
74074,133
24441,133
698,3
4378,133
7627,16373
46156,16373
2559,8047
22034,6379
756,10372
69031,250
19859,133
29597,914
4151,5121
293,3
11469,2113
16367,10327
35587,133
19794,7939
73980,2050
30174,133
42946,528
7377,21785
67402,6164
20306,235
58633,9365
38092,133
4680,133
46343,133
8736,250
59518,133
75426,3488
7161,133
67099,13756
8463,751
70661,1876
36254,4723
45638,133
67624,133
15383,6657
74951,133
50337,6181
6928,1776
15400,133
18218,71450
25336,38897
57307,133
8810,13627
29884,10372
