beveragemadefrombeverage_inv_1,beveragemadefrombeverage_inv_2
1022,1023
1153,1154
1956,1957
2547,2548
1022,2837
3731,1154
3902,3903
4399,4400
1870,1180
5936,1023
6182,6183
1956,6470
6739,1023
1956,7258
1956,7995
1956,8357
2547,8484
8735,7813
1956,9284
3902,9924
9957,7813
1022,9987
1956,10979
1956,11384
7306,11635
1956,11661
1956,11820
1956,12467
1022,3902
2547,13499
13902,13903
1956,14066
1956,14300
1956,14526
1956,15839
1956,16286
1870,1489
3902,1023
1956,17572
2547,17682
18064,18065
1956,18985
19448,1023
2547,9860
2547,6183
1956,7003
2547,7813
1956,22394
1956,22658
2547,16324
23639,23640
21481,3902
1956,23822
1180,7813
1956,23897
7306,23906
9806,23961
1022,10943
1956,24709
1956,25386
7306,3976
1022,1488
2547,26439
1956,27073
1956,27237
1956,27368
1022,27438
1153,1488
1022,27868
2547,28175
1956,28565
1956,16324
1956,25227
7306,29624
1956,30093
1956,23512
2547,14383
1022,22173
1154,20825
1956,30596
1022,21481
1956,31133
7306,3620
1869,1154
1956,31483
1489,13450
1956,32120
1956,32246
2547,7850
7306,17187
1956,33378
1956,25910
1956,34030
3902,6183
34120,11905
1956,21008
13256,11905
17187,34571
1489,35229
2547,35257
17187,35325
1956,7121
1956,15598
2547,19448
6739,6183
1956,1199
1956,232
1022,37296
1956,37308
1870,21102
1956,38150
6182,7813
1956,38572
1022,38884
10943,20825
1956,7305
1956,39069
7306,21482
2547,21481
9106,1154
1870,10943
39871,1154
7306,40105
1956,38799
7306,27154
14383,13256
7306,28802
1870,40709
8735,41150
1956,41155
2547,40739
41996,7813
1956,42044
1956,3976
1956,21378
3620,42363
6182,1179
2547,13450
1956,42831
3902,7813
1022,42989
7306,43112
1956,15791
1956,43492
1956,23639
1956,43781
7306,35006
7306,23159
2547,39994
2547,1023
1956,44621
1022,14383
1956,44752
7306,13903
2547,8735
2547,45144
1180,13450
1956,34120
1956,11906
1870,3902
6739,1179
1956,38509
1956,46440
1956,46765
8735,22173
2547,35006
47953,1154
9106,13450
23807,7813
1154,10550
9806,13256
1956,13331
19448,1154
1489,1488
1154,13256
1956,18988
1956,49862
1956,50217
1956,37672
13257,1023
5936,1154
2547,38884
1956,50663
1489,1154
1489,9924
8735,1488
1180,22173
1956,47013
51139,1154
1956,7306
1956,46665
1180,3903
7306,52046
1022,2547
1956,52109
1956,36772
2547,25910
1956,52457
1956,52598
27154,17187
1956,53626
1022,53712
1956,53907
1489,1023
1956,17187
1956,47401
54226,35006
1956,54278
20146,23159
1956,34675
1022,9957
1022,23807
1022,6183
55257,1488
1956,7813
1956,55379
1956,25029
2977,3976
1022,30596
2978,55772
2547,7121
1956,45127
1956,56380
13257,13256
19448,1488
1870,20881
13257,49801
9806,3976
1956,57203
57277,7813
1870,1153
1956,57688
1956,32968
1956,54183
1956,58184
7306,52575
13256,4400
9957,22173
21481,1023
1956,58834
1956,41806
2547,22802
4399,13256
19448,1179
25227,35006
2547,5425
37296,22173
1956,58200
1956,3433
1022,19861
31133,35006
1956,29774
3620,35325
9860,7813
17668,13256
1022,1154
1022,60307
1956,6949
2547,21835
1022,52617
2547,9924
1956,60775
1956,41947
1956,40105
1870,5425
55257,1154
1180,6183
1956,61320
2978,2977
1956,61523
1956,2885
6182,1488
1022,1869
25724,1154
3620,62118
1956,61960
3620,45074
2547,62435
1956,10391
19448,13450
1022,1153
1870,62721
2547,5936
6182,35257
1956,11382
9860,20825
20881,7813
1956,244
1956,40609
1956,43112
2547,1870
6739,13256
1956,63073
1022,1179
32968,23159
1956,3620
2547,1154
1956,20146
1022,16477
1870,21481
1870,1023
19861,7813
1956,64201
13257,7813
7306,244
1180,1154
1956,4731
1956,64637
1956,11905
1022,20825
3902,1179
1956,64742
10943,1488
1956,4400
38509,55772
1956,64982
1956,65036
52234,52233
13534,13533
1956,65293
2547,9957
2547,3903
2977,13533
1022,5936
1956,1353
1870,19448
1956,21174
1022,63616
1956,19653
1956,65993
9106,1023
1956,66047
1956,9219
1870,37296
1956,37114
1022,60504
1022,52393
10943,1023
7306,3433
21481,49801
21481,13450
10943,18065
1870,7813
2547,27438
1956,52502
1022,1489
5936,7813
1956,54549
1956,60940
1489,1179
9806,7305
1956,21482
1956,67543
1022,13257
1956,40927
1956,67653
2547,20825
1154,4400
2547,1488
1870,23807
1956,68090
1154,67114
2547,18064
1180,63701
7306,7813
1022,2840
68383,1154
2547,57821
6739,9924
2547,51139
1956,68547
21481,22173
1956,68592
1956,42800
7306,15432
15589,1154
1956,42399
7306,29774
1489,7813
1870,51021
1489,3903
7306,35257
1022,55886
2547,23807
1956,17608
1956,30553
1956,60321
1489,63701
6182,1180
2547,1180
1022,46586
1956,970
1022,40709
1956,69791
1956,16475
1956,66912
1956,35393
1022,4399
1870,8735
1956,2977
69838,24241
1956,41051
1154,5936
1022,69886
1956,11635
8735,13450
5425,1154
1956,35229
1870,51139
2547,1153
6182,1154
1956,9056
1956,2978
2547,70572
1022,57821
3902,22173
1956,70759
70782,15432
1870,18064
42363,45075
2547,70905
1154,2977
19448,7813
1956,15771
1956,71210
9806,71215
1870,1179
1956,71305
7306,52158
1956,71420
1956,71428
1956,71433
10943,13256
1956,13903
2547,65555
1870,71614
2547,61212
1956,71672
1956,35006
1180,1023
1956,48086
1870,9957
1022,3903
3620,37114
1022,1180
10943,7813
6470,58200
7306,1956
1022,18064
1870,9106
1870,22173
9957,1488
1154,1956
6182,3902
1870,1869
1956,61551
1956,36051
1956,15134
1956,15432
1956,2848
1870,45988
3620,72652
10943,1154
1154,1489
1956,27342
1956,69838
