bookwriter_1,bookwriter_2
651,652
1367,1045
1950,1951
2114,2115
2253,2254
2432,2433
2445,2446
2554,2555
2567,2568
2666,2667
2716,2717
2961,2962
3206,3207
3386,2240
3560,3561
3676,3677
3770,3771
3798,3799
3814,3815
3920,3921
4346,4347
4369,4370
4598,4599
4674,4675
4789,4790
4900,4901
4940,4941
4975,4976
4991,4992
5027,5028
5106,5107
5159,5160
5321,5322
5343,5344
5353,5354
5395,5396
5652,5653
5684,5685
5959,5960
6157,6158
6242,5414
6279,6280
6316,6317
6419,6420
6509,6510
6628,6629
6651,6652
6965,6966
7226,7227
7341,7342
7397,7398
7450,7451
4386,3677
8062,7109
8454,8455
8539,8540
8616,8617
8797,8798
9110,9111
9121,9122
9198,9199
9237,9238
9249,9250
9267,9268
9282,9283
9631,2433
9677,9678
9729,9730
10185,10186
10450,10451
10645,10646
10660,10661
10676,10677
10760,10761
11033,11034
11163,8033
11503,2313
11575,11576
11592,11593
6830,6829
11650,11651
12336,12337
12466,6317
12695,12696
12746,12747
10566,2568
12133,4233
13143,8141
13265,13266
13275,12337
13303,2411
13373,13374
13380,13381
13397,3677
3918,13541
13757,13758
11237,5322
14027,14028
14304,14305
14378,10761
11300,11299
14571,14572
14607,14608
14616,8660
14627,14628
14672,2377
14755,14756
1950,13226
14831,14832
14924,14925
8321,8320
15316,15317
15378,15379
15466,15467
8199,15477
14512,14511
15549,14832
15685,2313
10585,2294
16156,16157
16351,16352
16459,16460
16556,2962
16875,16355
16948,16949
17056,8033
17060,17061
17148,2962
17202,17203
3754,17396
5343,9877
17639,11520
17873,17874
18001,18002
5159,18289
18392,18393
18569,18570
18637,18638
18947,11520
19013,7369
19426,19427
19644,19645
19842,11520
19877,19878
19899,2667
19946,19947
20082,15477
20105,20106
16356,16355
20295,20296
20485,2313
20655,20656
20760,20761
20923,20924
20967,20968
21082,21083
21115,21116
21133,3799
21210,5571
21216,17720
14824,14825
21573,14305
6122,8151
21621,8151
16446,21758
21794,15074
21861,21862
21948,9122
22333,22334
22476,8617
7735,7734
22618,21177
22628,6280
22630,4755
22464,2962
22792,22793
23051,23052
