organizationheadquarteredinsta1_1,organizationheadquarteredinsta1_2
811,812
1270,1271
6,1633
6,562
6,1988
6,5181
8443,1248
1092,8810
6,8971
9147,9148
3262,11368
6288,8532
5802,11770
6,5044
3726,14513
6,486
6,17070
6,17288
6,9769
6,12115
6,3293
1868,24652
6,3314
8443,26090
6,1011
6,26481
6,3893
6,3393
6,16250
6,4048
25189,2626
39746,700
6,3567
6,34
844,41895
8443,42219
43101,43102
321,27258
1627,6708
6,4165
1270,11626
4047,40664
6,2427
45765,45766
6,27691
6,29146
1627,19145
6,2209
6,7319
28159,2152
6,51100
1016,51578
6,1004
17,7060
344,19321
1966,19681
819,53576
6,4602
6,916
1092,14444
6,10864
3726,5627
6,2694
6,446
6,22731
6,932
6,350
6,13029
28159,8307
6,9598
819,23651
6288,11172
6,1597
6,3188
6,54950
50326,50325
6,6744
6,13089
1270,3124
6,10060
6,21773
6,5767
6,3821
6,26700
6,22908
9217,26713
6,15672
6,882
12744,12743
6,2476
6,2703
6,4442
904,56844
6,172
6,4631
1016,26479
6,19014
6,8486
6,326
321,26868
1627,11712
6,67192
6,7039
25356,25355
6,10159
17,56
8443,15368
5802,4193
6,9262
6,450
6,476
6,20258
904,71329
6,12128
6,9915
9217,614
61819,43075
6,1284
6,6348
6288,73229
1270,15919
6,3900
6,806
1270,3006
6,4854
6,7555
978,36
6,1992
6,421
6,10775
1627,22080
5802,22801
6,11015
6,422
1627,40089
8443,30961
1627,15224
6,4774
9355,584
6,8025
6,57
1016,17921
1016,71245
1270,52110
6,1439
6,392
1270,466
1016,7056
