awardtrophytournamentisthecham1_1,awardtrophytournamentisthecham1_2
47,10897
454,11215
1141,13794
47,1721
454,1317
5399,19921
39,14489
454,21251
3531,14489
454,25118
5399,30000
28941,31598
19988,11215
1100,14489
5399,16095
28941,3855
947,12195
39796,12195
454,41797
3531,13104
454,14489
947,45049
3856,11215
3856,3855
5399,11215
47038,14489
947,47184
5399,13133
50991,11215
1141,13553
5399,5398
454,13104
3129,14489
947,2340
5399,10897
348,11215
4228,12818
28941,56396
947,13104
454,26165
47,13104
454,3400
5399,59282
7930,14489
947,14489
7930,11215
58406,14489
32564,14489
5399,44502
15277,45356
454,35197
39,2705
348,12195
36220,14489
5399,41147
28941,11802
454,19857
454,10897
3531,21251
5399,68929
47,14489
348,14489
19988,16095
947,69418
3531,12195
1100,3855
39796,14489
947,11215
19988,10897
947,70881
5399,70665
5399,46781
947,61770
5399,71388
1141,6081
5399,3855
19988,72040
5399,40552
947,11328
454,12195
52284,16095
3531,12818
5399,72040
5399,60147
947,10897
3856,11802
28941,28940
19988,19987
2598,14489
28941,11215
15804,11215
947,66261
19988,40552
19988,14489
47,44235
1100,11215
947,73259
13146,21251
5399,58672
19988,69418
53695,14489
5399,72617
1141,1602
47,12195
1141,14489
