statehascapital_inv_1,statehascapital_inv_2
1049,1050
9547,4047
10742,10743
10887,10888
7001,3538
12641,12642
12648,12649
1329,2366
14988,3805
15104,6947
15395,5552
6936,16683
21513,21514
22179,22178
24510,24511
25303,10658
13394,13393
3204,459
8310,2068
917,28159
29153,29154
30004,30005
19396,30617
31214,31215
8238,33159
36368,36369
36971,36972
37432,9147
1753,1868
930,28468
39551,9355
41238,41239
41666,41667
9736,24139
28592,35231
2350,2349
11225,3262
1465,27996
45998,1966
47093,34118
47580,270
6379,904
39660,48909
46846,49137
49267,49268
80,21122
50575,32753
11505,10416
3115,321
38015,52897
34506,3726
53536,1953
54349,54350
56052,8882
24774,9972
40864,3055
25749,56933
57235,57236
57515,46050
9900,344
20203,47539
1405,56601
59311,12401
4978,7763
45302,8272
60742,21535
1894,13269
37877,45018
17374,6288
13017,13016
18700,2417
22660,22659
3104,7339
31542,65097
16508,8672
12951,7905
2275,2274
815,22702
36078,66404
9365,819
67601,67600
68586,20088
34277,38872
68879,42369
25188,69517
5459,20206
800,3005
61298,34000
65488,31488
31418,13764
1079,61819
70791,45765
4861,22147
60746,37272
72880,11007
3737,21402
73076,6416
6109,6329
16950,1374
13627,1092
44220,13292
50137,11317
3782,1627
6064,17
70341,70340
24454,25189
25762,73364
11723,717
11010,2079
73825,73824
74730,46686
183,15723
14289,6
59284,25471
25747,50669
4665,2424
4096,4095
73035,2731
