agriculturalproducttoattractin_1,agriculturalproducttoattractin_2
3076,886
7221,27
3303,6127
1139,7885
7978,5290
11165,386
13815,27
5502,5290
1139,17423
7727,1159
8858,19993
8858,4829
1146,21418
7727,996
2423,22845
1139,23390
8858,7153
1023,27
1139,18505
7221,886
8858,21846
1139,2916
4188,9041
2423,1300
1139,31687
10862,27
3303,32119
3303,6864
33968,6864
3303,386
3303,9229
8858,386
1139,27
6239,6615
39230,6127
8858,35095
31076,27
3303,1300
1301,42636
4188,4979
28534,386
8858,7923
1139,5663
9086,27
3303,5486
3076,996
1013,996
7727,2462
7727,886
5502,2916
1139,996
3303,7669
3303,1159
1139,41696
6239,35620
13205,6750
7221,996
1139,54978
1139,3696
8858,3696
3303,27
1146,27
5502,27
3303,996
8858,17940
1139,886
3303,17745
33968,5290
11165,6127
3303,5290
3303,3696
3269,27
1139,17940
3269,2462
6239,2774
6239,17745
1353,886
6239,1788
8858,17837
1139,47648
33968,6127
1139,5486
13815,386
3150,35620
1139,52056
33968,27
1139,994
1139,5290
39230,995
6239,8612
7727,27
1139,4803
3303,2916
1139,51050
1139,1300
3303,1029
3303,2766
8858,9041
3303,886
49686,5486
1139,6864
1139,1793
8126,886
7987,6864
7727,6864
1139,6750
3303,2461
2423,27
1023,5290
11165,27
39230,23598
3076,6127
7727,3696
3269,7669
1139,6127
1139,66753
33968,386
3303,6498
4188,27
33968,2916
6239,996
7727,2998
7727,2922
39230,2774
7727,1300
1139,1029
7221,6127
1139,2766
11165,2462
55007,27
3303,2922
2423,386
6239,11025
3303,2462
7727,6127
11165,3696
6239,6127
3303,5256
6239,27
2423,6864
8858,72979
6239,1159
3303,12501
13799,5290
8858,60397
1139,70230
1139,32119
39230,14798
3303,5318
1139,7669
3303,16060
1301,1300
3303,16755
33968,15870
1139,53692
39230,8298
1139,22490
39230,386
8858,6127
1139,29492
1139,51999
32783,5486
3269,5486
39230,8612
38154,16019
3303,29492
7727,5290
1139,64108
7124,386
8858,27
1146,31687
