automobilemakerdealersincity_1,automobilemakerdealersincity_2
2,3
1883,1916
1657,5790
910,917
2,207
910,9486
1883,556
1883,15229
910,42
3607,15760
1657,556
3607,3820
1657,914
4024,7650
6931,10890
1657,3930
752,917
1883,1877
752,3115
6931,556
3607,3483
1883,6379
2,7957
910,26562
1883,23058
752,17374
752,7057
1883,30083
1883,8310
2,914
752,7650
910,31640
752,7452
1883,23989
554,556
1883,13582
1883,3518
752,1816
2,1894
1883,5790
4024,3930
1883,19212
1883,3930
1883,751
2,917
752,114
910,207
1883,1894
1883,18419
40934,3930
3607,649
1883,21572
910,6064
910,7320
3607,26562
27919,44122
2402,6379
3607,44803
1657,1421
1883,207
752,2113
4024,10928
2402,9422
752,914
1883,9422
1657,207
910,19212
1883,6698
1803,5790
1883,29136
752,1916
4024,10528
5526,3930
1883,8884
752,207
1883,38897
1883,7939
1883,40702
2,1593
6931,3930
3607,6838
752,6379
1883,1421
1883,28592
1883,7057
3607,3930
2,7057
910,29136
752,29505
752,5459
910,12280
1883,11527
752,10890
6931,555
752,3090
292,8647
1883,5708
910,555
910,6838
752,5984
752,1894
752,556
6931,5790
910,3483
1883,2802
1657,3115
1883,2812
752,3950
1883,3579
1883,14909
2,9422
1883,46152
6794,3930
752,16270
1883,235
752,9422
752,7957
910,1601
1657,235
2402,556
2,3930
3607,5459
5774,556
1883,30361
1883,2113
910,10070
1883,35115
3607,7320
1883,45540
2,556
910,15140
1657,5984
910,649
752,8310
752,2410
554,9422
1883,3115
1803,9365
752,14914
37496,3090
3607,29136
910,33710
1883,69375
2402,5790
910,25017
21453,235
752,42
752,16337
18372,5790
910,12587
910,2760
1883,18152
910,53463
3607,14388
3607,1601
1883,1454
910,33826
3607,5080
752,751
1883,7904
21453,5790
3607,33826
2,3579
3607,19212
752,22141
752,23939
1883,31615
910,74
1883,7495
5774,42
5774,71222
1883,1882
27919,751
1883,42141
1883,12705
3607,12587
910,65031
1883,10890
2,48158
4024,36892
1883,731
752,4499
1883,555
1883,5459
4024,3695
1883,7312
910,15246
1883,66513
910,5080
2,1049
1883,849
2,3518
910,46031
1883,1079
5526,5790
910,15760
4024,42
910,5459
3607,556
910,44803
910,556
910,35757
2402,207
3607,12280
3607,6064
752,1936
1883,16337
752,235
910,49271
1883,914
4024,3563
6931,5459
4024,556
752,1454
3607,33710
910,3820
910,5790
752,555
752,3930
20579,5984
910,12471
3607,9486
752,9365
910,7057
3607,15246
