athletewinsawardtrophytourname1_1,athletewinsawardtrophytourname1_2
1602,1603
5771,5772
13553,13554
1602,14052
1602,142
13794,15034
3400,18803
1602,13554
19927,1603
24461,24462
1721,24671
13794,25946
11328,1554
19857,15034
13794,28266
13794,19154
1721,31373
16999,16998
13794,10568
13553,24812
24461,32328
13553,27275
1721,12438
13553,1603
13553,41412
13553,15034
16781,32615
13794,13554
13553,23863
3400,4567
13553,24670
19927,14052
5771,28221
1602,38512
1602,4930
50545,50546
6081,862
1602,36350
13794,44530
1602,54792
1602,16327
58274,50546
1602,19154
5771,8186
1602,16998
13553,31841
3400,28275
5771,31841
60085,50546
1602,40375
1721,10056
19603,16998
19927,31841
1602,21917
13794,32615
19927,24812
1602,41412
13553,61214
13553,36350
5771,27275
16781,3358
5771,24812
1721,30607
13794,141
13553,51715
1602,26797
1721,21608
1602,38313
5771,38741
5771,862
5771,3358
13553,27276
13553,67652
6081,19154
19603,41640
13553,47889
6081,3358
16999,19255
13553,5772
13553,142
13553,38741
19927,3358
1721,18404
5771,16327
1602,24467
13553,26343
16999,30198
19927,46279
3400,9894
1602,40093
19927,862
5771,40274
3400,4127
16999,1581
1602,62275
19927,142
5771,14052
1602,16919
19857,4930
1602,71124
3400,8881
1602,36044
13553,24467
1602,3358
1602,15176
5771,24467
1602,28221
6081,46279
13553,32615
3400,10944
16781,15034
13794,67094
13553,28221
5771,142
1602,27275
13794,38078
19927,1581
5771,36350
28489,12940
13553,3358
16781,36350
13794,36350
1602,15034
1602,40274
5771,1603
