agentbelongstoorganization_1,agentbelongstoorganization_2
178,179
1187,257
1781,1782
1931,1932
2755,2756
2763,791
3380,3381
1671,2396
4220,342
5171,5172
5205,604
3550,741
6255,257
6806,179
6945,2396
7396,2222
7477,2396
7488,2396
8829,8830
8880,95
8893,179
9024,604
9391,1136
10304,1038
10352,9045
10490,604
10512,179
4098,179
10790,179
6799,179
10857,2396
11051,179
12048,179
1733,179
12518,1782
9618,179
13027,1001
7841,2222
7828,12
13149,179
1537,179
14484,179
16043,12
935,2222
17697,95
17713,179
17956,179
18596,179
19069,179
19390,12
17692,2222
17957,179
14501,6500
20957,1424
14621,2222
21642,1790
21957,4105
1550,18716
19303,179
7437,2222
22750,257
22974,20502
5813,1782
24010,24011
8590,30
2990,791
3627,2222
25071,1001
25664,179
3229,2396
25848,2396
25431,1001
10636,179
8267,26876
681,27126
14088,179
27427,2396
27472,179
1046,27751
27858,179
27972,2396
9391,18169
28832,179
28857,342
16947,342
10279,179
29047,179
14584,14583
5141,1001
32,2396
29813,10474
9391,12897
13469,179
30797,342
9391,8150
4394,17221
31071,741
31438,257
22705,179
361,179
32816,179
22425,12
32302,179
20555,1782
10184,179
19472,179
34121,257
34219,1001
25224,17266
34289,2772
34346,2692
25024,179
30518,179
14515,257
2857,786
5733,9045
35316,1038
9313,179
28679,741
5648,2396
35952,30
3113,9045
10336,2396
3121,24199
36484,12
36687,9045
14877,791
26230,179
37335,2692
27595,741
18830,12
19035,281
8262,1782
2103,179
8960,179
32560,9045
24503,179
37885,143
39518,95
39564,257
39679,5172
478,30
9391,17221
40416,1782
32901,179
32762,179
13069,30
40797,1001
7754,179
26359,633
40275,1001
21637,179
41284,11236
41668,30
5120,179
12,2396
42106,9045
2277,12
10811,95
5096,179
42794,342
27006,2396
43232,1782
43312,604
5177,342
1955,179
7912,179
30410,179
43972,604
44100,342
3034,1782
44266,604
45114,791
45212,1860
41470,1001
25773,604
45631,179
46210,10474
12569,179
46459,786
45136,9045
9159,257
46852,342
2679,2678
47419,2396
38440,1782
10623,179
48607,1001
5105,179
12453,2396
32557,179
38286,179
49205,2396
8359,2222
13085,179
2967,2222
49565,1001
9934,9045
26367,4105
1357,179
19632,2396
38182,2396
20538,20537
8409,2222
22135,179
37943,179
4810,2396
4869,26600
20957,8748
14447,1001
205,250
26359,5263
47177,2396
30640,1001
20100,179
50141,179
9752,791
7617,7349
52196,1038
45303,179
15173,179
1234,2222
52741,179
52780,604
4189,179
52811,791
48347,2222
48419,604
19047,10249
6206,179
34458,41501
50981,17481
18422,179
22003,179
29049,604
14087,2222
6695,2396
53640,791
3689,791
45525,2222
3000,2152
14584,14268
7828,741
3312,12
16526,179
12911,2396
1442,2222
39257,95
13120,179
3678,95
17767,179
15879,179
6248,1790
56320,2620
44712,8830
56384,342
1258,179
12215,791
4070,179
11732,179
21233,1782
32076,614
50181,44941
2648,179
1858,2222
10352,2222
20538,5263
681,5588
57819,257
51562,3005
20443,10502
3539,1001
20538,14184
8854,179
226,179
58375,604
8824,604
1921,2396
34314,5172
7218,257
6009,179
8459,1782
28005,342
4988,8511
25943,5588
10348,179
47749,179
2671,179
26600,3034
37950,95
59549,1001
43641,179
4394,10249
205,47656
59919,604
38264,2222
2205,1790
53464,5588
34748,2772
54768,179
26617,179
60714,2620
5733,2222
60830,5172
61193,1782
7737,257
205,2861
13580,791
3136,342
61415,61416
14919,179
2113,1782
8165,12
4879,2222
18353,2620
17700,179
5388,3051
1901,1782
22513,41501
1183,791
16272,257
62639,1001
11477,30
17026,179
62838,12
30239,5172
8438,791
10278,257
8915,179
6848,1369
13160,14187
48840,1001
37455,179
31354,179
36987,179
63548,604
35159,179
778,2396
26997,791
28421,633
63781,342
7264,293
20957,20537
12207,2222
1470,791
18133,791
29851,179
9708,179
31551,1001
64294,786
12624,791
11795,2396
40041,179
18784,7730
47511,2692
38978,1136
205,11477
14017,179
13308,9045
11656,179
64779,342
18768,1016
40014,95
5119,741
16119,179
17675,30
319,1782
3666,179
16048,257
38563,179
46215,26254
36208,95
65454,257
65467,2692
54052,1782
9391,3235
23668,179
10294,2396
14789,179
9649,179
42969,42968
205,30
10111,95
25883,2760
2026,179
29303,10674
27720,1782
44458,2620
63555,10474
3162,10249
3504,2222
66741,604
25540,614
4263,179
2893,2396
19325,257
45846,179
31908,791
32058,604
13160,7349
25217,10474
2636,2396
67465,604
22242,791
5119,12
67819,342
4182,179
51019,1873
67964,1782
144,143
27363,2222
46787,179
37886,179
40445,40444
15709,179
11615,257
42125,179
51867,604
15473,95
51211,4
1093,179
33014,257
13160,10777
62850,2396
5409,179
22099,17266
245,1782
37761,257
42878,12
42913,179
64317,257
16204,342
3550,27740
23464,257
2201,2202
9260,791
57984,1873
703,1782
1149,9045
10233,10234
9072,179
23312,179
12446,2396
45747,179
20443,12
35603,7248
6430,12
16160,179
3787,9045
10379,179
17492,179
65000,604
69822,2222
53258,8736
27172,179
60960,95
23305,179
16154,257
7952,179
70722,2620
22367,179
38366,179
48780,1001
23666,179
39240,342
36023,179
19080,17481
43921,9045
1441,57
13160,5651
28564,342
6359,5172
4582,179
5980,179
56486,10474
67725,342
12551,179
4619,179
1149,2222
17824,5588
3121,11430
61974,456
23894,342
51337,1873
778,2222
32708,257
26397,179
35602,179
32147,179
13160,1323
18874,2396
21713,95
16404,179
6358,2222
31232,179
24092,1782
56226,791
69006,257
13037,1782
19866,604
18102,179
3660,1782
59513,12
31778,9045
11360,9045
9824,179
5589,9245
33393,2222
35249,179
46052,604
21367,27640
7438,179
3776,3775
9167,179
38144,179
7955,179
2201,9539
72547,2692
20087,9045
14275,791
27800,1038
8179,791
24414,179
9391,4394
24422,179
65341,604
4011,2396
21235,2396
29510,1136
31335,2396
13830,2222
50385,2396
12351,179
13160,741
9935,179
10206,179
60191,61416
5508,179
8613,179
33648,257
3550,5754
13182,342
12892,179
20538,8748
14391,257
56437,95
72300,2694
629,179
3005,791
477,2396
15214,2396
2397,2396
18032,179
18378,9045
60376,95
13272,7057
36063,791
12335,179
51096,9045
19245,179
11219,53230
44116,179
73397,342
17824,9245
5008,1782
31923,257
27391,179
10866,791
187,2222
14904,179
13160,12
45570,179
1789,456
437,2396
5671,179
1931,677
33873,179
23355,179
5674,4
38413,342
25552,179
53918,12
3717,179
58864,257
13160,627
10832,8748
3550,26007
205,3589
4558,179
19508,15179
11212,179
2105,791
57808,30
18543,179
27494,179
28662,179
35272,179
205,5356
20524,179
2517,1873
69460,342
14309,179
1211,2396
8549,1860
8415,342
60805,95
74472,1038
6662,179
36623,179
6294,30
9575,74597
69466,5172
2505,257
17359,95
33266,2396
3775,2396
69307,257
28827,604
11718,5588
45196,257
11953,41501
14384,179
