hasofficeincountry_inv_1,hasofficeincountry_inv_2
494,584
901,902
1885,1910
494,3052
3273,1
700,4931
614,5370
614,5506
2626,5585
614,5739
614,6762
7660,1
1885,7991
245,8044
9393,1
700,9749
614,10064
1811,10297
494,138
3124,13121
116,10297
14069,14070
13980,15079
1885,15994
494,16071
787,1
8473,16592
2626,1768
1824,1
1320,1
972,1
8459,2627
13230,11267
127,1
2626,9148
116,24263
116,24561
614,10417
3124,2224
5593,1
494,21453
245,1
1885,24348
128,1
11103,3607
20515,21368
614,21883
3124,11118
20515,26903
1885,6261
12277,1
843,11267
23402,1
6431,1768
614,32452
5505,1
20515,16377
10296,1
494,2627
700,6789
614,33560
3078,20661
700,34377
1885,32143
700,2960
1885,2
3124,2627
700,33494
1885,36185
13037,1
843,842
295,10297
2129,1
891,1
6071,1
700,36699
614,4642
13305,2083
12194,1
977,14205
1885,15810
1885,39480
4884,17688
8459,13231
1884,1768
116,1
116,11267
8749,1
614,6374
5593,14183
2342,1
13099,1
1059,1
614,19134
614,4380
116,7530
6097,11267
22782,1
1062,1
1885,26127
1885,5113
614,6690
11665,1
6069,1
10940,1
1098,48852
13099,13231
8459,49167
20515,21040
3124,27919
614,13231
7836,1
19991,1
977,11267
1188,1
614,15577
636,1
1885,27910
6097,1
5108,11267
614,11118
1885,52624
614,8354
1885,20892
1885,53055
1885,42688
1901,7377
843,44173
642,1
614,54238
977,910
1885,4024
12369,1
14069,1
16675,1
1817,1
4915,1
20515,3052
4556,1
1885,55993
116,13231
614,1768
614,27070
2401,1
127,11267
17758,1
90,48852
22385,1
4884,9501
14350,1
3124,1835
843,13231
20515,21453
2626,44465
1885,15500
23402,7883
614,2627
349,50411
20204,1
23990,1
20515,16071
614,15083
15355,1
3040,1
1885,138
17625,1
1885,21285
21925,1
1885,46245
90,11267
2701,14930
349,34390
614,10297
614,13597
1098,5585
28474,10297
614,354
12015,1768
3348,1
1885,5774
17850,1
700,32805
901,20729
494,26903
4556,11267
309,1
2626,1
614,1835
19665,1
20515,698
614,11125
33013,1
103,26269
989,1
1885,15561
1885,6794
2723,1
20746,10297
3832,1
3124,17688
1885,16
3062,1
700,8304
349,24561
614,8920
1885,16071
9274,1
700,4429
494,21368
700,23039
3124,24244
494,493
1157,1
614,48737
1256,65705
20515,584
27083,1
614,6215
700,1
494,5585
614,61059
1098,11267
494,19160
11628,1
614,26713
1885,21368
1885,1883
614,68826
5043,1
1098,19451
614,48314
13305,1
1885,36831
15152,1
614,69463
6614,1
6437,1
614,842
901,2659
1884,1
465,1
53547,1
1885,911
843,14930
494,19321
10172,1
987,1
1885,7756
3982,1
1885,910
614,8928
245,498
44026,1
4736,1
3124,1768
494,1840
901,16787
700,44073
614,981
1885,12547
843,1
614,1
678,1
614,64431
27083,1768
25107,1
700,3051
614,8077
137,1
13099,10297
614,71991
8459,138
614,13121
614,59907
614,11143
1885,53849
4884,44914
116,14930
4556,7756
494,11276
614,72374
2216,1
494,11267
6044,1768
295,1
8027,1
5010,6023
2701,17108
5108,5109
8459,16592
494,1657
5863,11267
1885,58701
901,2627
614,35573
10523,1
614,17656
494,21040
33742,1
1885,62823
8036,1
614,10008
700,10297
614,10578
15627,1
14018,493
5995,1
1885,6215
35911,1
20515,1
3124,43025
901,10297
90,14200
3124,11143
1885,57962
614,1781
3124,19787
1885,6931
5646,1
4884,1
1885,17073
9080,1
642,8436
13980,10297
3124,19134
494,5113
4597,1
9390,10297
843,19962
614,5952
494,698
9767,1
3501,1
13980,1
1885,27919
19288,1
1885,52998
17461,1
15880,1
1158,1
901,1216
7679,10297
3124,8195
90,19451
319,29561
700,7974
3124,71991
1885,27897
494,13231
20515,5113
20515,19160
724,1
40342,1
43467,1
3124,1
3040,36254
13865,1
21197,1
7473,10297
9393,11267
614,74602
494,63448
614,52875
20515,19321
1885,3607
3124,44914
494,16377
614,2176
10895,1
1188,14070
13230,13231
1885,21143
1885,45073
703,1
908,1
1321,1
3797,1
901,1
