worksfor_1,worksfor_2
196,197
209,210
473,474
482,476
940,941
1484,250
1582,1583
2363,2364
2367,2368
2497,2498
2841,2842
3038,3039
3064,3065
3074,1424
3088,3089
3203,1248
3905,2543
4065,427
4152,1284
4217,4218
4231,4232
4467,4468
4791,4792
4812,4813
835,4911
3995,5029
5504,5505
5713,5714
5762,5763
2641,3228
4115,4114
6025,4105
6271,6272
6414,4468
835,803
6800,2772
3630,7111
7247,7248
7269,7270
7460,7461
7505,7506
7560,95
7719,7720
7729,7730
7777,7778
8267,4577
2406,2772
8782,3228
9035,1860
9222,3017
835,2224
9788,9789
9807,633
10337,5475
10570,10571
10880,10881
6132,238
11546,3558
5601,5602
11688,11689
835,11778
12184,12185
12316,7730
5766,5765
814,813
12596,7730
12764,7730
12772,633
12859,12860
12908,12909
12942,557
13023,179
2477,2476
2151,2152
290,13457
6716,5560
6817,1681
13936,13937
835,13968
14012,633
14024,14025
14186,7730
14269,14270
14274,1543
7340,844
14422,14423
14435,14436
6959,14998
15044,15045
2180,2179
15278,354
15429,3006
15499,15500
7663,3837
15828,15829
15836,850
15968,1274
15999,572
16173,2772
303,302
3633,4114
16786,16787
16800,2004
16906,1844
2927,9756
17163,17164
835,16108
3995,17385
17628,9245
13694,5505
2552,1424
18236,18237
2804,18342
18359,882
2883,8830
18492,2304
18566,1424
18860,18861
18628,633
19259,4445
19407,19408
19635,2772
1018,1017
835,5597
19934,2772
19941,19942
20111,20112
15301,350
17032,17031
2230,1427
20471,19812
2804,20670
20725,19155
20738,1424
20833,1424
19189,1424
20965,4712
1858,8748
12926,4809
15390,1445
21503,21504
21626,11078
21636,633
21751,21752
21764,3089
22091,22092
22418,914
22433,22434
4309,11231
22461,1424
22635,13135
22865,7730
5847,22908
23233,23234
23356,8736
23408,11627
20833,17481
23770,1427
4810,4809
13544,23216
1590,1591
24203,9501
19508,24586
20392,24653
24687,13268
12888,12889
835,24349
24974,11430
25104,2063
25215,25216
25235,25236
18826,848
8326,371
14185,17481
10337,842
14569,14570
18628,5263
15716,26089
19176,633
11548,26655
26730,26731
26739,6342
4057,26807
17059,3228
1425,633
7061,7060
27109,2152
27227,2917
27333,14423
15811,5242
7016,3623
835,7251
7437,12028
16187,633
835,28192
28314,633
28465,6612
835,18863
8493,8494
2897,2896
28947,572
28950,95
7729,4105
29147,3558
835,29182
835,5309
10028,3930
29292,476
29333,230
12675,3602
29897,1860
29902,544
13081,1424
1327,13597
20280,2176
30170,1424
30201,1860
1327,30222
30289,427
30449,18283
9230,3006
30579,633
20150,19192
29425,29426
30738,11627
7336,3293
30201,27235
30824,633
30892,20961
18865,1424
30974,9116
31030,31031
2477,4774
