acquired_inv_1,acquired_inv_2
292,293
1846,1847
2279,2659
2669,3572
4246,1424
4595,4596
5252,5253
5706,5707
5861,4168
7176,7177
9459,6789
9538,9539
10934,10935
11429,11430
11879,1978
13040,756
13052,6888
13505,13506
14911,14912
15082,15083
15385,15386
11757,1424
15721,5253
12547,1883
16230,13506
16911,16912
17507,4838
17826,11469
13162,7177
18361,8392
19219,11430
22006,12383
14457,14456
23215,23216
21100,3471
2772,18238
1803,698
25302,21033
25630,25631
27557,1883
27910,1657
1741,1740
19301,24258
28963,18238
29095,10203
29478,29479
9913,4498
31332,7567
31583,2231
32151,5952
32204,11284
6894,6893
32053,25141
3341,20870
35514,16911
35600,2659
35609,5693
2,293
6598,2659
37475,8417
38039,5253
38206,10578
38492,30174
29880,10106
38679,27336
14159,5253
39538,5253
40157,179
40408,18218
40913,6263
41007,41008
7060,698
41578,11430
1847,16308
41796,2659
9300,39133
42161,1
5023,756
43833,2659
43918,2859
813,44144
44455,5952
44911,14205
2402,45317
45513,2772
248,249
45633,424
46072,17116
46079,1847
21187,8167
22515,498
9712,1583
13740,2659
47334,47335
39464,32674
25367,33801
47636,18218
23192,6402
15953,179
43122,11469
48943,10225
593,11430
49894,11284
49954,5693
50007,46224
1729,50313
50459,2659
50468,50469
24419,14205
52526,756
22122,22121
53122,1583
53716,53717
48736,8295
54228,6402
54579,7177
33343,50468
54858,29739
54860,54861
55122,16097
55593,48382
38672,498
25064,6231
55986,28203
29899,8417
13683,15447
56904,56905
13245,5952
56990,4135
4135,57043
19702,5253
57331,5253
1523,8179
4603,756
44379,179
57956,53717
45681,13506
44053,44052
58382,58383
4,756
10224,10225
57815,1978
59099,20870
59139,179
39584,13506
44822,179
59359,7177
36974,544
48705,11430
59621,7177
29279,29278
36313,3551
30841,30840
49380,1071
5774,57803
15561,21453
16308,8417
60696,13691
32768,32769
11315,60820
60878,60879
60928,17426
61107,32338
59693,16911
21772,37002
12383,36699
62607,1856
7133,2659
42790,23192
63235,63236
8928,33890
42205,5047
45095,498
63745,24263
63825,9266
58849,12925
25403,5460
64449,18845
59026,59025
40056,40055
26942,64816
64902,698
64961,16524
52430,4654
64624,64623
24210,8295
54527,32338
65276,1978
11926,2231
55572,55571
11045,65898
50156,50157
62887,20884
15809,21285
12909,20885
34660,19815
66746,10578
24052,24051
66905,66906
48467,62082
40538,14244
65172,11469
60811,3551
47775,6263
22544,3471
62774,5253
62759,18238
30482,10798
51861,2659
15050,68193
59194,18218
68337,19794
6988,8417
95,19530
16139,18238
64584,2772
53849,1883
68584,26715
58982,1978
68750,33848
17261,10733
31800,2659
9002,9001
49089,2231
37649,37648
46224,46223
15539,11469
13442,5186
69740,69741
40000,4838
45932,10203
625,626
17199,23719
27919,293
1910,698
18861,813
38640,498
66029,23041
26123,11469
15552,1847
911,910
63669,18759
19156,19155
23478,18218
28158,13410
15206,7177
6263,68829
58517,9090
3344,1856
44635,8417
42907,29225
64966,64965
18386,554
58554,19794
6367,4119
60592,4193
39046,39045
72548,9175
72557,756
56305,8295
59376,46897
14716,842
46237,12925
71309,45317
60157,32674
73200,1369
14222,13021
15331,2859
6261,554
73383,13545
47176,5253
68695,68694
73002,2659
34600,6402
60537,1978
14212,18218
73549,46223
13072,1978
73687,2659
61973,2669
45052,6143
52701,37788
34599,34600
3471,15887
41477,698
4472,8226
73387,41068
3089,13597
13472,16911
69973,2659
74353,32371
2075,3310
68055,64816
12929,8392
3465,3464
45743,4114
37964,698
52589,5693
18715,1391
74632,51202
20026,56905
74661,33890
62823,21285
6143,18238
72822,10225
5596,698
10303,10302
41464,41463
7566,9717
61391,5530
19413,17269
16,698
30001,2859
44544,293
65319,11469
50416,8795
4942,14222
28551,68665
66752,46223
72934,24653
6931,698
74565,11284
57015,26266
69282,69281
75241,24263
59511,14205
17182,2669
73281,4838
66230,2521
52224,32674
55616,11284
37477,32674
70403,498
67953,8575
44484,39133
22034,68183
35240,1978
44172,20194
75072,32674
15299,40314
46215,26254
14966,179
19340,56975
21368,57803
7567,18861
13021,14222
67631,1657
65692,7177
