acquired_1,acquired_2
910,911
1740,1741
3464,3465
756,5023
698,5596
2659,6598
6893,6894
8392,12929
5952,13245
2659,13740
14456,14457
179,14966
7177,15206
179,15953
8417,16308
10935,10934
10733,17261
554,18386
19155,19156
17269,19413
5253,19702
3471,21100
22121,22122
18218,23478
11469,15539
24051,24052
11430,593
5253,5252
24258,19301
14205,24419
6231,25064
13597,3089
11430,11429
13410,28158
18238,2772
29278,29279
293,292
19530,95
9539,9538
6789,9459
30840,30841
2659,31800
25141,32053
756,13040
33801,25367
19815,34660
10225,10224
3551,36313
32674,37477
37648,37649
1391,18715
16911,35514
2659,35600
29479,29478
498,38640
498,38672
14222,13021
1978,35240
39045,39046
13506,39584
4838,40000
40055,40056
698,16
40314,15299
1847,1846
5186,13442
18218,40408
8179,1523
41463,41464
5047,42205
6888,13052
11469,26123
44052,44053
1856,3344
179,40157
293,44544
6143,45052
498,45095
10302,10303
756,4603
10203,45932
46223,46224
12925,46237
2659,2279
2659,43833
5253,47176
11430,48705
8295,48736
39133,9300
2231,49089
179,44822
813,18861
4168,5861
11430,41578
3572,2669
11469,43122
45317,2402
2659,51861
32674,52224
4654,52430
5693,52589
698,41477
698,6931
50313,1729
1883,53849
7567,31332
47335,47334
46224,50007
16911,13472
5707,5706
11284,49894
1978,13072
55571,55572
11284,55616
2231,31583
5952,32151
293,27919
756,4
4596,4595
1,42161
13506,45681
26266,57015
1847,15552
698,1910
57803,5774
1978,57815
7177,13162
1657,27910
8795,50416
9090,58517
2772,45513
19794,58554
698,37964
8295,24210
12925,58849
4119,6367
59025,59026
18218,59194
1883,12547
21285,15809
46897,59376
14205,59511
16911,59693
18861,7567
39133,44484
32674,60157
1978,60537
4193,60592
5253,15721
179,44379
698,7060
5530,61391
33890,8928
2669,61973
34600,34599
14912,14911
6263,47775
60820,11315
13506,13505
18238,62759
5253,62774
21285,62823
20884,62887
2859,30001
7177,54579
3310,2075
15386,15385
1583,53122
29739,54858
23216,23215
50157,50156
12383,22006
18218,47636
2772,64584
13691,60696
64623,64624
44144,813
14222,4942
20885,12909
64965,64966
10225,48943
11469,65319
5693,49954
1424,11757
7177,65692
2521,66230
15083,15082
5693,35609
2659,7133
50469,50468
23041,66029
16308,1847
1978,58982
6263,40913
56975,19340
46223,66752
1847,46079
17116,46072
7177,59359
29225,42907
18218,14212
4838,17507
1657,67631
2859,15331
6402,23192
5253,39538
8575,67953
10578,66746
9266,63825
68183,22034
11469,17826
68665,28551
68694,68695
5952,44455
68829,6263
8295,56305
1978,11879
7177,7176
13506,16230
8417,29899
69281,69282
24263,63745
30174,38492
10203,29095
10578,38206
9717,7566
26715,68584
48382,55593
1883,27557
293,2
2659,69973
66906,66905
2669,17182
1071,49380
498,70403
424,45633
11430,19219
16912,16911
37788,52701
1856,62607
57043,4135
8417,6988
45317,71309
8226,4472
20870,3341
2659,50459
15887,3471
62082,48467
65898,11045
498,22515
32674,39464
64816,26942
3551,60811
20194,44172
14244,40538
68193,15050
63236,63235
1583,9712
179,59139
26254,46215
10225,72822
16524,64961
1978,65276
36699,12383
18238,28963
24653,72934
13021,14222
2659,73002
2231,11926
1424,4246
7177,59621
19794,68337
21453,15561
8417,44635
4838,73281
54861,54860
10798,30482
41068,73387
64816,68055
249,248
6402,54228
13545,73383
5253,38039
60879,60878
2859,43918
9001,9002
17426,60928
11284,32204
50468,33343
32769,32768
37002,21772
14205,44911
18238,6143
5253,14159
5253,57331
32338,54527
27336,38679
756,72557
698,64902
756,52526
11284,74565
20870,59099
18759,63669
51202,74632
23192,42790
15447,13683
18238,16139
2659,73687
23719,17199
53717,57956
554,6261
2659,41796
21033,25302
626,625
32674,75072
32338,61107
58383,58382
56905,20026
33848,68750
8167,21187
8417,37475
4498,9913
544,36974
32371,74353
24263,75241
57803,21368
46223,73549
69741,69740
28203,55986
33890,74661
56905,56904
41008,41007
4114,45743
53717,53716
5460,25403
25631,25630
3471,22544
16097,55122
842,14716
1369,73200
4135,56990
6402,34600
11469,65172
9175,72548
8392,18361
18845,64449
10106,29880
698,1803
