athleteinjuredhisbodypart_1,athleteinjuredhisbodypart_2
159,4179
7075,7076
7127,2506
2869,7464
4567,4179
10573,2506
11035,10462
11902,11903
14540,10545
2135,2506
12157,158
17338,11903
6163,158
7075,18836
14359,7464
7876,158
14359,10545
23263,21428
11436,2506
12940,158
24298,2506
7751,10462
4930,16750
13946,13945
2869,158
15868,4566
4567,27373
8325,7464
14540,2506
4309,4566
32821,10545
2507,7464
7075,33324
4127,2506
14540,4566
7127,4566
14540,158
15971,10462
12157,21428
18615,2506
2967,13945
26053,10462
39782,7464
2590,7464
26053,2506
5347,158
2590,2506
8412,16750
5793,158
2135,13945
9472,13945
2507,4566
4567,10545
6163,4179
2967,10462
39514,2506
48838,158
7751,2506
7075,49121
11288,158
7127,19564
4567,10462
2507,4179
9472,158
11436,7464
28846,16750
9472,10545
2135,10462
18966,7464
54718,21428
2135,7464
14359,10462
5347,7464
12157,10462
24552,21428
15971,4566
15320,7464
14359,2506
6163,18935
11944,10545
28275,10545
2507,158
4567,2506
2507,10545
7127,158
10573,7464
159,18935
10212,2506
18460,2506
18615,7464
41357,2506
10463,7464
9472,7464
57119,10545
7751,158
2967,4566
8292,18935
11944,2506
9472,4179
4127,16750
7751,10545
1554,16750
5793,10545
15662,7464
12157,10545
7075,2506
13946,2506
4309,10462
12940,7464
2967,2506
26196,7464
41357,10462
3667,10545
15971,2506
15662,10462
7876,63733
49000,16750
28889,2506
15971,13945
2869,10462
15320,10462
12521,61481
13946,7464
7075,7145
2507,18836
7075,158
5793,16750
5793,10462
12157,2506
7045,10462
7876,10545
18460,7464
11436,10462
4567,7076
2507,10462
159,158
8325,4566
4309,2506
12940,63733
11902,2506
2507,27373
14540,7464
15971,7464
8325,10462
31419,158
11944,13945
49911,10545
7127,10545
15662,7145
7751,4179
7876,16750
6163,4566
159,10462
2967,7464
33675,16750
49000,2506
12940,10462
18615,10545
15897,16750
159,10545
5793,13945
7876,2506
2507,2506
11902,16750
11035,2506
4567,18836
7045,2506
2967,64336
35883,10545
7075,10545
7075,27373
10463,10462
53707,158
2507,13945
11944,7464
2869,2506
4309,7464
24298,7464
33059,158
11944,16750
6163,10462
13946,158
11944,158
4930,10545
7075,4566
159,2506
31419,7464
18615,7145
40297,10545
15971,158
1820,7464
7075,19564
15320,158
31419,10462
159,4566
26053,7464
39782,2506
45432,11903
7751,7464
4930,158
33284,158
18615,10462
16110,10545
5347,2506
9472,2506
7045,7464
7075,4179
7075,21428
12157,7464
15971,4179
41357,7464
37932,2506
11902,10462
4567,7464
11035,7464
19714,7464
171,23036
14540,10462
4567,61481
8325,2506
6163,2506
4567,158
7751,4566
59110,158
7127,10462
6163,19564
8292,158
5793,7464
7075,18935
7876,7464
7075,10462
159,19564
15662,2506
5793,2506
24468,16750
48065,16750
4567,4566
13946,10462
8292,2506
28440,2506
159,7145
2967,158
