animalistypeofanimal_1,animalistypeofanimal_2
216,217
824,825
871,872
1040,1041
1578,1579
1587,824
1758,1759
2328,872
2511,2512
1066,2677
108,2328
2362,3111
605,284
2511,824
4275,2882
2365,4306
4405,2882
4543,824
5176,1066
5611,2362
5659,824
824,5797
1451,824
5970,982
6184,6185
4694,4306
958,108
5176,6429
6735,3730
7066,784
824,1927
5176,1616
824,7649
7768,2882
6701,2999
8523,1066
8548,2882
8676,1067
1069,8917
9469,9470
2825,9779
10054,10055
1041,10764
10957,784
11062,11063
11194,1066
11332,824
3730,11084
1616,1617
825,824
11456,11457
11612,284
2362,6735
10432,108
11916,2999
12239,824
4694,12257
3730,7988
12295,12296
5176,1111
12271,824
824,1067
6429,824
11612,824
3730,3111
14229,784
11874,824
15165,15166
15236,284
15280,824
15455,10265
15463,824
1066,1612
284,1758
15900,1066
15970,108
1066,108
1069,2882
14227,108
1066,11629
784,8008
5797,1759
16967,16968
17115,8841
824,11543
5611,1759
14227,284
17441,4709
784,27
1578,17584
824,17975
5422,3730
18044,824
789,18045
18091,2882
18403,2825
4865,1759
824,9605
14227,824
13077,386
15761,19385
2531,108
824,20119
20127,3491
2442,6735
768,17584
16105,824
824,7961
2365,217
5176,4405
20472,2399
6785,824
1927,108
107,20796
20950,20951
6080,108
1358,824
1977,1976
21244,17584
2365,21280
16922,108
871,108
605,2882
21736,10560
12181,108
21919,3111
789,16644
7649,1759
8288,784
22376,824
6810,217
108,1358
12441,16258
824,283
5485,824
23043,2882
2900,6810
2400,2399
824,10959
11270,6970
3111,2365
824,4237
24096,824
24125,824
107,4306
7802,108
108,28
386,283
12296,12295
10959,24862
25034,1066
605,10854
1066,2442
2900,1217
7669,1977
12441,16644
25886,2399
16644,2365
8523,3730
1616,1111
1067,8676
4694,284
6746,1066
26744,108
26887,824
2642,16258
15761,9850
17904,1066
27054,108
2478,13382
6810,107
3730,17185
3159,10265
1066,7685
3846,2512
17115,784
1616,5176
3769,2882
5797,824
7988,2365
13314,824
12831,824
5797,3111
108,1067
28970,284
27871,824
11629,24862
19066,1066
5485,16644
4865,824
29637,824
784,4829
933,824
28,3111
1111,1927
958,1066
30276,17584
6810,108
1759,1758
3730,5278
2362,5176
7649,824
3634,1111
6853,1617
1612,2362
30702,4709
18403,1068
605,9478
284,9079
2362,30241
3111,1758
6810,11951
2365,13382
28,23900
1066,2362
1617,2362
824,6746
107,5176
5738,26
107,22359
1911,824
769,768
824,983
26134,284
2442,824
1069,3111
1217,6735
19431,2399
107,10764
33681,3730
4694,1067
29843,824
23571,824
1067,1066
871,16258
7988,1217
17740,8181
12831,16258
4016,2882
4651,824
12188,108
14227,7988
34749,824
1612,1066
17441,34794
284,1111
3730,11951
3769,108
3111,21919
1066,3111
2442,108
2882,8548
14227,3111
3159,2882
606,824
1997,386
35704,4306
3730,1617
36327,982
7961,5278
27509,1066
12263,824
2400,784
3730,1612
36724,2825
605,1759
9922,3111
1066,6080
4405,5176
9887,2882
8676,4405
605,3111
108,5290
217,2365
1066,4866
23572,37441
5797,1641
32057,824
1927,386
824,1358
6387,2362
6387,824
11680,824
284,1067
1069,1068
2415,9850
7795,2882
1758,284
12179,2735
15455,8501
35215,824
2365,5570
1066,3730
9799,824
1111,5738
22871,3730
18188,2825
23572,2442
39618,784
2825,18188
6465,2882
1066,27509
6429,1066
39884,824
1067,5738
2328,108
283,108
30489,824
5176,871
1997,784
17904,824
40717,1066
824,3111
29913,824
9922,5176
23572,7768
1358,16644
38966,1111
824,40957
37312,1111
3159,108
5937,108
12295,9193
217,871
41488,108
6759,386
16644,5485
11543,824
6640,824
784,7077
2361,1642
6216,5738
824,6810
824,12271
107,42267
1451,1066
35704,108
7988,6810
789,284
39007,10560
10959,5176
37057,108
15236,2882
824,15900
42858,42859
1401,16921
2362,1911
1217,824
1217,217
4275,2512
42996,2362
29701,10991
1111,38966
824,8408
43251,29201
1927,824
1111,2882
3730,36355
42283,11377
43670,784
824,15353
39547,10991
3710,824
35771,108
9478,4694
1758,824
605,108
11629,2882
2900,824
44059,108
44160,824
11377,108
1587,4709
15280,6810
9079,824
6785,2882
4865,3111
14355,8181
23572,4237
12391,108
9278,9277
27579,824
5147,824
108,6853
9079,2882
3730,7961
14943,824
1641,1642
45304,4709
9041,7923
284,2882
3165,2882
5485,2900
15118,2825
45955,784
3159,8501
10013,784
19066,11951
30276,1579
12391,824
15455,108
4237,10764
1616,824
6216,2882
1111,2328
4865,4866
3730,5422
10959,1066
11951,1217
2882,1067
1358,2900
5561,824
872,789
1066,2361
2328,1066
2478,217
18205,12295
1579,768
2399,386
4275,108
47667,25979
1066,6735
35680,824
19085,108
1069,9478
48048,824
19195,11669
17441,824
36652,42859
7961,3730
6486,34794
16644,789
4275,284
606,2512
11842,982
3730,6735
5291,108
1642,2362
28571,824
4694,4405
9922,108
21229,824
47452,824
49196,17584
6735,1217
4405,1111
9977,108
8181,11815
24180,1579
6465,3111
1066,7962
107,108
5176,6853
3730,22871
11680,36582
15529,2825
37191,10560
6080,1066
1758,108
3159,3158
11951,871
48860,50702
784,11842
49511,108
11951,2442
871,284
4405,5738
824,1758
46372,44059
11680,2882
824,6387
7768,108
3157,1067
1111,386
30702,7962
44660,824
