persondiedincountry_inv_1,persondiedincountry_inv_2
116,252
116,444
116,1019
116,1822
116,1961
116,2398
116,2413
116,2789
116,3155
116,3345
116,3781
116,4320
116,4392
116,4492
116,5751
116,5845
116,6737
116,6815
116,6905
116,7110
116,7281
116,7433
116,7629
116,7681
116,7840
116,8424
116,8674
116,8677
116,8968
116,9748
116,475
116,11248
116,11852
116,12267
116,12312
116,12394
116,13345
116,13366
116,13584
116,7964
116,13846
116,13864
116,14547
116,14594
116,14734
116,15816
116,16207
116,16240
116,16455
116,16761
116,16974
116,17294
116,18226
116,18433
116,18751
116,18779
116,19503
116,19524
116,19589
116,115
116,19657
116,19810
116,19818
116,19931
116,20078
116,20086
116,20343
116,20665
116,21121
116,21153
116,21258
116,9192
116,21999
116,22027
116,22142
116,22244
116,22307
116,22417
116,22450
116,22545
116,22788
116,22820
116,23091
116,23383
116,23470
116,23682
116,23718
116,23734
116,23817
116,23935
116,24112
116,24157
116,24413
116,24580
116,24583
116,24876
116,25158
116,25210
116,25566
116,1707
116,25658
116,25907
116,26595
116,26835
116,26886
116,27043
116,26173
116,27802
116,20919
116,28315
116,28498
116,28901
116,29003
116,24776
116,29659
116,30057
116,30467
116,18156
116,31025
116,31050
116,31087
116,31712
116,31790
116,31838
116,32128
116,12025
116,32715
116,32822
116,32850
116,33364
116,32731
116,31464
116,33891
116,34336
116,34536
116,8991
116,18547
116,34834
116,35032
116,35190
116,9320
116,35468
116,35653
116,18293
116,35825
116,2874
116,36140
116,36176
116,36312
116,36336
116,36473
116,22543
116,7592
116,36691
116,36867
116,36889
116,37010
116,37215
116,37243
116,28040
116,37547
116,37575
116,37666
116,38169
116,38453
116,36363
116,38678
116,2712
116,38877
116,38964
116,1319
116,10620
116,39554
116,39915
116,39999
116,40060
116,9016
116,40228
116,40451
116,40594
116,40617
116,40897
116,41185
116,41247
116,41312
116,41315
116,41376
116,41492
116,41799
116,41923
116,41959
116,42108
116,42131
116,42172
116,42243
116,27968
116,42588
116,42662
116,42675
116,42717
116,42889
116,42951
116,43006
116,19072
116,29159
116,43495
116,43512
116,43696
116,43714
116,33031
116,43866
116,27879
116,43894
116,43974
116,44399
116,21677
116,18384
116,44797
116,45201
116,45576
116,45726
116,45746
116,45779
116,46021
116,46061
116,35191
116,8423
116,46458
116,46582
116,46640
116,46761
116,46870
116,46921
116,16282
116,46970
116,47056
116,21664
116,30750
116,47251
116,47298
116,19926
116,47664
116,47674
