politicianholdsoffice_inv_1,politicianholdsoffice_inv_2
357,358
357,2465
357,3295
4384,1671
357,4460
360,5314
3701,7383
357,7489
360,1671
357,5783
357,5430
357,10896
3701,11313
11686,11687
5587,12137
360,12453
12589,12446
3736,7383
14157,437
360,14555
357,1986
357,3686
14795,14796
3736,14968
12589,1671
360,17217
357,17578
360,18025
357,19466
360,19475
360,19583
360,1798
14611,12137
6339,21132
357,21332
357,21710
3701,10097
357,22516
360,455
357,7565
3701,1921
3701,18757
14157,542
360,25513
357,25882
360,26225
357,26276
360,8850
3701,21235
357,17416
360,27375
357,27508
3701,27876
360,28022
357,28706
15425,301
11686,14968
360,28463
360,28964
5587,29098
360,7383
360,28784
15425,32
360,31077
357,31452
360,1789
360,13785
6339,31651
5587,32071
360,24937
357,7882
357,4248
32957,32958
357,33069
33112,6224
357,5988
597,4410
3701,4410
14157,11673
360,35223
357,8433
357,26642
360,35542
357,35715
6339,35861
360,30476
5587,36014
3701,35542
357,36808
3701,10336
37251,37252
28375,1671
360,10029
32957,33322
360,37942
357,38205
360,30472
3701,11795
3701,5988
357,16052
357,38658
14795,7665
6223,32
357,33322
357,39354
3701,39500
357,40134
40142,40143
34154,1671
3701,40606
357,38704
40936,1671
3701,31086
14611,41225
360,4579
3701,1469
5587,41715
13064,12137
360,32008
5587,43170
33112,2893
6339,44326
21190,796
360,14085
357,44493
360,44534
17479,32
360,29098
360,19349
360,28979
360,5586
14611,19256
360,41337
357,25920
357,46044
357,46051
5587,20219
360,3919
6339,46645
360,17019
3701,3656
357,47810
360,23272
360,48140
360,3257
360,48650
3701,8850
3701,7250
360,49426
360,30554
360,49886
357,29893
357,3673
360,25259
3701,2794
360,15558
360,18553
357,20129
6339,50898
357,17400
357,91
32957,2418
3701,1671
360,28833
360,52672
357,44703
360,47665
11686,32
3701,19558
3701,437
360,53466
360,53664
360,9588
360,36090
360,563
360,17241
360,3146
357,54244
357,437
360,45706
3701,54964
360,48653
5587,7383
17567,9584
3701,29329
3701,5625
3701,55378
490,8850
55960,1671
360,8330
3701,2893
357,1211
3701,30592
360,56785
360,32953
360,43170
6339,12999
357,57032
360,39328
360,34515
357,28964
357,57469
6339,57538
360,43366
360,28563
6339,6338
3736,32
3701,57918
357,10336
3701,31335
360,34328
3701,12453
360,47760
5587,5586
357,45325
360,14968
357,58803
12329,1671
360,38031
360,6358
6339,25513
13064,6224
360,31651
21190,2397
357,5625
14611,1920
357,16693
360,23751
38380,9584
360,11600
5587,3008
357,6355
357,29987
21190,1985
357,38003
357,10273
360,4831
357,34503
360,24205
360,24173
360,39409
3701,7665
12589,1921
357,50059
357,17960
3701,14676
3701,53641
357,62263
357,1921
357,13103
62865,16859
3701,91
3701,34096
41074,1671
6339,61867
3701,1123
5587,11434
14157,6355
360,1476
23329,1671
360,63441
357,16855
3701,438
360,36163
5587,8850
357,47031
360,7565
33,33175
360,64161
3701,14958
360,28433
5587,32008
357,60101
360,64428
5587,28979
44359,2893
14795,1469
357,50964
357,58374
3701,1986
360,1123
357,65162
3701,6003
357,65333
357,33175
357,12848
360,35531
357,2893
357,65794
3701,28997
357,65004
360,49140
3701,12446
360,66240
3701,54932
357,35682
33,1671
3701,66462
357,7665
357,66597
357,2418
357,1985
357,11193
5587,66928
3701,5969
34152,1671
360,30858
17567,1671
357,1469
360,66049
360,45901
357,67737
1460,8850
63866,32
14157,21235
5587,24663
357,8506
360,16693
3701,43170
3701,6225
68322,1211
6339,47812
360,44321
