personbornincity_inv_1,personbornincity_inv_2
74,253
74,1625
74,2039
2662,2663
74,3674
74,3229
74,4243
4310,4311
4575,2730
74,4965
74,5798
74,7274
74,6268
74,7193
74,8466
74,9112
74,9296
74,5630
3782,9747
74,9921
74,9926
74,10236
74,10508
74,10260
74,11731
74,12083
74,12560
74,12865
74,12880
74,7437
74,1565
74,13852
133,13930
74,15133
74,5660
4310,16042
74,3628
74,6224
74,32
74,16647
74,16908
74,17883
74,18873
74,6607
74,19535
133,20303
74,20635
21934,13811
74,9934
74,21984
74,11436
74,15472
74,23118
4310,23433
74,23700
74,23869
4310,19670
4310,24187
74,20478
74,24482
74,24622
74,4928
1134,4902
74,13830
74,25699
74,26262
74,26418
4310,26670
74,19692
74,16863
74,26954
74,13792
74,241
74,17547
74,27247
74,19632
1134,1133
74,29591
74,30960
74,2875
74,31321
74,31367
74,31370
74,455
74,32677
4310,6485
74,5216
74,33397
74,33538
74,33775
74,32717
4310,12056
74,1659
4310,19409
74,14146
74,12345
31615,6863
74,11093
74,25504
4310,21823
74,27363
74,6566
74,9120
4310,796
7220,36721
74,14741
74,8704
74,37074
74,8359
74,38080
74,8236
74,3359
74,30159
74,38802
74,9927
751,23463
14704,39005
74,39365
74,5682
74,9771
74,36098
74,6608
74,31536
74,25779
74,42167
74,42195
74,1442
74,42232
74,43573
74,26329
74,21135
74,11634
74,18979
74,7875
133,44360
74,23525
4310,5325
4310,45136
74,18367
74,5534
4310,1921
74,45519
74,45536
74,6228
74,19367
74,34081
74,46004
74,1234
74,7456
74,25442
74,5871
74,46666
74,46667
74,46955
74,3191
3534,6158
74,29980
74,47330
74,43472
74,47967
74,567
74,3707
74,36540
74,11387
74,49005
4575,4011
74,49371
74,49445
74,35867
74,12216
16169,16168
74,50064
74,50122
74,26901
74,33266
565,40393
74,43347
74,51436
74,2345
74,11471
74,25895
74,34103
74,18825
74,51774
74,17287
74,17573
74,17555
133,15065
74,52347
74,14087
74,38003
74,14359
74,53763
4310,53934
74,16717
74,1784
74,21377
74,4044
74,44924
