sportsgamewinner_1,sportsgamewinner_2
805,806
3353,2694
4379,3188
7122,6816
7318,7319
7457,500
1908,500
1692,2694
9597,9598
11850,3746
12109,500
13548,4513
7010,1355
8840,11729
17278,500
19369,2694
19651,12115
19741,500
17981,3746
20307,7403
13625,500
6395,3188
25354,1248
26183,500
3305,806
11991,500
1356,1355
9030,11729
29060,500
29363,7403
26550,4854
13030,11729
29879,3746
3227,551
30885,500
21920,1248
31377,500
31526,446
31529,3393
31824,486
4611,1011
23736,1248
19671,1248
9093,1004
21011,1248
376,5002
36545,5002
33892,486
25562,16250
7980,1248
38004,500
34157,4147
38815,500
39058,1248
40036,3293
15203,486
16637,4854
42329,11729
28310,1248
44033,1248
44042,3567
44157,1004
44201,500
19388,1248
45391,486
45656,500
18242,500
20291,9769
47129,3188
47768,500
48125,9598
48452,10864
48667,1248
48766,11729
22773,9598
48846,1265
35556,500
22064,500
49284,500
49587,12115
1852,500
14866,1248
50667,1355
51536,486
49793,500
26296,500
51911,87
52361,3393
21270,9769
53136,113
33473,500
53287,500
53365,421
53653,10060
53764,1355
45284,486
55577,5002
56180,16220
56799,3900
56303,806
33144,500
10006,500
34519,500
25740,7403
41938,932
3457,1248
47340,1248
59428,500
59664,56
18989,1265
6194,500
5873,1248
60655,500
41171,500
14345,5002
61257,500
36561,1248
9196,9598
61537,500
53455,7512
30045,3746
6410,1992
62835,5044
20355,11729
36387,7486
63526,500
29552,12839
49538,1988
59781,4854
1191,7403
46608,500
24231,1248
4470,500
14112,2694
62989,4147
65299,500
65423,1192
65654,7486
20356,1248
35461,9598
27836,6816
1266,2593
66591,500
47400,500
1938,882
5431,1248
19843,7958
34488,2004
13179,500
29169,5044
35386,500
31235,3746
68935,6816
59218,7319
69065,6816
63710,1248
55064,500
43628,2593
69887,486
44015,3567
56104,25112
24385,1248
39692,1248
40949,1248
51407,4854
41468,806
45740,500
41989,500
20318,1248
47491,500
37223,1248
47570,3746
73082,446
1249,1248
31917,11729
44770,11729
43063,10060
1228,500
36080,500
11730,11729
15218,3567
36732,1988
32239,3746
43437,500
21889,500
38841,486
37677,500
35485,11729
20041,4147
74035,500
35738,9915
44349,1248
74812,6816
64989,500
19871,3900
41607,3188
69624,12115
4352,500
33499,486
157,56
24579,500
48112,2007
61446,1355
37402,1248
16754,500
56825,500
21138,56
47104,10331
22873,10775
50420,500
1285,2593
23097,10159
71765,4612
