attractionofcity_1,attractionofcity_2
298,299
1534,299
1589,299
2282,299
2466,299
2782,299
3224,299
3308,299
3440,299
3721,299
5378,299
8485,1454
9761,299
10358,10359
7564,299
13065,299
13466,299
14219,299
15699,299
15808,565
16065,889
16155,299
16698,8310
16708,133
17427,889
17809,299
18434,889
19138,299
19691,299
19697,889
19957,133
20512,889
21328,299
21345,299
21541,133
21834,299
14467,889
22692,889
24833,6422
25894,299
8914,299
26960,26961
27089,133
28664,28665
28890,299
7907,299
29057,5228
29527,133
29711,299
29912,889
18769,299
31122,299
31448,299
32094,299
32172,299
32590,299
30588,30587
24500,299
34122,299
24479,299
34360,299
34511,299
35150,565
24825,15002
35823,889
35857,5121
16902,299
36030,6422
10043,299
8825,299
36343,889
36524,299
4360,3
37713,299
33747,299
39289,299
39502,2662
39827,299
39833,6422
27723,299
11659,299
40377,299
40643,299
29205,133
4845,299
41156,299
41663,133
41915,8647
42327,299
42458,299
43059,299
43185,133
43362,299
44117,889
44147,299
41285,299
44921,299
45247,114
45572,299
45784,299
24068,299
24647,299
46815,3563
27788,299
47014,11061
47788,299
33033,3563
32596,299
4627,4074
23427,1131
49735,1936
44747,299
50044,299
50091,225
50662,133
50813,299
45371,299
51120,299
51351,299
50618,299
51650,299
51675,299
30988,26750
52193,10359
52609,299
52782,299
18331,4236
28955,133
53357,299
53424,6422
14618,565
5618,889
54207,299
23361,5896
48484,299
55750,299
56070,889
54313,3
56288,299
52184,299
56615,2631
25726,889
45423,299
57287,299
28885,889
57604,299
57718,299
57723,299
57972,299
58422,299
8720,751
58565,74
58971,889
33764,1916
27585,74
8817,8816
59706,299
59854,299
31533,299
1683,299
60104,299
23400,1020
54394,299
35743,299
31864,299
61165,299
46577,889
61592,299
61842,299
27945,6386
8949,299
62318,299
20726,299
43007,889
6284,299
2569,889
37779,889
47785,299
21882,889
32502,889
50901,7426
20848,889
53492,889
38883,9900
63594,889
63630,299
63824,731
23334,299
59314,299
20606,299
64441,299
64472,299
64608,299
64667,299
51365,39301
56506,38360
60479,250
65060,299
18981,133
52069,12308
62614,6386
65562,5790
57979,889
65638,299
47399,889
50940,74
65885,299
41420,299
34793,889
51648,889
59921,299
56796,299
5820,299
36444,14289
60627,6386
61971,299
37711,299
67246,5790
41857,889
67522,6422
64854,889
5908,299
51647,299
64727,299
61068,889
57864,299
68089,889
67273,299
68212,299
67219,889
36504,1454
68423,299
66396,299
16601,235
50497,299
39490,889
54968,235
45107,889
50666,299
69194,133
69344,299
57075,235
15686,133
69778,299
69783,299
49245,889
50885,133
3936,5896
70092,299
70093,299
35332,889
21366,250
70144,299
70254,235
70269,299
67805,299
28049,299
66390,917
70462,299
52398,299
67862,889
3813,4310
65209,6422
48748,299
69060,74
44017,299
62858,299
64697,299
48693,133
3884,80
13658,299
62183,889
46581,889
34803,15747
47951,299
71796,299
71269,299
52749,299
71947,299
62810,299
72006,6386
72085,1421
72102,889
72139,74
66428,133
33986,8310
52864,299
19455,299
71206,299
9653,50619
31005,133
43108,299
66179,74
72849,299
65825,299
32217,299
46218,299
73037,4393
64313,889
55039,299
69074,6422
50246,6386
50037,889
73268,299
71949,6386
43243,4053
56631,889
50241,565
35344,133
73955,889
72428,235
18078,889
74088,299
12962,889
51575,6386
65575,1454
72088,299
74151,889
74184,2607
51293,38742
74311,299
11806,299
66066,299
73372,565
61900,4764
74665,6422
69824,28592
49507,26750
36124,299
48923,299
60997,555
61672,133
70778,133
74779,1079
19277,889
61790,889
74939,299
6423,6422
38826,299
37310,1454
75039,6422
74159,299
74451,299
54316,299
25219,299
69132,6386
11351,299
10891,10890
15910,8047
20861,6422
75249,299
65504,299
63043,235
53896,17604
71066,299
42424,299
72681,299
75214,299
71146,5896
63784,299
49272,299
12753,10503
58417,299
10067,889
4562,4561
49346,299
74630,299
68260,5896
36354,9422
30670,889
62003,299
40772,299
56118,299
46100,133
74962,299
39893,133
41447,889
12486,479
63546,889
68040,299
11321,889
75449,299
51302,889
42904,889
