teamplaysinleague_inv_1,teamplaysinleague_inv_2
105,106
105,297
105,434
677,829
1001,1011
342,1756
105,1819
105,1912
105,568
342,2139
604,2209
342,2244
105,2483
105,2649
105,2728
604,2733
105,2836
105,3010
105,3276
342,1102
105,3873
257,4165
105,4383
342,4661
105,4679
105,4783
105,4807
105,4870
105,5018
105,5166
5179,5180
105,5242
105,5257
677,5328
677,5465
677,5481
105,5513
2986,5668
677,5819
105,5867
257,4602
105,6201
105,6385
105,6458
105,6913
677,7189
105,7204
677,7235
105,7742
105,7920
342,3945
105,8055
105,8209
105,8214
105,8938
105,9153
105,9373
105,9558
105,9623
105,9725
105,10509
677,10556
105,10596
105,10781
257,100
677,10906
677,11127
105,11132
677,11157
105,11231
105,11304
105,11308
105,11511
105,12031
105,12088
677,12165
257,450
105,7593
105,4422
604,12995
105,13094
105,13163
604,13298
105,13353
105,13423
105,13448
1782,11950
105,13613
677,13840
604,5767
1001,62
677,14735
105,14784
105,14845
105,11123
105,15281
105,15319
1001,126
1001,4853
105,15902
257,16162
105,16276
105,16358
257,7068
677,16565
105,16611
105,13920
677,14296
257,17409
257,446
105,17815
105,17989
105,18255
105,18373
105,18635
105,18754
604,19054
257,3393
105,8635
677,19294
257,3293
677,12270
105,19461
105,19604
20220,1992
677,20259
1001,4123
105,20395
105,20412
677,20763
1782,20791
677,20906
677,21030
1782,6212
677,19411
105,21294
105,21303
105,21435
105,21473
105,14991
105,21689
105,3070
105,21876
677,21877
105,21926
105,22347
105,22488
105,22723
105,23086
105,23450
105,5123
105,24012
1001,8222
105,7361
105,15783
105,14058
105,24562
105,24745
105,24756
105,14180
105,24794
105,24834
105,24993
677,25007
105,25065
105,25151
257,25255
105,2419
105,25484
105,25505
604,662
1001,806
105,25529
105,2440
105,10467
105,26058
105,26164
677,26448
105,26458
1001,10159
105,27297
105,27516
677,27635
105,27672
105,14001
105,27762
105,22166
105,28184
105,28231
105,4064
677,8520
105,9577
105,28380
105,28618
105,28636
105,28637
105,25521
105,28673
105,21725
105,28732
105,674
105,9371
105,2964
105,20874
105,10376
105,28992
105,5456
677,29555
105,29675
105,16279
604,21762
105,29940
105,12672
105,30033
105,30113
677,30169
105,30292
105,30299
105,30560
105,12187
105,31014
677,31190
342,17579
342,4184
677,31523
105,31538
105,31593
677,31774
105,23146
105,32011
105,32035
604,687
105,32084
105,31341
105,32190
604,32224
677,15752
105,16727
105,25086
105,32554
677,25078
1782,22473
105,27064
105,33058
105,33170
105,5636
105,26667
105,33853
105,8464
342,3665
677,5576
105,34088
105,16339
105,34114
1001,14077
257,447
105,1987
105,34485
20220,2640
105,34517
105,22728
105,34902
105,10444
1001,3854
105,35340
105,35510
105,31080
105,21273
20220,35667
677,22970
1001,10775
105,28030
342,5340
105,21746
342,69
105,31216
105,4867
105,36467
105,36515
677,36578
1001,5044
677,21312
105,4899
105,30533
105,36793
257,2004
105,13287
1001,501
677,7881
105,22625
105,6238
105,33981
105,5560
105,38126
105,38161
105,38134
677,38224
105,28822
105,38579
105,38643
604,932
677,27915
677,38893
604,16167
342,552
105,39156
105,35293
1001,6348
105,39295
105,7265
105,39381
105,1669
105,1137
105,39420
105,22720
105,7048
105,37167
677,411
105,40130
677,19194
105,26913
105,33126
105,40846
604,4631
342,11847
342,41044
105,41249
677,41277
105,41296
105,41444
257,562
105,41567
105,41619
105,2045
105,19163
105,41795
677,10065
604,9822
105,3439
42476,392
105,31019
677,24128
677,42755
342,4332
105,3783
105,42941
105,2755
105,25088
1001,383
105,26430
105,43254
105,36033
105,6334
105,32485
342,35
105,22105
604,9262
105,44298
342,1250
105,32989
2620,30123
677,38472
105,44737
105,44742
604,13956
677,45119
105,11210
105,37391
677,45202
677,45394
677,45617
105,1530
105,45763
33815,5182
105,13555
257,256
105,46242
105,34387
105,6139
105,3960
105,46906
105,15490
1001,46995
342,4926
105,34290
105,16450
2986,47272
1001,4662
105,35516
677,9851
105,34925
105,37815
604,1081
105,47753
677,23808
342,29709
105,24397
677,8148
604,22731
105,38326
105,19432
342,379
677,20308
342,13363
105,48441
105,21342
1001,7486
342,690
105,9724
105,8625
342,48839
105,21027
105,44985
105,49100
105,18816
105,49248
105,38930
105,30965
105,29631
105,49510
105,49577
105,49619
257,19696
105,49661
677,49719
677,20581
105,49851
105,17344
257,50026
105,14163
105,22585
105,50187
342,17986
677,20784
257,18882
105,39669
105,38083
105,50281
105,50628
604,2247
105,11985
105,50753
105,13321
105,50865
105,38090
105,50988
105,4097
105,934
105,5219
105,49410
105,51277
105,51352
105,51531
105,1350
677,1047
1001,16250
105,51623
105,51649
105,51682
105,3460
257,8025
105,43640
677,52104
105,52131
105,46023
105,32087
105,43843
105,5805
677,1939
105,52435
105,25687
105,25858
105,48212
677,52486
342,2593
604,10864
105,3558
105,40871
105,52849
105,6011
604,7555
105,1865
105,52976
105,28324
105,28676
105,10797
105,41415
257,53174
257,350
105,10024
105,53766
677,16632
105,53875
105,10958
342,28153
105,54417
105,54454
105,48583
105,40529
18151,9118
677,54617
677,21517
604,5002
105,54673
105,14491
677,54851
677,54962
105,8552
105,49977
604,19410
677,6149
105,12358
105,55335
105,55436
105,55566
105,3103
105,12479
105,55714
105,7944
604,916
105,20983
105,27102
105,55849
105,55852
105,15906
677,55976
342,8814
342,3745
105,56009
20220,18446
677,38340
105,56109
1782,8689
105,21156
105,26904
105,15817
677,9986
342,22573
1001,11729
105,19143
1001,56
342,14983
677,23757
604,4787
105,26906
2620,30122
342,1807
105,40417
105,30844
105,12868
33815,33003
1001,9769
105,13516
105,40644
1001,10978
105,57294
677,22900
105,57332
677,20775
105,5097
604,2286
105,54300
105,23223
105,57748
105,57853
105,20074
257,4048
105,12788
105,22672
105,48465
1001,10434
105,50677
677,58177
257,22411
105,24488
105,34683
105,51702
1782,46376
604,422
105,7289
105,44866
342,10759
105,21881
105,25072
677,3042
105,25247
105,58730
105,58739
677,16798
105,45973
677,26259
342,476
105,26460
677,59006
1001,12248
105,26456
677,44717
105,6793
105,14689
677,25496
105,30644
105,20788
105,42128
1001,1439
105,21281
5179,59526
105,20780
105,24019
105,59669
105,21669
677,59710
105,59726
105,56250
105,28235
105,34479
105,16296
105,59957
105,36933
105,28740
105,38834
105,39071
1001,8366
677,60256
105,4620
105,2680
105,6384
677,11154
105,2116
677,22214
604,16220
105,31059
677,41128
105,27173
105,14248
105,28951
105,54961
257,8532
105,60898
105,3837
604,2338
677,61180
105,61192
677,61210
677,17804
105,44423
677,60596
677,21448
604,6563
105,40560
105,7804
105,41248
5179,60382
105,16111
1782,2556
105,45616
105,12943
105,61581
342,61674
105,41956
105,28031
105,33417
105,61752
105,61755
105,38729
105,34054
52922,37055
604,34665
257,882
105,61908
105,34617
20220,264
105,46938
105,34991
105,11605
105,62213
105,60205
105,12773
2986,11716
105,10621
105,12494
105,45856
257,4291
342,14503
105,24762
105,33136
342,12325
105,16210
105,35809
1782,6088
105,56943
105,47321
105,17444
105,20411
677,62825
105,5223
105,32672
105,41223
257,6827
105,50596
105,35326
105,36672
257,7039
105,63088
105,57929
677,63254
105,28123
105,63280
105,63308
105,59986
342,551
105,54353
342,971
677,676
105,4359
105,9372
677,12379
677,48327
105,13639
105,55191
105,19429
105,31231
105,13054
20220,63642
105,11887
105,61036
105,16716
105,57770
105,39795
677,44008
105,19721
105,54638
677,62553
105,34463
677,12431
105,22435
1001,57
105,17503
1001,5352
257,21181
257,3893
1001,4848
105,8418
677,39410
604,33245
105,64345
105,35681
105,43873
105,36170
105,21505
105,13400
105,64564
105,64581
1782,64660
677,53244
105,17927
105,22968
105,12313
1001,7319
105,20755
105,28577
105,22914
105,32620
677,18544
105,51307
105,65074
33815,34833
105,31137
105,51617
105,17078
677,60996
105,46671
105,51691
105,60501
105,879
105,25424
105,5898
677,41060
677,65661
105,1283
1782,65683
257,11172
105,26258
105,8189
105,65741
105,3478
677,42807
105,25798
677,55900
105,27449
677,8164
105,20317
105,25112
105,1260
105,24911
105,44194
105,14877
105,53362
5172,98
105,56999
257,2476
677,46915
105,9218
105,22821
105,25077
105,29721
5179,12437
105,4956
1001,1633
105,21107
105,15240
105,2173
105,20672
604,421
677,8936
105,62738
105,30323
105,51037
105,15814
105,66972
105,54724
677,38037
677,16494
105,63348
20220,230
105,50784
257,449
677,67380
33815,14294
105,35308
105,30030
105,55853
105,33746
1001,1248
677,29353
105,56215
677,59862
105,67718
677,62131
677,48527
677,67823
105,8378
105,39489
257,686
1001,2007
105,34341
105,42601
105,50081
677,41877
604,16436
257,66086
105,8896
105,37562
1001,3188
105,3237
105,54351
105,10443
1001,33982
105,51478
105,68108
105,68180
105,35562
105,68346
105,46129
105,23155
342,4504
677,58828
105,22739
604,6744
1001,2694
105,46877
677,59104
105,45534
677,65285
105,56045
677,22126
105,59751
105,39378
105,37957
105,63386
105,5221
105,67829
105,38300
677,67226
105,69135
677,16025
105,65153
105,39160
105,28205
105,23308
105,21687
105,69388
105,32697
677,69470
105,26107
677,47063
604,2427
105,63107
105,58071
105,6870
105,45707
342,4297
105,22371
105,69629
677,50846
105,12837
105,20097
105,10942
105,21673
105,7331
105,6305
105,41158
677,46109
677,57302
5179,4730
105,40801
105,22977
257,35530
105,70119
677,65992
105,47736
105,36375
105,16856
105,792
677,63952
105,14250
105,29318
1001,2973
105,30183
1782,25344
677,63300
342,10922
105,34024
1001,1604
105,33547
105,54631
5179,64960
677,40076
105,57622
105,54816
105,16834
105,14312
105,23140
105,38314
677,35962
105,45455
105,49423
105,10591
677,60524
105,31887
105,42939
105,32107
677,59760
105,27835
105,66891
105,35622
2986,26997
604,4779
677,32934
105,70929
105,39428
105,42459
342,10961
105,60276
257,16614
105,57224
105,16452
105,71085
1001,497
677,59249
105,26138
105,43076
257,35735
105,23221
105,61871
105,71203
1001,4148
677,50502
105,28019
105,18132
105,40605
105,37818
677,71448
105,60174
105,42938
105,39266
677,66091
105,36075
5179,18249
257,1284
105,25463
105,4705
105,18307
677,64795
105,15020
105,31733
5179,42772
105,71757
105,42135
105,23466
677,45291
257,3383
257,87
105,8699
105,8488
105,64730
105,50602
105,41759
105,17275
105,33120
677,72049
105,45237
604,168
105,53197
677,68093
342,15416
105,14840
105,18198
105,72236
677,47085
105,39370
105,56665
105,11361
677,53900
105,20319
342,3314
105,27656
342,113
105,40302
105,11448
105,12315
105,49692
677,72407
105,41135
105,12957
105,50487
677,66145
105,30663
105,19914
105,15515
342,72502
105,53338
1001,500
105,36758
677,47590
105,48429
257,5920
105,66974
677,70763
1001,9915
105,9183
604,43755
1001,1004
105,55710
105,17209
677,14076
105,18015
105,17305
105,20484
677,58987
105,20896
342,17993
105,42683
105,60850
105,61256
105,20152
105,43857
105,47663
1782,15349
342,1914
677,51361
105,52841
105,41842
105,14786
105,19592
105,54182
105,26604
5172,97
677,68236
1001,9598
105,39912
604,19014
18151,1086
105,73197
105,53356
105,73240
105,21583
677,73247
1001,3746
677,71299
677,39641
105,12817
105,66567
105,44649
1001,7115
105,21486
105,28518
105,53299
677,8188
20220,28608
105,14694
1001,3512
105,54188
105,53947
105,27071
105,23457
105,19166
105,21220
105,11213
105,57588
105,11013
677,18652
1001,2819
1001,1493
105,25027
105,53266
677,39811
677,47697
105,73640
105,1276
105,64484
105,67386
105,34552
677,59816
105,67317
105,61228
105,18365
604,2702
342,4183
105,4421
677,30209
105,53519
105,27302
105,6006
1001,1355
105,27174
105,24655
105,59344
105,31560
105,73593
1001,73931
105,51078
105,28035
677,59178
105,53473
604,8486
105,40384
105,39876
105,17388
105,37953
105,50613
105,34337
105,29612
677,74063
105,68550
105,34996
105,10264
677,70182
105,22995
105,42162
105,18778
105,74145
105,64116
20220,21640
105,40397
604,40319
105,43159
257,1289
1001,4418
677,60322
105,21171
105,56205
677,74308
105,7563
105,41382
105,67127
105,30613
677,10747
105,3214
105,23285
105,36593
105,14201
105,30536
105,58241
105,41551
342,3772
257,40524
105,27993
105,50709
677,73480
105,54477
105,57513
105,6858
105,31947
105,50183
105,43932
677,73389
1001,8204
105,19958
257,4659
342,1913
1782,15350
105,30720
677,67007
257,11109
33815,61287
105,29061
677,25625
105,50622
105,70937
105,55870
105,28939
105,41308
677,70285
105,23286
105,72023
677,67714
105,43790
677,11863
105,50237
105,14992
105,58473
105,28051
105,52520
105,51659
342,17670
105,41188
105,51869
1001,54516
105,23435
105,63127
105,15307
105,34869
105,60116
105,61284
105,38818
105,49893
105,2695
105,67098
105,6222
105,6816
105,26320
342,48558
42476,3567
105,44400
105,34608
257,326
677,72529
105,17391
105,9240
105,10213
677,61873
677,32411
105,32618
105,28368
105,36535
105,12249
105,67044
677,74964
105,27817
604,52434
105,2130
105,64113
677,30942
1001,7812
105,74160
105,24280
105,39150
105,28742
1001,1265
105,16369
342,2341
105,7969
105,46853
604,195
342,282
677,75222
105,75227
105,27234
677,75190
105,69472
105,48216
105,31285
677,33323
105,41322
105,70685
1001,4854
105,40352
105,7116
677,72991
105,75291
105,56192
1001,4513
105,30854
105,47394
105,25167
342,281
1782,40344
105,28012
105,7686
105,50933
105,27299
1782,9804
105,33597
105,15514
1001,20258
105,56308
105,42297
105,10821
677,46960
105,10678
604,13029
105,56664
105,25523
105,54134
257,486
105,74468
604,3360
257,487
105,43364
105,64784
105,75413
105,21836
105,71945
105,47188
677,52469
105,2575
604,5181
677,48395
105,64178
342,68
105,47691
105,42937
105,15149
105,8312
20220,10331
105,16245
604,2703
1001,10060
105,17663
105,31041
105,4444
1001,3821
1001,12839
105,22242
105,24554
105,71572
105,71092
105,49449
677,50323
105,51113
105,29544
105,26475
105,74919
105,12341
257,99
2986,5361
105,38825
105,69848
105,13798
604,34
105,33256
105,63345
105,27331
105,37165
105,49982
105,29195
105,20440
105,13918
105,19634
1001,70863
677,33736
1001,12115
105,59645
677,70511
105,36419
105,59614
105,54840
677,74654
677,35546
604,3900
1001,1988
105,64798
677,17413
677,50743
105,38082
105,51027
