teamplayssport_1,teamplayssport_2
971,947
1192,1100
3854,47
4147,1100
4332,947
4631,39
1081,454
2095,39
5242,947
7881,454
8939,947
7498,947
11324,947
5636,454
686,39
13956,39
6305,454
421,39
16423,1100
9598,47
12839,47
16640,947
16729,454
16742,947
16798,454
17793,947
18544,947
18652,454
99,454
5361,947
20784,947
21058,947
195,39
6089,39
57,39
10060,47
22509,947
7486,47
350,454
3293,454
2755,454
4854,47
10392,947
56,47
1355,47
20308,947
5352,47
281,947
9724,947
30886,947
1493,39
1116,454
882,454
3567,454
1289,454
28443,47
4848,47
32876,947
932,39
11210,947
806,47
1011,47
3745,947
38829,947
1284,39
7512,454
11716,947
4291,454
4926,947
40979,947
487,454
447,454
42428,454
14321,947
16436,39
916,39
43755,39
4183,947
12379,947
3188,47
44987,39
22126,947
23541,1100
31274,947
2703,39
15416,947
47047,947
40319,39
4779,39
28009,947
26259,454
4661,947
48327,454
18198,454
14735,47
7039,454
17670,947
37880,454
32799,39
2694,47
10159,47
24128,454
7354,947
34665,39
16025,947
326,39
5044,47
2959,454
22739,947
1048,947
42252,454
10759,947
68,947
49719,947
6032,947
16220,39
33672,947
15752,454
21669,454
55004,947
1907,947
55345,947
8532,454
27020,947
6744,39
7958,1100
10961,947
3746,47
56022,39
1047,947
3665,947
10556,947
16339,454
19054,39
17579,947
8520,947
12995,39
20258,47
4184,947
1633,47
33245,39
4612,47
19194,947
30942,947
8025,454
59658,947
11190,454
3393,454
60616,39
12325,947
49920,39
29196,947
34088,39
3512,47
19494,947
256,454
50807,39
383,47
8148,947
52908,39
62553,947
11729,47
392,454
58987,947
25625,947
52434,39
9915,39
3314,947
58375,39
21342,947
551,947
500,47
14983,947
4853,47
29709,947
16759,947
10978,47
4123,47
4867,2598
34,39
1265,47
4602,454
2004,454
46564,947
28507,1100
6816,947
51349,947
5002,39
59785,39
2244,947
379,947
7812,47
14077,47
5340,947
2973,39
20983,947
15727,454
18699,947
54617,947
687,39
1102,947
26997,947
2640,947
2139,947
12197,454
10467,454
10331,454
1604,47
662,39
4422,1100
16167,39
29061,454
4662,47
15349,3531
16402,947
2593,947
1807,947
12031,454
53711,454
12248,47
32949,47
3558,947
28153,947
3893,454
562,454
2427,39
9118,1100
12115,47
8936,947
10864,39
10434,47
4787,39
6913,947
60630,947
8486,39
2172,1100
2341,947
4418,47
3900,39
501,47
25112,454
22970,947
42219,39
282,947
11109,454
18446,947
4165,454
20775,454
476,947
69,947
1669,1100
690,947
87,454
34420,947
10922,947
4148,47
9822,39
1756,947
11847,947
1913,947
8814,947
16614,454
8286,454
32224,39
113,947
13365,947
168,39
5181,39
22573,947
48558,947
13029,39
1248,47
1004,47
1914,947
73055,947
3945,947
14201,947
8160,947
12187,947
19410,39
2247,39
27331,947
2733,39
25496,454
449,454
7068,39
16716,947
50323,947
1439,47
48036,947
17927,947
14503,947
27496,947
10775,47
3383,454
7555,39
1250,947
3772,947
25255,454
2702,39
486,454
126,47
3837,454
17993,947
16494,454
12788,947
1992,947
10906,947
11511,454
21288,454
4297,947
20068,47
16162,454
791,947
5767,39
8366,47
39879,39
7319,47
48527,947
2007,47
7116,947
21493,947
7115,947
422,39
28720,47
9262,39
13298,39
4504,947
8222,47
38472,947
17986,947
35,947
1086,1100
2173,1100
26448,454
69924,947
50172,947
4048,454
552,947
7563,454
73751,947
15906,47
302,947
497,47
34407,454
20581,947
21181,454
4659,39
7403,1100
5560,947
9769,47
22731,39
450,454
2819,47
100,454
2476,454
16250,47
446,47
62312,47
36913,454
2209,39
2338,39
1988,47
4899,454
3821,47
44742,454
5576,947
5920,39
6827,454
7499,454
13363,947
