musicgenressuchasmusicgenres_1,musicgenressuchasmusicgenres_2
5330,1715
7934,4156
9172,1715
9645,1715
4156,8284
14686,4156
14760,1715
10420,1273
17367,1715
17951,8361
10602,1715
1715,9155
19795,1715
14760,21028
22054,1715
1715,24018
24022,8361
25654,1273
29672,1715
8361,1715
963,4156
2690,1715
32651,32652
1715,4601
16821,1715
7934,11208
10318,1715
1715,2690
10306,14686
5447,1715
33689,1715
39401,1715
14937,2500
39848,2500
25889,1273
21995,23387
10306,10305
7934,1715
9351,45229
10305,1715
42923,1715
25889,963
48682,1715
16821,21028
49518,963
19235,1715
4156,9169
29840,1273
1715,8482
22918,1715
11480,1715
49518,1715
37631,4156
9172,9645
1273,1715
20798,1715
23387,1715
21953,21028
17951,1715
54023,1715
33546,1715
9169,4156
1715,963
55830,1715
32651,4156
14068,22542
10306,9155
29672,4601
14686,1715
25654,1715
41262,1273
33689,1273
41262,1715
18326,1715
23387,21430
58303,4601
10420,1715
10306,1715
61831,1715
11208,21028
23387,4156
16821,11208
1715,1273
5117,29782
63334,1715
22542,4601
9351,2690
14068,5447
45229,1715
14937,1715
10306,4156
21995,4156
21995,1715
5117,1715
32652,1715
13033,1715
5447,4601
14760,11208
9155,1715
1715,4156
58460,1715
10305,4156
10305,10306
5330,5447
49518,1273
20798,10602
58460,1273
53361,1273
41673,1715
21953,1715
1715,3867
29840,9645
4601,1715
14068,4601
38101,1715
29782,1715
1715,14686
2584,4601
25889,1715
18714,4156
32651,1715
29840,1715
1715,3744
29840,4601
35363,1715
10305,14686
21953,11208
16821,7934
37631,9155
33026,1715
55405,1715
5330,4601
2584,22542
45943,4601
45229,2690
21028,1715
21995,21430
9155,4156
21953,4156
11208,1715
10305,9155
7934,16821
3867,1273
3744,1715
18083,1715
24022,1715
29672,11480
16144,8284
4156,9155
60527,1715
23387,21995
21028,11208
43965,1715
7934,21028
57477,1715
16821,4156
963,1715
32652,32651
