animalistypeofanimal_inv_1,animalistypeofanimal_inv_2
283,284
768,769
824,933
1068,1069
284,1217
1066,1451
1616,1617
1067,824
108,284
1759,605
2361,2362
108,2531
2882,1067
2906,1617
1067,3157
3111,3730
3810,824
2882,283
3681,4613
4650,4651
1642,2362
108,1401
5147,824
108,5291
3696,2882
5738,871
6080,824
5738,6216
4709,6486
6746,824
6853,1066
6993,824
824,7136
1610,1066
2900,1041
3111,1758
7961,5278
824,2900
8408,824
9277,9278
217,1358
1111,5176
5797,1066
3111,9922
10560,10561
2825,8181
2882,1111
5176,10959
8732,8731
824,11270
871,11339
11377,11378
2362,11421
217,6810
10959,824
11669,768
824,9399
11748,824
824,11874
2735,12179
12181,824
12405,824
824,12456
7962,824
12792,107
284,12979
108,2400
217,789
10764,4237
5561,6810
284,6810
11815,2825
824,14227
824,2361
5738,14532
12295,14586
824,14943
9850,2415
386,13077
2882,7768
108,824
2825,15529
1579,16222
16258,12441
10764,2442
1358,16644
2362,108
824,5797
2512,2511
16921,16922
4709,16983
108,10957
2825,17091
824,4306
1066,11194
1758,2882
2882,6759
2362,824
17827,871
2825,18188
108,18565
2906,824
108,1616
872,3730
2906,1066
10560,19195
5738,1111
1911,3730
108,4709
824,8408
108,3846
824,20814
824,21152
824,2906
2999,222
5738,6993
2362,4866
2825,21735
14943,7795
6735,1066
784,8471
9850,6701
824,6853
386,1927
22359,2328
3730,9399
22636,2365
5176,1358
284,1111
1066,216
16968,23198
4306,12441
1617,6853
23481,23482
23571,23572
23763,4237
3730,1759
23900,871
1358,2900
2999,11916
824,1911
15175,2882
6750,2882
1111,1067
5176,1927
2825,18403
284,789
824,1758
25466,25467
824,24878
284,12391
25897,2362
5797,824
1066,2900
12623,824
824,15175
2365,3111
3730,7802
824,5176
18044,824
824,26885
1610,824
2825,9779
14586,12295
17584,27445
1066,27509
3730,1066
6080,1617
108,4865
824,3846
2511,108
1066,3810
24140,824
11951,1041
2882,9887
3111,4865
824,6785
23900,28
4306,14227
29201,29202
824,26744
108,14227
1759,5797
1758,3730
2825,6958
11951,5485
10991,29701
784,29941
1066,958
1617,6080
824,15236
4694,1066
959,1976
2328,108
1642,6387
2882,1066
824,4709
1579,1578
2400,784
15900,824
2999,10957
10560,31191
4829,2999
20624,2882
824,12181
216,1066
17904,1066
824,31765
108,15900
3730,15353
5738,983
2882,9922
824,32036
824,11748
2362,3730
3111,2328
11951,6184
1066,32617
107,17799
824,32687
32802,1758
27,784
1067,5176
284,33052
2362,28
2442,1066
824,2478
2386,3730
6810,108
1927,5176
7768,2882
784,6970
1758,284
5176,107
2399,20035
2825,19185
824,34378
6810,284
4306,1758
17584,21244
1217,2900
6853,284
5278,35009
824,7649
872,2362
1066,1067
1066,12188
824,16644
6810,824
2328,1617
11951,1358
1111,21229
108,35771
1066,6810
824,3486
824,1578
824,23571
824,605
824,6465
958,12296
2882,36582
9478,2478
36651,36652
784,8841
1066,6429
9605,37073
784,2400
12505,3730
24862,4694
871,1111
1111,6993
1111,37312
37330,3159
824,2677
1759,31976
34794,7962
37440,824
6216,284
2442,11951
2882,15112
1066,15970
4829,784
2362,1617
784,10957
824,16983
4306,13314
108,34794
789,2900
824,38405
4650,38412
824,27704
16644,824
824,6185
784,10013
824,38777
871,824
284,16771
107,7962
28,108
38966,1111
824,39049
284,12181
18045,789
2399,2400
10991,39547
872,2328
6853,1111
24125,824
9977,824
140,40309
768,19066
16105,824
1977,5486
9193,40903
3730,7961
3730,2361
1759,7649
284,2478
12363,2900
3710,824
12271,824
2882,14943
8732,23003
11951,789
824,31259
9079,2882
26441,3159
2882,6785
15970,1066
284,6216
36651,42007
3111,2362
958,2882
11669,1579
14227,824
11377,42283
824,20119
11457,107
3111,15970
4306,28
1217,872
825,824
10265,15455
5485,824
107,2362
6853,824
3111,17975
37330,4275
784,6750
824,3730
20563,20564
1066,11629
824,6429
2882,10959
3111,5797
784,43864
29201,40615
108,1641
44167,23572
824,18044
1617,871
108,19085
824,17441
3157,1067
107,1067
824,21229
824,44660
1066,16867
2882,605
4405,4694
107,4694
2900,2442
3730,107
2999,6970
2328,217
3730,12505
10764,1041
3730,872
5176,11629
217,2478
40957,824
