conceptprerequisiteof_1,conceptprerequisiteof_2
64,65
4250,4251
5011,5012
6696,6697
6807,6808
7605,7606
7748,6038
7773,7774
2451,1639
5011,8545
8965,8966
9892,9893
9097,10018
12289,12290
2623,2622
2623,12520
6039,12659
12840,5275
12893,12894
13749,13750
13910,13911
6038,14003
15157,9096
15438,15439
15478,15479
6039,17069
13375,17759
18338,18339
18866,18867
19090,19091
19337,14009
7605,19476
19898,15439
19943,19944
9097,6038
21086,21087
21516,13375
2451,22337
9892,8966
19784,19091
9892,23581
24475,24476
24607,24608
13375,24650
25830,25831
13587,13586
6807,26708
9941,26751
27367,13586
19898,23804
6039,15420
13375,25092
7214,7213
29374,29375
5012,18867
2622,6049
6807,8545
12111,30279
12520,29375
12520,29374
31517,64
31890,31891
32473,32474
15478,13911
13375,64
10554,26626
33202,33203
18338,33674
27385,34016
34355,13749
33599,33598
35383,14010
24475,36167
12111,36405
29732,17069
36639,19090
36934,36935
9097,36975
12111,2450
7214,37654
19943,30223
27385,19423
38898,2622
38934,33598
26708,38962
6696,19405
9097,34100
40238,7372
7606,65
40521,40522
6808,37654
41211,4250
12487,40522
41854,24240
42485,34100
2622,29374
40253,29375
35690,7213
2451,36405
27298,36167
6039,37654
44275,12290
31890,34100
19406,19405
12289,14774
9892,17069
45029,45030
13586,45329
7606,19090
2622,45981
19406,9096
46681,6807
9892,46723
2623,8545
44891,18867
47789,19091
4250,22337
26668,9096
38793,15479
9097,46949
13375,4250
5203,25830
33202,6807
13375,7606
41211,4251
12111,16453
26708,51583
9941,24240
51397,31879
35383,34569
7373,7372
27367,36360
35690,26663
53081,19944
34355,36360
5203,5202
9097,4250
54575,9893
6039,46949
26668,27298
12659,17963
55175,17759
13586,36360
35045,6697
5203,6808
31193,31192
12111,45981
51355,26751
24476,53405
50765,19423
6808,15478
30223,6697
33202,26708
9097,15420
6039,6038
7372,29374
34569,15855
12487,45884
41211,36406
50304,45884
38898,24475
11414,14003
33699,59017
36407,36406
6039,21087
6039,59358
2623,13375
14010,14009
6697,21550
9097,14774
12110,33203
37977,33203
26626,61410
29732,22337
15421,15420
45565,33674
6039,21950
27385,34569
62179,59017
60517,18867
31193,62209
31879,30223
7606,45770
24475,12659
33202,44891
49901,37654
2622,12487
15438,21950
51355,9096
50765,9893
35690,46025
9941,46949
42188,17963
55175,30279
34569,14010
35045,38793
31193,25830
6049,14003
26065,26064
41211,12110
6696,30223
6696,38793
66423,34569
19943,19476
65111,6808
66789,38962
10554,19091
66848,36405
33699,6697
11414,6038
14010,15855
27385,38962
2622,10554
15479,28898
31731,30223
26627,26626
60517,18866
19943,31878
9892,66806
12111,18339
27798,47789
26668,7606
27298,7606
33599,29374
23805,23804
68749,45981
9097,21087
51355,15479
19405,34043
11414,17963
25589,23581
35383,24475
31193,64843
51984,2622
13750,49204
7606,10554
40238,12487
34355,34043
51397,5202
26065,24240
12110,27298
61992,45770
63915,1639
13375,2622
12111,1639
35383,24476
50304,19091
33202,19405
9941,44891
4251,22337
9097,19090
36406,9893
5203,9941
7605,24240
30223,19405
21516,38898
71211,13586
34569,17759
36639,28898
7373,51984
44275,55950
5276,5275
31193,37851
24650,17759
49434,24608
33699,71711
6807,5012
43291,13911
13375,59358
2622,43757
49434,49433
7606,64
6039,19090
41211,36405
9097,25831
33599,11413
33202,6808
27385,2623
66848,36406
2623,7606
55950,32474
5011,27298
6807,44891
12487,55088
13749,40521
12289,21550
73059,7773
6039,40521
49434,2623
34355,46723
12111,4250
9941,6697
27298,10018
9097,12659
64843,30223
68787,61992
42188,23804
73553,29375
7214,26663
51355,38793
33202,18866
65111,31192
19090,43757
44275,26627
6808,25831
27298,68787
31731,26751
66806,71154
41211,18339
35045,35044
7605,38793
29732,6038
63143,5012
12111,2622
27385,8545
2451,27298
33202,15478
9097,40521
12110,36935
27385,51984
53406,70440
27298,59358
9097,9096
53406,53405
21087,55088
27385,13375
60126,25831
21516,50765
31731,24240
13375,34569
19898,6049
27798,37738
7214,43757
27385,2451
11414,15855
51355,7774
7214,12520
6039,17963
12111,19423
24475,53405
6696,51583
9097,47789
12111,2451
26788,5202
2623,14010
47929,7372
34043,46723
36935,12520
23384,11413
31879,31878
9097,21950
34355,14774
6049,45884
53406,61992
24240,38793
38793,6697
5203,26064
7606,43757
12111,67343
9097,15478
12111,22337
15421,46025
64843,31879
16243,16242
53406,42188
5203,6807
24476,35964
6049,12894
33599,45884
34896,15420
23805,45770
1640,1639
7605,27298
59017,19944
27385,24475
11414,11413
51397,19405
34896,10554
55175,25092
6039,10018
2623,64
13375,16453
27798,6049
50304,10554
53406,75444
2451,2450
9941,34569
33202,24608
55175,24650
2623,12110
7605,26751
15438,15420
2450,46949
12111,12110
8965,66806
13375,34016
49434,38962
36975,64830
12111,51984
27298,26627
13375,4251
12893,61410
63915,2450
24475,34569
